,Ms Lucky Leaves,Hillbilly Joker,Bad Bailey,Real Talent,Tysons Typhoon,Darley Dynamo,Lala Que,Earn The Fizz
09-01-2023 10:59:45.554418,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:46.656363,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:47.726897,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:48.775537,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:49.794539,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:50.837922,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:51.893969,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:53.017724,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:54.137450,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:55.274539,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:56.446461,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:57.604516,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:58.790377,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 10:59:59.926561,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:01.081132,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:02.248640,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
