,Safe Hustle,If I Din Havadime,More Special,Fine Line,Kamaka
07-01-2023 14:19:23.509919,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.8391489361702127)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:24.497773,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:25.437707,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:26.423749,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:27.349793,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.437931034482759)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:28.204361,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.437931034482759)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:29.137571,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:29.970166,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:30.936576,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:31.882139,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:32.797153,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:33.677485,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:34.606940,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.84, 2.839047619047619)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.8872340425531915)"
07-01-2023 14:19:35.566990,"(9.0, 12.0, 11.68421052631579)","(4.8, 5.8, 5.412903225806452)","(2.4, 2.88, 2.859512195121951)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:36.420450,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8470588235294114)","(9.0, 10.5, 10.314705882352941)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:37.363066,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8470588235294114)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:38.227298,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:39.111904,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:40.062221,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:40.951093,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:41.833046,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:42.702892,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:43.624323,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:44.527561,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:45.486171,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:46.365386,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:47.153482,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:48.125237,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:49.018007,"(9.0, 13.0, 12.526315789473685)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8449999999999998)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
