,Im Ready Jet,Majestuoso Nz,Hopeful Beauty Fra,Always Ready,Aldebaran Zeus,Sleepee,Sundons Courage,Ollivici Nz,Nephew Of Sonoko,Keayang Livana
07-01-2023 18:53:32.964503,"(3.0, 4.7, 4.58)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.5, 10.566666666666666)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:34.276603,"(3.0, 4.7, 4.58)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.5, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:35.603799,"(3.0, 4.7, 4.58)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:36.866703,"(3.0, 4.7, 4.58)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:38.080182,"(3.0, 4.7, 4.58)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 80.0)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:39.278132,"(3.0, 4.7, 4.58)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:40.544456,"(3.0, 4.7, 4.58)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:41.795360,"(3.0, 4.7, 4.58)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:43.042172,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:44.344140,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
