,My Calante,Treasure Coast,Rowdy River,Iffy Asset Class,Super Prospector,Antioch Dandy,Ryan Express
16-12-2022 11:56:26.292158,"(4.6, 5.7, 5.433333333333334)","(21.0, 46.0, 39.75)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 32.57142857142857)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:27.438121,"(4.6, 5.7, 5.433333333333334)","(21.0, 46.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:28.544054,"(4.6, 5.7, 5.433333333333334)","(21.0, 44.0, 32.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.486666666666667)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:29.719251,"(4.6, 5.8, 5.633333333333333)","(21.0, 44.0, 32.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.52, 2.575)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:30.968464,"(4.6, 5.8, 5.442857142857143)","(21.0, 44.0, 32.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.6, 2.575)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 151.60000000000002)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:32.158540,"(4.6, 5.8, 5.442857142857143)","(21.0, 44.0, 32.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.6, 2.59)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:33.387029,"(4.6, 5.8, 5.442857142857143)","(21.0, 44.0, 32.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.59)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:34.625313,"(4.6, 5.8, 5.442857142857143)","(21.0, 44.0, 32.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5700000000000003)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:35.806519,"(4.6, 5.7, 5.433333333333334)","(21.0, 44.0, 32.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5700000000000003)","(17.0, 36.0, 27.333333333333332)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:37.024467,"(4.6, 5.7, 5.433333333333334)","(21.0, 44.0, 32.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5700000000000003)","(17.0, 36.0, 32.57142857142857)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:38.190125,"(4.6, 5.7, 5.433333333333334)","(21.0, 48.0, 37.2)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5700000000000003)","(17.0, 36.0, 26.0)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:39.306819,"(4.6, 5.7, 5.433333333333334)","(21.0, 48.0, 27.2)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5700000000000003)","(17.0, 36.0, 30.0)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:40.494738,"(4.6, 5.7, 5.433333333333334)","(21.0, 46.0, 39.42857142857143)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5700000000000003)","(17.0, 36.0, 25.5)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:41.585668,"(4.6, 5.7, 5.433333333333334)","(21.0, 46.0, 39.714285714285715)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5964705882352943)","(17.0, 36.0, 25.5)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:42.830967,"(4.6, 5.7, 5.372727272727273)","(21.0, 46.0, 39.14285714285714)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5964705882352943)","(17.0, 36.0, 25.5)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:44.158075,"(4.6, 5.7, 5.372727272727273)","(21.0, 46.0, 39.42857142857143)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5964705882352943)","(17.0, 36.0, 25.5)","(31.0, 230.0, 181.0)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:45.445498,"(4.6, 5.7, 5.372727272727273)","(21.0, 46.0, 34.5)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5964705882352943)","(17.0, 36.0, 26.454545454545453)","(31.0, 230.0, 197.33333333333331)","(5.5, 5.8, 5.776923076923077)"
16-12-2022 11:56:46.787836,"(4.6, 5.7, 5.372727272727273)","(21.0, 46.0, 40.666666666666664)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5700000000000003)","(17.0, 36.0, 31.4)","(31.0, 230.0, 127.0)","(5.5, 5.8, 5.733333333333333)"
16-12-2022 11:56:48.054789,"(4.6, 5.7, 5.372727272727273)","(21.0, 46.0, 40.666666666666664)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.5700000000000003)","(17.0, 34.0, 31.4)","(31.0, 220.0, 65.0)","(5.5, 6.8, 6.314285714285714)"
16-12-2022 11:56:49.317715,"(4.6, 5.5, 5.433333333333334)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.55)","(17.0, 34.0, 31.4)","(31.0, 220.0, 65.0)","(5.5, 6.6, 5.933333333333333)"
16-12-2022 11:56:50.533482,"(4.6, 5.5, 5.433333333333334)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.55)","(17.0, 34.0, 31.4)","(31.0, 220.0, 65.0)","(5.5, 6.6, 6.2250000000000005)"
16-12-2022 11:56:51.846877,"(4.6, 5.5, 5.433333333333334)","(21.0, 44.0, 38.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.56)","(17.0, 34.0, 31.4)","(31.0, 220.0, 105.0)","(5.5, 6.4, 6.2250000000000005)"
16-12-2022 11:56:53.168130,"(4.6, 5.5, 5.433333333333334)","(21.0, 44.0, 38.0)","(5.5, 6.2, 6.114285714285714)","(2.0, 2.62, 2.56)","(17.0, 34.0, 31.4)","(31.0, 220.0, 65.0)","(5.5, 6.4, 6.166666666666667)"
16-12-2022 11:56:54.434518,"(4.6, 5.5, 5.433333333333334)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.05, 2.62, 2.597777777777778)","(17.0, 34.0, 31.4)","(31.0, 220.0, 65.0)","(5.5, 6.4, 6.166666666666667)"
16-12-2022 11:56:55.877273,"(4.6, 5.5, 5.433333333333334)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.05, 2.62, 2.597777777777778)","(17.0, 34.0, 31.4)","(31.0, 220.0, 65.0)","(5.5, 6.4, 6.166666666666667)"
16-12-2022 11:56:57.204496,"(4.6, 5.8, 5.442857142857143)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.05, 2.62, 2.597777777777778)","(17.0, 34.0, 31.4)","(31.0, 220.0, 65.0)","(5.5, 6.4, 6.166666666666667)"
16-12-2022 11:56:59.013218,"(4.6, 5.5, 5.325)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.05, 2.62, 2.597777777777778)","(17.0, 34.0, 31.4)","(31.0, 220.0, 65.0)","(5.5, 6.4, 6.166666666666667)"
16-12-2022 11:57:00.909967,"(4.6, 5.5, 5.3)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.114285714285714)","(2.05, 2.62, 2.597777777777778)","(17.0, 34.0, 31.4)","(31.0, 220.0, 85.71428571428572)","(5.5, 6.4, 6.166666666666667)"
16-12-2022 11:57:02.532009,"(4.6, 5.5, 5.0625)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.114285714285714)","(2.05, 2.62, 2.597777777777778)","(17.0, 34.0, 30.0)","(31.0, 220.0, 85.71428571428572)","(5.5, 6.4, 6.166666666666667)"
16-12-2022 11:57:03.723395,"(4.6, 5.5, 5.0625)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.114285714285714)","(2.05, 2.62, 2.597777777777778)","(17.0, 36.0, 26.0)","(31.0, 220.0, 85.71428571428572)","(5.5, 6.4, 5.947058823529412)"
16-12-2022 11:57:04.876563,"(4.6, 5.5, 5.0625)","(21.0, 44.0, 35.6)","(5.5, 6.2, 6.114285714285714)","(2.05, 2.62, 2.597777777777778)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.4, 5.666666666666666)"
16-12-2022 11:57:05.987733,"(4.6, 5.5, 5.0625)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.140000000000001)","(2.05, 2.62, 2.66)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.4, 5.973913043478261)"
16-12-2022 11:57:07.421212,"(4.6, 5.5, 5.0625)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.140000000000001)","(2.05, 2.72, 2.66)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.0, 5.733333333333333)"
16-12-2022 11:57:08.907312,"(4.6, 5.5, 5.133333333333334)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.140000000000001)","(2.05, 2.72, 2.6733333333333333)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.0, 5.733333333333333)"
16-12-2022 11:57:10.210060,"(4.6, 5.4, 5.133333333333334)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.0, 5.733333333333333)"
16-12-2022 11:57:11.490862,"(4.6, 5.4, 5.066666666666667)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.0, 5.733333333333333)"
16-12-2022 11:57:12.743162,"(4.6, 5.4, 5.066666666666667)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.0, 5.733333333333333)"
16-12-2022 11:57:13.928069,"(4.6, 5.4, 5.066666666666667)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.0, 5.733333333333333)"
16-12-2022 11:57:15.116803,"(4.6, 5.4, 5.066666666666667)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 36.0, 26.0)","(31.0, 220.0, 126.0)","(5.0, 6.0, 5.68)"
16-12-2022 11:57:16.283761,"(4.6, 5.4, 5.257142857142857)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 36.0, 30.0)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:17.462994,"(4.6, 5.4, 5.257142857142857)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 36.0, 30.0)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:18.770327,"(4.6, 5.4, 5.257142857142857)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 36.0, 27.5)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:19.902505,"(4.6, 5.5, 5.140000000000001)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 34.0, 28.42857142857143)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:20.979682,"(4.6, 5.5, 5.140000000000001)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6733333333333333)","(17.0, 34.0, 28.42857142857143)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:22.270064,"(4.6, 5.5, 5.140000000000001)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.622)","(17.0, 34.0, 28.42857142857143)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:23.657806,"(4.6, 5.5, 5.140000000000001)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.622)","(17.0, 34.0, 28.42857142857143)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.72)"
16-12-2022 11:57:24.982129,"(4.6, 5.5, 5.140000000000001)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.72, 2.6314285714285717)","(17.0, 34.0, 29.666666666666664)","(31.0, 220.0, 107.2)","(5.0, 6.2, 5.68)"
16-12-2022 11:57:26.200650,"(4.6, 5.5, 5.140000000000001)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.114285714285714)","(2.1, 2.7, 2.622)","(17.0, 34.0, 29.666666666666664)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:27.379120,"(4.6, 5.5, 5.140000000000001)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.16)","(2.1, 2.72, 2.622)","(17.0, 34.0, 29.666666666666664)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:28.455264,"(4.6, 5.5, 5.140000000000001)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.16)","(2.1, 2.72, 2.622)","(17.0, 34.0, 28.333333333333332)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:29.563054,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.16)","(2.1, 2.72, 2.622)","(17.0, 32.0, 28.333333333333332)","(31.0, 220.0, 107.2)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:30.737812,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.5)","(5.5, 6.2, 6.16)","(2.1, 2.72, 2.622)","(17.0, 32.0, 27.6)","(31.0, 220.0, 126.0)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:31.969856,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 32.5)","(5.5, 6.2, 6.16)","(2.1, 2.72, 2.735)","(17.0, 32.0, 27.6)","(31.0, 220.0, 126.0)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:33.086817,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 32.5)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 32.0, 24.857142857142858)","(31.0, 220.0, 126.0)","(5.0, 6.4, 5.68)"
16-12-2022 11:57:34.254063,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 32.5)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 30.0, 27.6)","(31.0, 220.0, 126.0)","(5.0, 6.4, 5.8149999999999995)"
16-12-2022 11:57:35.420654,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 37.714285714285715)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 32.0, 27.6)","(31.0, 220.0, 126.0)","(5.0, 6.4, 6.126666666666667)"
16-12-2022 11:57:36.636650,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 32.5)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 32.0, 24.666666666666668)","(31.0, 220.0, 126.0)","(5.0, 6.2, 6.1000000000000005)"
16-12-2022 11:57:37.784171,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 32.5)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 32.0, 24.666666666666668)","(31.0, 220.0, 126.0)","(5.0, 6.2, 6.1000000000000005)"
16-12-2022 11:57:38.987800,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 32.0, 24.666666666666668)","(31.0, 220.0, 126.0)","(5.0, 6.2, 5.7)"
16-12-2022 11:57:40.120523,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 32.0, 22.8)","(31.0, 220.0, 126.0)","(5.0, 6.2, 5.7)"
16-12-2022 11:57:41.233893,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 30.0, 22.8)","(31.0, 220.0, 126.0)","(5.0, 6.2, 5.7)"
16-12-2022 11:57:42.372043,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 34.8)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.735)","(17.0, 30.0, 22.8)","(31.0, 220.0, 126.0)","(5.0, 6.2, 5.489473684210526)"
16-12-2022 11:57:43.504805,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 34.8)","(5.5, 6.2, 6.16)","(2.1, 2.78, 2.73)","(17.0, 30.0, 22.8)","(31.0, 220.0, 126.0)","(5.0, 6.2, 5.766666666666667)"
16-12-2022 11:57:44.562497,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 34.8)","(5.5, 6.2, 6.16)","(2.15, 2.78, 2.73)","(17.0, 30.0, 23.75)","(31.0, 220.0, 126.0)","(5.0, 6.0, 5.766666666666667)"
16-12-2022 11:57:45.590119,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 34.8)","(5.5, 6.2, 6.16)","(2.15, 2.78, 2.69)","(17.0, 32.0, 25.714285714285715)","(31.0, 220.0, 139.42857142857144)","(5.0, 6.0, 5.766666666666667)"
16-12-2022 11:57:46.583216,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 37.42857142857143)","(5.5, 6.2, 6.16)","(2.15, 2.78, 2.69)","(17.0, 32.0, 27.6)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.766666666666667)"
16-12-2022 11:57:47.604765,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 37.714285714285715)","(5.5, 6.2, 6.16)","(2.15, 2.76, 2.6959999999999997)","(17.0, 32.0, 27.6)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.766666666666667)"
16-12-2022 11:57:48.664407,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 35.6)","(5.5, 6.2, 6.16)","(2.15, 2.76, 2.6959999999999997)","(17.0, 32.0, 27.6)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.766666666666667)"
16-12-2022 11:57:49.719101,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 35.6)","(5.5, 6.2, 6.16)","(2.15, 2.76, 2.9085714285714284)","(17.0, 32.0, 27.6)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.766666666666667)"
16-12-2022 11:57:50.815613,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 39.4)","(5.5, 6.2, 6.16)","(2.15, 2.96, 2.9085714285714284)","(17.0, 32.0, 27.6)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.91764705882353)"
16-12-2022 11:57:51.895051,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 39.4)","(5.5, 6.2, 6.140000000000001)","(2.15, 2.96, 2.81)","(17.0, 32.0, 27.6)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.91764705882353)"
16-12-2022 11:57:52.944334,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 39.4)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 29.555555555555557)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.6000000000000005)"
16-12-2022 11:57:53.977951,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 29.555555555555557)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.6000000000000005)"
16-12-2022 11:57:55.051226,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 29.555555555555557)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.828571428571428)"
16-12-2022 11:57:56.139140,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 29.555555555555557)","(31.0, 220.0, 80.5)","(5.0, 6.0, 5.828571428571428)"
16-12-2022 11:57:57.250474,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 29.555555555555557)","(31.0, 220.0, 127.0)","(5.0, 6.0, 5.828571428571428)"
16-12-2022 11:57:58.291068,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 29.555555555555557)","(31.0, 220.0, 127.0)","(5.0, 6.0, 5.828571428571428)"
16-12-2022 11:57:59.398596,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 29.555555555555557)","(31.0, 220.0, 127.0)","(5.0, 6.0, 5.828571428571428)"
16-12-2022 11:58:00.523197,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 29.555555555555557)","(31.0, 220.0, 145.60000000000002)","(5.0, 6.0, 5.953846153846154)"
16-12-2022 11:58:01.659405,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.8666666666666667)","(17.0, 32.0, 28.857142857142858)","(31.0, 220.0, 145.60000000000002)","(5.0, 6.0, 5.953846153846154)"
16-12-2022 11:58:02.806221,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.89)","(17.0, 32.0, 28.857142857142858)","(31.0, 220.0, 145.60000000000002)","(5.0, 6.0, 5.953846153846154)"
16-12-2022 11:58:03.876470,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.89)","(17.0, 32.0, 28.857142857142858)","(31.0, 220.0, 145.60000000000002)","(5.0, 6.0, 5.953846153846154)"
16-12-2022 11:58:04.988049,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 33.0)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.925)","(17.0, 32.0, 27.333333333333336)","(31.0, 220.0, 60.83333333333333)","(5.0, 6.0, 5.953846153846154)"
16-12-2022 11:58:06.080706,"(4.6, 5.5, 5.0588235294117645)","(21.0, 44.0, 28.666666666666668)","(5.5, 6.2, 6.15)","(2.15, 2.96, 2.925)","(17.0, 32.0, 28.125)","(31.0, 220.0, 60.83333333333333)","(5.0, 6.0, 5.75)"
16-12-2022 11:58:07.144896,"(4.6, 5.5, 5.0588235294117645)","(21.0, 42.0, 28.0)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.925)","(17.0, 32.0, 28.125)","(31.0, 220.0, 60.83333333333333)","(5.0, 6.0, 5.75)"
16-12-2022 11:58:08.267917,"(4.6, 5.5, 5.0588235294117645)","(21.0, 42.0, 28.0)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.925)","(17.0, 32.0, 28.125)","(31.0, 220.0, 60.83333333333333)","(5.0, 6.0, 5.75)"
16-12-2022 11:58:09.322337,"(4.6, 5.5, 5.0588235294117645)","(21.0, 42.0, 28.0)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.925)","(17.0, 32.0, 28.125)","(31.0, 220.0, 60.83333333333333)","(5.0, 6.0, 5.75)"
16-12-2022 11:58:10.312974,"(4.6, 5.5, 5.0588235294117645)","(21.0, 42.0, 28.0)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.925)","(17.0, 32.0, 28.125)","(31.0, 220.0, 60.83333333333333)","(5.0, 6.0, 5.75)"
16-12-2022 11:58:11.326372,"(4.6, 5.5, 5.0588235294117645)","(21.0, 42.0, 28.0)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.925)","(17.0, 32.0, 28.125)","(31.0, 220.0, 60.83333333333333)","(5.0, 6.0, 5.75)"
16-12-2022 11:58:12.344795,"(4.6, 5.5, 5.0588235294117645)","(21.0, 42.0, 28.0)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.925)","(17.0, 32.0, 29.785714285714285)","(31.0, 220.0, 162.4)","(5.0, 6.0, 5.6521739130434785)"
16-12-2022 11:58:13.379998,"(4.6, 5.5, 5.0588235294117645)","(21.0, 40.0, 32.08333333333333)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.9166666666666665)","(17.0, 29.0, 26.125)","(31.0, 220.0, 162.4)","(5.0, 6.0, 5.6521739130434785)"
16-12-2022 11:58:14.474849,"(4.6, 5.5, 5.0588235294117645)","(21.0, 40.0, 31.23076923076923)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.9166666666666665)","(17.0, 29.0, 26.125)","(31.0, 220.0, 162.4)","(5.0, 6.0, 5.6521739130434785)"
16-12-2022 11:58:15.644228,"(4.6, 5.5, 5.0588235294117645)","(21.0, 40.0, 31.23076923076923)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.9166666666666665)","(17.0, 29.0, 26.125)","(31.0, 220.0, 162.4)","(5.0, 6.0, 5.6521739130434785)"
16-12-2022 11:58:16.760221,"(4.6, 5.5, 5.0588235294117645)","(21.0, 40.0, 37.625)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.88)","(17.0, 29.0, 23.333333333333336)","(31.0, 220.0, 164.75)","(5.0, 6.0, 5.78)"
16-12-2022 11:58:17.814701,"(4.6, 5.5, 5.0588235294117645)","(21.0, 38.0, 30.0)","(5.5, 6.2, 6.133333333333334)","(2.15, 2.96, 2.88)","(17.0, 28.0, 23.333333333333336)","(31.0, 210.0, 164.75)","(5.0, 5.9, 5.75)"
