,Tin Amber Mine,Skylar Bree,Bears Best,Ima Midnight Rebel,Saint Jujon,Marty The Martian,Whos To Blame,Long Time Coming
06-01-2023 11:27:08.786163,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.94)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 123.33333333333334)","(31.0, 46.0, 41.2)"
06-01-2023 11:27:09.906875,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.94)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:11.085650,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:12.403468,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:13.693042,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:15.052660,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:16.151794,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:17.333419,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:18.471789,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:19.668798,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:20.862132,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:22.080369,"(2.8, 4.9, 3.8600000000000003)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:23.255114,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:24.367258,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:25.435074,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:26.501679,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:27.626721,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:28.797624,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:29.880572,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:31.023384,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:32.183230,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:33.305693,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:34.452682,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:35.546636,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:36.628267,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:37.779549,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:38.898371,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:40.110823,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:41.254013,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:42.342937,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:43.476184,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:44.567335,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:45.690663,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:46.770655,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:47.817216,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:48.951943,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:50.095286,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:51.245502,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:52.480707,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:53.660635,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:54.828315,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:55.997505,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:57.086829,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:58.121711,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:27:59.258574,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:00.363855,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:01.500869,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:02.678003,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:03.775778,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:04.844905,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:05.894867,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:07.020153,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:08.139154,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:09.310856,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 14.86)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:10.454282,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 6.075)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:11.633415,"(2.8, 4.9, 4.466666666666667)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:12.798279,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:14.038336,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:15.238240,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:16.397390,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:17.468535,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 162.0)","(9.0, 18.5, 17.488888888888887)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:18.611321,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:19.778542,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:20.977815,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:22.115629,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:23.277405,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:24.435418,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:25.603639,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:26.799418,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:27.990605,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:29.190398,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:30.387406,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:31.551976,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:32.780115,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:33.971388,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:35.068789,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:36.112447,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:37.214119,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:38.381210,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:39.522779,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:40.645595,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:41.869778,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:43.268552,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:44.551049,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:45.788010,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
06-01-2023 11:28:47.063205,"(2.8, 4.9, 4.177777777777778)","(1.8, 2.96, 2.949767441860465)","(61.0, 95.0, 64.4)","(51.0, 200.0, 98.66666666666666)","(9.0, 18.5, 14.86)","(5.0, 6.2, 5.85)","(101.0, 210.0, 126.66666666666666)","(31.0, 46.0, 38.0)"
