,Paramount Rush,Kahlua And Soda,Up There Millie,Magic Zimba,Destini Fresco,Up There Rocco
16-12-2022 10:46:45.085213,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:45.961121,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:46.841656,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:47.843116,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:48.858062,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:49.786291,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:50.717341,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:51.623462,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:52.539739,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:53.575375,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:54.512934,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:55.392001,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:56.347939,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
