,Roll Along Jane,Anyonewilldo,No Rushing,Redbank Harry,Screentime,Paddy Mach,Smokin Pocket,Our Rocky,Miami Surf,Hilly
09-01-2023 15:22:13.699899,"(5.0, 7.6, 6.444444444444445)","(51.0, 190.0, 94.0)","(15.0, 29.0, 21.5)","(3.7, 5.7, 5.016666666666667)","(12.0, 25.0, 17.5)","(8.0, 12.5, 10.38)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 8.6, 6.6000000000000005)","(8.0, 14.0, 10.9)"
09-01-2023 15:22:15.007377,"(5.0, 7.6, 6.857142857142857)","(51.0, 190.0, 94.0)","(15.0, 29.0, 23.333333333333336)","(3.7, 5.7, 5.016666666666667)","(12.0, 25.0, 17.5)","(8.0, 12.5, 10.38)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 7.4, 6.6000000000000005)","(8.0, 14.0, 10.9)"
09-01-2023 15:22:16.326178,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 5.7, 4.225)","(12.0, 25.0, 16.666666666666668)","(8.0, 12.5, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 7.4, 6.55)","(8.0, 14.0, 9.225)"
09-01-2023 15:22:17.663442,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 4.8, 4.225)","(12.0, 25.0, 16.666666666666668)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 7.2, 6.55)","(8.0, 13.5, 9.225)"
09-01-2023 15:22:19.084832,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 4.8, 4.225)","(12.0, 25.0, 16.666666666666668)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 7.2, 6.466666666666667)","(8.0, 13.5, 9.225)"
09-01-2023 15:22:20.479234,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 4.8, 4.225)","(12.0, 25.0, 16.666666666666668)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 7.0, 8.066666666666666)","(8.0, 13.5, 9.225)"
09-01-2023 15:22:21.836289,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 4.8, 4.225)","(12.0, 25.0, 20.833333333333336)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 8.6, 8.125)","(8.0, 13.5, 10.4)"
09-01-2023 15:22:23.167783,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 4.8, 4.225)","(12.0, 25.0, 20.833333333333336)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 8.4, 8.125)","(8.0, 13.0, 10.4)"
09-01-2023 15:22:24.476322,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 4.8, 4.225)","(12.0, 25.0, 20.833333333333336)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 8.4, 7.885714285714286)","(8.0, 13.0, 10.4)"
09-01-2023 15:22:25.673892,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 4.8, 4.225)","(12.0, 25.0, 20.833333333333336)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 8.4, 7.885714285714286)","(8.0, 13.0, 10.4)"
09-01-2023 15:22:26.931175,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 18.307692307692307)","(3.7, 4.8, 4.225)","(12.0, 25.0, 20.833333333333336)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 8.4, 7.885714285714286)","(8.0, 13.0, 10.4)"
09-01-2023 15:22:28.192357,"(5.0, 7.4, 6.714285714285714)","(51.0, 190.0, 94.0)","(15.0, 28.0, 20.5)","(3.7, 4.8, 4.225)","(12.0, 25.0, 20.833333333333336)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 8.4, 7.007692307692308)","(8.0, 13.0, 9.1)"
09-01-2023 15:22:29.493897,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 27.0, 20.5)","(3.7, 4.8, 4.225)","(12.0, 25.0, 20.833333333333336)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 7.2, 7.08421052631579)","(8.0, 13.0, 9.1)"
09-01-2023 15:22:30.822895,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 27.0, 20.5)","(3.7, 4.8, 4.225)","(12.0, 25.0, 20.833333333333336)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 7.4, 8.066666666666666)","(8.0, 13.0, 9.1)"
09-01-2023 15:22:32.134538,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 27.0, 20.5)","(3.7, 4.8, 4.225)","(12.0, 25.0, 17.5)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 8.6, 6.4731707317073175)","(8.0, 13.0, 9.1)"
09-01-2023 15:22:33.393851,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 27.0, 22.0)","(3.7, 4.8, 4.225)","(12.0, 25.0, 17.5)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.3)","(4.2, 7.0, 6.4731707317073175)","(8.0, 13.0, 10.4)"
09-01-2023 15:22:34.625513,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.8, 4.225)","(12.0, 25.0, 17.5)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.25)"
09-01-2023 15:22:35.948121,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.8, 4.225)","(12.0, 25.0, 17.5)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 8.885714285714284)"
09-01-2023 15:22:37.261082,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.8, 4.225)","(12.0, 25.0, 17.5)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 8.52)"
09-01-2023 15:22:38.683912,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.8, 4.225)","(12.0, 25.0, 17.5)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 8.52)"
09-01-2023 15:22:40.018493,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.8, 4.300000000000001)","(12.0, 25.0, 17.5)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 8.52)"
09-01-2023 15:22:41.306391,"(5.0, 7.4, 6.090909090909091)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 25.0, 17.5)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 8.52)"
09-01-2023 15:22:42.557553,"(5.0, 7.4, 5.428571428571428)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 24.0, 18.25)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:43.857477,"(5.0, 7.4, 6.666666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 24.0, 18.25)","(8.0, 12.0, 10.8)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:45.140061,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 24.0, 18.25)","(8.0, 11.0, 9.56)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:46.425885,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 24.0, 17.166666666666668)","(8.0, 11.0, 9.3)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:47.710148,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 11.0, 9.577777777777778)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:48.976410,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 11.0, 9.728571428571428)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:50.234291,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.85)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.49090909090909)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:51.428138,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.675)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.866666666666667)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:52.655442,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.725)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.866666666666667)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:53.939539,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.725)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.6625)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:55.272508,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.725)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.887500000000001)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:56.587117,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.728571428571428)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.879999999999999)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.16)"
09-01-2023 15:22:57.900074,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.728571428571428)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.82)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 9.666666666666666)"
09-01-2023 15:22:59.265232,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 22.0)","(3.7, 4.7, 4.300000000000001)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.85)","(31.0, 120.0, 76.0)","(6.0, 9.0, 8.65)","(4.2, 7.0, 5.975862068965518)","(8.0, 13.0, 11.0)"
09-01-2023 15:23:00.457184,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 26.0, 19.5)","(3.7, 4.7, 4.3352941176470585)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.85)","(31.0, 120.0, 76.0)","(6.0, 9.0, 7.822222222222222)","(4.2, 7.0, 6.2)","(8.0, 13.0, 10.866666666666667)"
09-01-2023 15:23:01.624893,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 25.0, 22.0)","(3.7, 4.6, 4.06875)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.675)","(31.0, 120.0, 76.0)","(6.0, 8.6, 6.733333333333333)","(4.2, 6.8, 6.47)","(8.0, 13.0, 10.866666666666667)"
09-01-2023 15:23:02.822520,"(5.0, 7.4, 6.466666666666667)","(51.0, 190.0, 94.0)","(15.0, 24.0, 22.0)","(3.7, 4.6, 4.06875)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.725)","(31.0, 120.0, 76.0)","(6.0, 8.6, 6.733333333333333)","(4.2, 6.8, 6.47)","(8.0, 13.0, 10.866666666666667)"
09-01-2023 15:23:04.127727,"(5.0, 7.4, 6.066666666666667)","(51.0, 190.0, 94.0)","(15.0, 24.0, 22.0)","(3.7, 4.6, 4.06875)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.725)","(31.0, 120.0, 76.0)","(6.0, 8.6, 6.733333333333333)","(4.2, 6.8, 6.47)","(8.0, 13.0, 9.32)"
09-01-2023 15:23:05.499758,"(5.0, 7.4, 6.066666666666667)","(51.0, 190.0, 94.0)","(15.0, 24.0, 20.666666666666668)","(3.7, 4.6, 4.06875)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.725)","(31.0, 120.0, 76.0)","(6.0, 8.6, 7.044444444444444)","(4.2, 6.8, 6.555555555555555)","(8.0, 13.0, 9.32)"
09-01-2023 15:23:06.801651,"(5.0, 7.4, 6.066666666666667)","(51.0, 190.0, 94.0)","(15.0, 24.0, 20.0)","(3.7, 4.6, 4.06875)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.533333333333333)","(31.0, 120.0, 76.0)","(6.0, 8.6, 6.9529411764705875)","(4.2, 6.8, 6.555555555555555)","(8.0, 13.0, 9.32)"
09-01-2023 15:23:08.084311,"(5.0, 7.4, 6.066666666666667)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.0)","(3.7, 4.6, 4.06875)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.533333333333333)","(31.0, 120.0, 76.0)","(6.0, 8.6, 6.9529411764705875)","(4.2, 6.8, 6.622222222222222)","(8.0, 13.0, 9.32)"
09-01-2023 15:23:09.393614,"(5.0, 7.4, 6.066666666666667)","(51.0, 190.0, 94.0)","(15.0, 23.0, 18.846153846153847)","(3.7, 4.6, 4.245833333333334)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 9.384615384615385)","(31.0, 120.0, 76.0)","(6.0, 8.6, 6.733333333333333)","(4.2, 6.8, 6.329032258064516)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:10.660818,"(5.0, 7.4, 6.3)","(51.0, 190.0, 94.0)","(15.0, 23.0, 18.846153846153847)","(3.7, 4.6, 4.245833333333334)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.6875)","(31.0, 120.0, 76.0)","(6.0, 8.6, 6.71111111111111)","(4.2, 6.6, 6.329032258064516)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:11.910460,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.245833333333334)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.6875)","(31.0, 120.0, 76.0)","(6.0, 8.6, 6.71111111111111)","(4.2, 6.6, 6.711111111111111)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:13.213511,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.1)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.6875)","(31.0, 120.0, 76.0)","(6.0, 8.6, 7.05)","(4.2, 6.8, 6.666666666666666)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:14.492034,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.266666666666667)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.6875)","(31.0, 120.0, 76.0)","(6.0, 8.4, 6.76)","(4.2, 6.8, 6.666666666666666)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:15.808122,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.266666666666667)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.6875)","(31.0, 120.0, 76.0)","(6.0, 8.2, 6.76)","(4.2, 6.8, 6.6875)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:16.979514,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.266666666666667)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.6875)","(31.0, 120.0, 76.0)","(6.0, 8.2, 6.76)","(4.2, 6.8, 6.4625)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:18.139968,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.266666666666667)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.6875)","(31.0, 120.0, 76.0)","(6.0, 8.2, 6.76)","(4.2, 6.8, 6.4625)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:19.293669,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.266666666666667)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.6875)","(31.0, 120.0, 76.0)","(6.0, 8.2, 6.76)","(4.2, 6.8, 6.773333333333333)","(8.0, 13.0, 9.32)"
09-01-2023 15:23:20.452986,"(5.0, 7.2, 6.86)","(51.0, 190.0, 94.0)","(15.0, 23.0, 21.714285714285715)","(3.7, 4.6, 4.1)","(12.0, 23.0, 17.166666666666668)","(8.0, 10.5, 8.85)","(31.0, 120.0, 76.0)","(6.0, 8.2, 7.0)","(4.2, 9.0, 8.2)","(8.0, 13.0, 9.32)"
09-01-2023 15:23:21.727580,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.266666666666667)","(12.0, 23.0, 18.625)","(8.0, 10.5, 8.85)","(31.0, 120.0, 76.0)","(6.0, 8.2, 7.0)","(4.2, 6.6, 6.533333333333333)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:22.944636,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.6, 4.266666666666667)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 120.0, 98.0)","(6.0, 8.2, 7.34375)","(4.2, 8.8, 6.329032258064516)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:24.134608,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 20.545454545454547)","(3.7, 4.5, 4.01)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 120.0, 85.6)","(6.0, 8.0, 7.507692307692308)","(4.2, 6.6, 6.81875)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:25.298374,"(5.0, 7.2, 6.938461538461539)","(51.0, 190.0, 94.0)","(15.0, 23.0, 18.25)","(3.7, 4.5, 4.045)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 120.0, 79.6)","(6.0, 7.8, 7.20625)","(4.2, 7.0, 7.9714285714285715)","(8.0, 13.0, 8.911111111111111)"
09-01-2023 15:23:26.631843,"(5.0, 7.2, 6.729411764705882)","(51.0, 180.0, 68.33333333333333)","(15.0, 22.0, 18.81818181818182)","(3.7, 4.5, 4.175)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 110.0, 79.6)","(6.0, 7.8, 6.9)","(4.2, 8.6, 6.214814814814814)","(8.0, 13.0, 9.083333333333334)"
09-01-2023 15:23:27.965059,"(5.0, 7.4, 6.729411764705882)","(51.0, 180.0, 68.33333333333333)","(15.0, 22.0, 18.81818181818182)","(3.7, 4.5, 4.175)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 110.0, 93.11111111111111)","(6.0, 7.8, 6.9)","(4.2, 6.6, 6.6)","(8.0, 12.5, 9.766666666666667)"
09-01-2023 15:23:29.273188,"(5.0, 7.4, 6.729411764705882)","(51.0, 180.0, 68.33333333333333)","(15.0, 22.0, 18.81818181818182)","(3.7, 4.5, 4.175)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 110.0, 85.33333333333333)","(6.0, 7.8, 6.9)","(4.2, 6.8, 6.124137931034483)","(8.0, 12.5, 9.6)"
09-01-2023 15:23:30.497268,"(5.0, 7.4, 6.729411764705882)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.175)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.266666666666667)","(4.2, 6.8, 5.711111111111111)","(8.0, 12.0, 9.6)"
09-01-2023 15:23:31.608576,"(5.0, 7.4, 6.729411764705882)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.175)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.48)","(4.2, 6.8, 6.2)","(8.0, 12.0, 9.6)"
09-01-2023 15:23:32.890341,"(5.0, 7.4, 6.729411764705882)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.175)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.48)","(4.2, 6.6, 6.2)","(8.0, 12.0, 9.6)"
09-01-2023 15:23:34.147874,"(5.0, 7.4, 6.729411764705882)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.175)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.48)","(4.2, 6.6, 6.2)","(8.0, 12.0, 9.6)"
09-01-2023 15:23:35.304862,"(5.0, 7.4, 6.729411764705882)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.175)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.48)","(4.2, 6.6, 6.2)","(8.0, 12.0, 9.6)"
09-01-2023 15:23:36.474217,"(5.0, 7.4, 6.729411764705882)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.08)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.553846153846154)","(4.2, 6.6, 6.2)","(8.0, 12.0, 11.028571428571428)"
09-01-2023 15:23:37.655247,"(5.0, 7.4, 6.729411764705882)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.08)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.553846153846154)","(4.2, 6.6, 6.2)","(8.0, 12.0, 11.32)"
09-01-2023 15:23:38.802533,"(5.0, 7.2, 6.66875)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.2)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.553846153846154)","(4.2, 6.6, 6.2)","(8.0, 12.0, 11.36)"
09-01-2023 15:23:39.926559,"(5.0, 7.2, 6.66875)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.2)","(12.0, 23.0, 14.666666666666666)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.553846153846154)","(4.2, 6.6, 6.2)","(8.0, 12.0, 11.36)"
09-01-2023 15:23:41.098777,"(5.0, 7.2, 6.66875)","(51.0, 170.0, 87.33333333333334)","(15.0, 21.0, 18.272727272727273)","(3.7, 4.5, 4.2)","(12.0, 23.0, 16.214285714285715)","(8.0, 10.5, 9.392857142857142)","(31.0, 100.0, 85.33333333333333)","(6.0, 7.8, 7.553846153846154)","(4.2, 6.6, 6.15)","(8.0, 12.0, 11.36)"
