,My Mate Phil,Mighty Miners,Stolen Jade,Tony Pepperoni,Red Hill,Hes Got Swagger,Working Bee
30,"[datetime.datetime(2022, 11, 28, 19, 31, 1, 891262), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 1, 891262), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 1, 891262), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 1, 891262), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 1, 891262), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 1, 891262), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 1, 891262), 51.0, 510.0]"
31,"[datetime.datetime(2022, 11, 28, 19, 31, 3, 17973), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 3, 17973), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 3, 17973), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 3, 17973), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 3, 17973), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 3, 17973), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 3, 17973), 51.0, 510.0]"
32,"[datetime.datetime(2022, 11, 28, 19, 31, 4, 144049), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 4, 144049), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 4, 144049), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 4, 144049), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 4, 144049), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 4, 144049), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 4, 144049), 51.0, 510.0]"
33,"[datetime.datetime(2022, 11, 28, 19, 31, 5, 278682), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 5, 278682), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 5, 278682), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 5, 278682), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 5, 278682), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 5, 278682), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 5, 278682), 51.0, 510.0]"
34,"[datetime.datetime(2022, 11, 28, 19, 31, 6, 396981), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 6, 396981), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 6, 396981), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 6, 396981), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 6, 396981), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 6, 396981), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 6, 396981), 51.0, 510.0]"
35,"[datetime.datetime(2022, 11, 28, 19, 31, 7, 513579), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 7, 513579), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 7, 513579), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 7, 513579), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 7, 513579), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 7, 513579), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 7, 513579), 51.0, 510.0]"
36,"[datetime.datetime(2022, 11, 28, 19, 31, 8, 625916), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 8, 625916), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 8, 625916), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 8, 625916), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 8, 625916), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 8, 625916), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 8, 625916), 51.0, 510.0]"
37,"[datetime.datetime(2022, 11, 28, 19, 31, 9, 750218), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 9, 750218), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 9, 750218), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 9, 750218), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 9, 750218), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 9, 750218), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 9, 750218), 51.0, 510.0]"
38,"[datetime.datetime(2022, 11, 28, 19, 31, 10, 858721), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 10, 858721), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 10, 858721), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 10, 858721), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 10, 858721), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 10, 858721), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 10, 858721), 51.0, 510.0]"
39,"[datetime.datetime(2022, 11, 28, 19, 31, 11, 975031), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 11, 975031), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 31, 11, 975031), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 31, 11, 975031), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 31, 11, 975031), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 31, 11, 975031), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 31, 11, 975031), 51.0, 510.0]"
