,Jess For Kicks,Holy Pink,Supersnake,Ballymena,Ultimate Breeze,Americas Woman,Red Priestess,Mi Yayis,My Bridget Verdot
06-01-2023 09:54:46.074551,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:47.147658,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:48.244211,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:49.301075,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:50.361264,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:51.555534,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:52.681648,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:53.817026,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:54.957406,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:56.004444,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
