,Knight Walker,Yarraman Markle,Nightwatch Star,Gemmas Express,Lexy Can Bern,Beatboxer,Blissfull Donna,Caesars Rockstar,Neville Shannon
15-12-2022 14:32:32.103204,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:33.383552,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:34.652194,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:35.968265,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:37.374594,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:38.724943,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:40.002634,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:41.244986,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:42.457057,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
15-12-2022 14:32:43.629627,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.4, 7.488888888888889)","(15.0, 44.0, 24.0)","(21.0, 70.0, 30.0)"
