,Fools Mirage,Cat Named Hercules,Homegrown Legend,Prince Carolina J,Forever Indian,Eura Bunny Boy,Charm The Ladies
08-12-2022 12:48:12.357337,"(2.35, 3.35, 3.228)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:13.485118,"(2.35, 3.35, 3.294545454545455)","(41.0, 980.0, 358.6666666666667)","(26.0, 95.0, 55.75)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:14.598121,"(2.35, 3.35, 3.294545454545455)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 28.666666666666668)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:15.763635,"(2.35, 3.35, 3.1533333333333333)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 20.32)","(21.0, 32.0, 30.0)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:16.806854,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:17.753064,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:18.941502,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:20.048898,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.607692307692307)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:21.123800,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.607692307692307)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:22.183318,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.607692307692307)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.45, 3.1366666666666667)"
08-12-2022 12:48:23.420592,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.607692307692307)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.45, 3.2199999999999998)"
08-12-2022 12:48:24.572266,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.607692307692307)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:25.676105,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.607692307692307)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:26.828233,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.4875)","(10.0, 23.0, 17.72)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:28.001918,"(2.35, 3.35, 3.2025)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.55)","(10.0, 23.0, 20.36)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:29.110597,"(2.35, 3.0, 2.94)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 41.0)","(4.2, 4.8, 4.55)","(10.0, 23.0, 20.36)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:30.262455,"(2.35, 3.0, 2.94)","(41.0, 980.0, 358.6666666666667)","(26.0, 90.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 20.36)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:31.393622,"(2.35, 3.0, 2.94)","(41.0, 980.0, 358.6666666666667)","(26.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 20.36)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:32.481908,"(2.35, 3.0, 2.94)","(41.0, 980.0, 358.6666666666667)","(26.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 20.36)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:33.692723,"(2.35, 3.0, 2.9175)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 20.36)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:34.812248,"(2.35, 3.0, 2.9175)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 20.36)","(21.0, 34.0, 30.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:35.917519,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 20.36)","(21.0, 34.0, 34.0)","(2.9, 3.4, 3.2114285714285713)"
08-12-2022 12:48:36.888986,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 17.72)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2114285714285713)"
08-12-2022 12:48:37.971056,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 17.64)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:39.120382,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 17.64)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:40.293411,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 17.64)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:41.353361,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 17.64)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:42.392125,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:43.433473,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2114285714285713)"
08-12-2022 12:48:44.587368,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2114285714285713)"
08-12-2022 12:48:45.644020,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 34.0)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:46.767135,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 35.5)","(2.9, 3.4, 3.2114285714285713)"
08-12-2022 12:48:47.812876,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 35.5)","(2.9, 3.4, 3.2114285714285713)"
08-12-2022 12:48:48.859845,"(2.35, 3.0, 2.88)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 35.5)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:49.923284,"(2.35, 3.0, 2.856)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 35.5)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:50.997511,"(2.35, 3.0, 2.856)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 35.5)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:52.260665,"(2.35, 3.0, 2.8971428571428572)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 35.5)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:53.577038,"(2.35, 3.0, 2.9485714285714284)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 16.4)","(21.0, 40.0, 35.5)","(2.9, 3.4, 3.2199999999999998)"
08-12-2022 12:48:54.819994,"(2.35, 3.0, 2.9485714285714284)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 17.64)","(21.0, 40.0, 35.5)","(2.9, 3.45, 3.215)"
08-12-2022 12:48:56.076489,"(2.35, 3.0, 2.9485714285714284)","(41.0, 980.0, 358.6666666666667)","(21.0, 85.0, 39.33333333333333)","(4.2, 4.8, 4.55)","(10.0, 23.0, 17.64)","(21.0, 40.0, 35.5)","(2.9, 3.45, 3.2199999999999998)"
