,Aston Hamrun,Fletcher Flash,Molly Cruiser,Drop Fifty,Grumpy Sailor,Osprey Warrior,Ibrox Goram
12-01-2023 17:14:55.224260,"(8.0, 14.0, 13.5625)","(5.5, 9.2, 8.514285714285714)","(31.0, 95.0, 79.0)","(11.0, 23.0, 19.065573770491802)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.44, 2.4243478260869566)","(3.0, 3.55, 3.3625)"
12-01-2023 17:14:56.148950,"(8.0, 14.0, 13.5625)","(5.5, 9.2, 8.45)","(31.0, 95.0, 76.53846153846153)","(11.0, 23.0, 19.07017543859649)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.44, 2.357647058823529)","(3.0, 3.55, 3.33125)"
12-01-2023 17:14:57.082686,"(8.0, 14.0, 13.5625)","(5.5, 9.2, 8.45)","(31.0, 95.0, 76.53846153846153)","(11.0, 23.0, 19.07017543859649)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.44, 2.357647058823529)","(3.0, 3.55, 3.33125)"
12-01-2023 17:14:58.049752,"(8.0, 14.0, 13.5625)","(5.5, 9.2, 8.45)","(31.0, 95.0, 76.53846153846153)","(11.0, 23.0, 19.07017543859649)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.44, 2.357647058823529)","(3.0, 3.55, 3.33125)"
12-01-2023 17:14:59.254233,"(8.0, 14.0, 13.666666666666666)","(5.5, 9.2, 8.435294117647057)","(31.0, 95.0, 76.53846153846153)","(11.0, 23.0, 21.095238095238095)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.44, 2.4238709677419354)","(3.0, 3.55, 3.3714285714285714)"
12-01-2023 17:15:00.343454,"(8.0, 14.0, 13.777777777777779)","(5.5, 9.2, 8.435294117647057)","(31.0, 95.0, 76.53846153846153)","(11.0, 23.0, 21.095238095238095)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.44, 2.428095238095238)","(3.0, 3.55, 3.3714285714285714)"
12-01-2023 17:15:01.456938,"(8.0, 14.0, 13.777777777777779)","(5.5, 9.2, 8.410526315789474)","(31.0, 95.0, 76.53846153846153)","(11.0, 23.0, 20.875)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.44, 2.4303846153846154)","(3.0, 3.55, 3.3714285714285714)"
12-01-2023 17:15:02.490536,"(8.0, 14.0, 13.666666666666666)","(5.5, 9.2, 8.410526315789474)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.692307692307693)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.44, 2.3595238095238096)","(3.0, 3.55, 3.3714285714285714)"
12-01-2023 17:15:03.711833,"(8.0, 14.0, 13.666666666666666)","(5.5, 9.2, 8.410526315789474)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.692307692307693)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.36, 2.436470588235294)","(3.0, 3.55, 3.3714285714285714)"
12-01-2023 17:15:04.822665,"(8.0, 14.0, 13.666666666666666)","(5.5, 9.2, 8.410526315789474)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.5)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.46, 2.4248275862068964)","(3.0, 3.55, 3.3714285714285714)"
12-01-2023 17:15:05.767239,"(8.0, 14.0, 13.666666666666666)","(5.5, 9.2, 8.410526315789474)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.5)","(11.0, 32.0, 27.833333333333332)","(2.2, 2.46, 2.4248275862068964)","(3.0, 3.55, 3.3714285714285714)"
12-01-2023 17:15:06.804957,"(8.0, 14.0, 13.666666666666666)","(5.5, 9.2, 8.410526315789474)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.5)","(11.0, 32.0, 27.75)","(2.2, 2.46, 2.4073684210526314)","(3.0, 3.55, 3.3714285714285714)"
12-01-2023 17:15:07.847826,"(8.0, 14.0, 13.777777777777779)","(5.5, 9.2, 8.410526315789474)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.714285714285715)","(11.0, 32.0, 27.75)","(2.2, 2.46, 2.4073684210526314)","(3.0, 3.55, 3.44)"
12-01-2023 17:15:08.796517,"(8.0, 15.0, 14.454545454545455)","(5.5, 9.2, 8.42222222222222)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.714285714285715)","(11.0, 32.0, 27.75)","(2.2, 2.46, 2.3975)","(3.0, 3.5, 3.3714285714285714)"
12-01-2023 17:15:09.803131,"(8.0, 15.0, 14.333333333333334)","(5.5, 9.2, 8.42222222222222)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.714285714285715)","(11.0, 32.0, 27.75)","(2.2, 2.46, 2.3975)","(3.0, 3.5, 3.35)"
12-01-2023 17:15:10.813457,"(8.0, 15.0, 14.090909090909092)","(5.5, 9.2, 8.42222222222222)","(31.0, 95.0, 76.53846153846153)","(11.0, 20.0, 19.923076923076923)","(11.0, 32.0, 27.75)","(2.2, 2.46, 2.3975)","(3.0, 3.5, 3.35)"
12-01-2023 17:15:11.742272,"(8.0, 15.0, 14.090909090909092)","(5.5, 9.2, 8.42222222222222)","(31.0, 95.0, 76.53846153846153)","(11.0, 20.0, 19.923076923076923)","(11.0, 30.0, 29.0)","(2.2, 2.46, 2.3991304347826086)","(3.0, 3.5, 3.35)"
12-01-2023 17:15:12.896296,"(8.0, 15.0, 14.090909090909092)","(5.5, 9.2, 8.42222222222222)","(31.0, 95.0, 76.53846153846153)","(11.0, 20.0, 19.923076923076923)","(11.0, 30.0, 29.0)","(2.2, 2.46, 2.4458823529411764)","(3.0, 3.45, 3.2769230769230773)"
12-01-2023 17:15:13.962324,"(8.0, 15.0, 14.545454545454545)","(5.5, 9.2, 8.42222222222222)","(31.0, 95.0, 76.53846153846153)","(11.0, 20.0, 19.923076923076923)","(11.0, 30.0, 27.46153846153846)","(2.2, 2.46, 2.458787878787879)","(3.0, 3.45, 3.4000000000000004)"
12-01-2023 17:15:15.057426,"(8.0, 15.0, 14.631578947368421)","(5.5, 9.0, 8.666666666666666)","(31.0, 95.0, 76.53846153846153)","(11.0, 20.0, 19.923076923076923)","(11.0, 30.0, 27.272727272727273)","(2.2, 2.46, 2.4585714285714286)","(3.0, 3.45, 3.4000000000000004)"
12-01-2023 17:15:16.129297,"(8.0, 15.0, 14.588235294117647)","(5.5, 9.0, 8.4)","(31.0, 95.0, 76.53846153846153)","(11.0, 20.0, 20.6)","(11.0, 30.0, 27.272727272727273)","(2.2, 2.46, 2.458823529411765)","(3.0, 3.45, 3.3666666666666667)"
12-01-2023 17:15:17.227124,"(8.0, 15.0, 14.588235294117647)","(5.5, 8.8, 8.64)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.6)","(11.0, 30.0, 27.272727272727273)","(2.2, 2.46, 2.458823529411765)","(3.0, 3.45, 3.225)"
12-01-2023 17:15:18.195010,"(8.0, 15.0, 14.588235294117647)","(5.5, 8.8, 8.64)","(31.0, 95.0, 76.53846153846153)","(11.0, 21.0, 20.6)","(11.0, 30.0, 27.272727272727273)","(2.2, 2.46, 2.458823529411765)","(3.0, 3.45, 3.25)"
12-01-2023 17:15:19.185163,"(8.0, 15.0, 14.5625)","(5.5, 8.8, 8.64)","(31.0, 95.0, 76.53846153846153)","(11.0, 20.0, 19.923076923076923)","(11.0, 30.0, 27.272727272727273)","(2.2, 2.46, 2.4566666666666666)","(3.0, 3.4, 3.3249999999999997)"
