,Willsintown,Destiny Blues,Fortyfive Rock,Handsome Harry Nz,Tulhurst Cuddles,Taleggio,Jaydes Terror,Darby Brights,Whata Reactor
12-01-2023 14:55:08.660571,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:10.042482,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:11.316818,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:12.656882,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:14.012901,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:15.532259,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:16.955798,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:18.286542,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:19.562102,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:20.685274,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
