,Smoke Show,Bit Shakey,Our Girls Shout,Rogue Temptation,Home Invader,Scott Me
11-01-2023 11:56:38.446667,"(3.6, 4.5, 4.375)","(2.5, 2.92, 2.9021198156682027)","(3.6, 3.85, 3.7976190476190474)","(26.0, 34.0, 32.666666666666664)","(14.0, 23.0, 22.636363636363637)","(8.0, 11.0, 10.642857142857142)"
11-01-2023 11:56:39.442482,"(3.6, 4.5, 4.38235294117647)","(2.5, 2.92, 2.9025225225225224)","(3.6, 3.85, 3.798979591836735)","(26.0, 34.0, 31.684210526315788)","(14.0, 23.0, 22.35483870967742)","(8.0, 11.0, 10.615384615384615)"
11-01-2023 11:56:40.332775,"(3.6, 4.5, 4.38235294117647)","(2.5, 2.92, 2.9043410852713176)","(3.6, 3.85, 3.798979591836735)","(26.0, 32.0, 31.333333333333332)","(14.0, 24.0, 22.78787878787879)","(8.0, 11.0, 10.615384615384615)"
11-01-2023 11:56:41.265480,"(3.6, 4.5, 4.379120879120879)","(2.5, 2.98, 2.96)","(3.6, 3.85, 3.7929906542056075)","(26.0, 32.0, 31.914285714285715)","(14.0, 24.0, 22.8)","(8.0, 11.0, 10.62962962962963)"
11-01-2023 11:56:42.195139,"(3.6, 4.4, 4.37948717948718)","(2.5, 2.98, 2.9725714285714284)","(3.6, 3.85, 3.7802083333333334)","(26.0, 32.0, 31.90909090909091)","(14.0, 24.0, 22.75)","(8.0, 11.0, 10.666666666666666)"
11-01-2023 11:56:43.121976,"(3.6, 4.4, 4.078260869565217)","(2.5, 3.05, 3.0060465116279067)","(3.6, 3.85, 3.8)","(26.0, 32.0, 31.90909090909091)","(14.0, 24.0, 22.38095238095238)","(8.0, 11.0, 10.666666666666666)"
11-01-2023 11:56:44.063992,"(3.6, 4.2, 4.058064516129033)","(2.5, 3.05, 3.0113636363636362)","(3.6, 3.9, 3.861904761904762)","(26.0, 34.0, 33.04255319148936)","(14.0, 24.0, 23.266666666666666)","(8.0, 11.0, 10.741379310344827)"
11-01-2023 11:56:44.967537,"(3.6, 4.2, 4.054545454545455)","(2.5, 3.05, 3.036764705882353)","(3.6, 3.9, 3.886111111111111)","(26.0, 34.0, 33.04255319148936)","(14.0, 24.0, 23.266666666666666)","(8.0, 11.0, 10.829268292682928)"
11-01-2023 11:56:45.849045,"(3.6, 4.2, 4.04)","(2.5, 3.05, 3.0416666666666665)","(3.6, 3.95, 3.914285714285714)","(26.0, 30.0, 29.076923076923077)","(14.0, 24.0, 23.357142857142858)","(8.0, 11.0, 10.829268292682928)"
11-01-2023 11:56:46.692972,"(3.6, 4.2, 4.02)","(2.5, 3.05, 3.0416666666666665)","(3.6, 3.95, 3.914285714285714)","(26.0, 32.0, 29.5)","(14.0, 24.0, 23.76923076923077)","(8.0, 11.0, 10.806451612903226)"
11-01-2023 11:56:47.553506,"(3.6, 4.1, 4.008333333333333)","(2.5, 3.1, 3.085526315789474)","(3.6, 3.95, 3.94)","(21.0, 30.0, 29.53846153846154)","(14.0, 23.0, 22.791666666666668)","(8.0, 10.5, 10.390625)"
11-01-2023 11:56:48.427678,"(3.6, 4.1, 4.009558823529412)","(2.5, 3.1, 3.0924698795180725)","(3.6, 4.0, 3.960714285714286)","(21.0, 30.0, 29.4)","(14.0, 23.0, 22.8125)","(8.0, 10.5, 10.333333333333334)"
11-01-2023 11:56:49.362236,"(3.6, 4.0, 3.9537037037037037)","(2.5, 3.15, 3.1342857142857143)","(3.6, 4.0, 3.97741935483871)","(21.0, 30.0, 29.048780487804876)","(14.0, 23.0, 22.75)","(8.0, 10.5, 10.1875)"
11-01-2023 11:56:50.302954,"(3.6, 4.0, 3.944444444444444)","(2.5, 3.15, 3.1466666666666665)","(3.6, 3.95, 3.9000000000000004)","(21.0, 30.0, 29.133333333333333)","(14.0, 23.0, 22.857142857142858)","(8.0, 10.5, 10.11111111111111)"
11-01-2023 11:56:51.253922,"(3.6, 4.0, 3.952)","(2.5, 3.2, 3.147727272727273)","(3.6, 3.95, 3.9026315789473687)","(21.0, 30.0, 29.048780487804876)","(14.0, 24.0, 23.23076923076923)","(8.0, 10.5, 10.339285714285714)"
11-01-2023 11:56:52.167285,"(3.6, 4.0, 3.9054545454545453)","(2.5, 3.2, 3.1420000000000003)","(3.6, 3.95, 3.9222222222222225)","(21.0, 30.0, 28.142857142857142)","(14.0, 24.0, 22.962962962962962)","(8.0, 10.5, 10.333333333333334)"
11-01-2023 11:56:53.193676,"(3.6, 4.0, 3.9054545454545453)","(2.5, 3.2, 3.1420000000000003)","(3.6, 3.95, 3.9222222222222225)","(21.0, 30.0, 28.142857142857142)","(14.0, 24.0, 22.962962962962962)","(8.0, 10.5, 10.333333333333334)"
11-01-2023 11:56:54.440444,"(3.5, 4.0, 3.909090909090909)","(2.6, 3.2, 3.1716216216216218)","(3.6, 3.95, 3.9462962962962966)","(21.0, 30.0, 29.454545454545453)","(14.0, 24.0, 22.681818181818183)","(8.0, 10.5, 10.347826086956522)"
11-01-2023 11:56:55.389135,"(3.5, 3.95, 3.868181818181818)","(2.6, 3.2, 3.164473684210526)","(3.6, 3.95, 3.9312500000000004)","(21.0, 32.0, 30.666666666666668)","(14.0, 23.0, 22.842105263157894)","(8.0, 10.5, 10.216666666666667)"
11-01-2023 11:56:56.419444,"(3.5, 3.8, 3.7817073170731708)","(2.6, 3.2, 3.1771186440677965)","(3.6, 3.95, 3.9392857142857145)","(21.0, 32.0, 30.666666666666668)","(14.0, 23.0, 22.894736842105264)","(8.0, 10.5, 10.26388888888889)"
11-01-2023 11:56:57.427278,"(3.5, 3.9, 3.871212121212121)","(2.6, 3.25, 3.231896551724138)","(3.6, 3.95, 3.9181818181818184)","(21.0, 32.0, 30.545454545454547)","(14.0, 24.0, 23.333333333333332)","(8.0, 10.5, 10.166666666666666)"
11-01-2023 11:56:58.873292,"(3.5, 3.9, 3.8652777777777776)","(2.6, 3.25, 3.2125000000000004)","(3.6, 3.85, 3.8158878504672895)","(21.0, 32.0, 29.666666666666668)","(14.0, 24.0, 23.36)","(8.0, 10.5, 10.277777777777779)"
11-01-2023 11:56:59.962458,"(3.5, 3.9, 3.870149253731343)","(2.6, 3.25, 3.232051282051282)","(3.6, 3.8, 3.7929824561403507)","(21.0, 32.0, 29.9375)","(14.0, 24.0, 23.333333333333332)","(8.0, 11.0, 10.613636363636363)"
11-01-2023 11:57:01.050219,"(3.5, 3.9, 3.870149253731343)","(2.6, 3.25, 3.232051282051282)","(3.6, 3.8, 3.804736842105263)","(21.0, 32.0, 29.833333333333332)","(14.0, 24.0, 22.654545454545456)","(8.0, 11.0, 10.53125)"
11-01-2023 11:57:02.143056,"(3.5, 3.9, 3.8249999999999997)","(2.6, 3.25, 3.231818181818182)","(3.6, 3.85, 3.8061643835616437)","(21.0, 32.0, 30.533333333333335)","(14.0, 24.0, 22.51851851851852)","(8.0, 11.0, 10.340909090909092)"
11-01-2023 11:57:03.141418,"(3.5, 3.9, 3.8664835164835165)","(2.6, 3.3, 3.2955445544554456)","(3.6, 3.7, 3.656875)","(21.0, 32.0, 30.77777777777778)","(14.0, 22.0, 21.666666666666668)","(8.0, 11.0, 10.757142857142856)"
11-01-2023 11:57:04.127654,"(3.5, 3.9, 3.867058823529412)","(2.6, 3.3, 3.331578947368421)","(3.6, 3.7, 3.643150684931507)","(21.0, 32.0, 31.454545454545453)","(14.0, 22.0, 20.142857142857142)","(8.0, 11.0, 10.925925925925926)"
11-01-2023 11:57:05.350730,"(3.5, 3.9, 3.867058823529412)","(2.6, 3.35, 3.3193548387096774)","(3.6, 3.65, 3.645138888888889)","(21.0, 32.0, 31.571428571428573)","(14.0, 21.0, 20.41304347826087)","(8.0, 11.0, 10.944444444444445)"
11-01-2023 11:57:06.474995,"(3.5, 3.95, 3.9333333333333336)","(2.6, 3.35, 3.321641791044776)","(3.6, 3.65, 3.645138888888889)","(21.0, 32.0, 31.571428571428573)","(14.0, 21.0, 20.41304347826087)","(8.0, 11.0, 10.944444444444445)"
11-01-2023 11:57:07.548338,"(3.5, 3.95, 3.9333333333333336)","(2.6, 3.35, 3.321641791044776)","(3.6, 3.65, 3.645138888888889)","(21.0, 32.0, 31.571428571428573)","(14.0, 21.0, 20.41304347826087)","(8.0, 11.0, 10.944444444444445)"
11-01-2023 11:57:08.534874,"(3.5, 3.95, 3.9333333333333336)","(2.6, 3.35, 3.3566037735849057)","(3.6, 3.65, 3.5554597701149424)","(21.0, 32.0, 31.571428571428573)","(14.0, 21.0, 20.41304347826087)","(8.0, 11.0, 10.944444444444445)"
11-01-2023 11:57:09.671278,"(3.5, 3.95, 3.8820610687022903)","(2.6, 3.4, 3.3725)","(3.4, 3.6, 3.5548123980424142)","(21.0, 34.0, 32.5)","(15.0, 20.0, 19.5)","(8.0, 11.0, 10.866666666666667)"
11-01-2023 11:57:10.722544,"(3.5, 3.95, 3.8820610687022903)","(2.6, 3.4, 3.3725)","(3.4, 3.6, 3.5548123980424142)","(21.0, 34.0, 32.5)","(15.0, 20.0, 19.5)","(8.0, 11.0, 10.866666666666667)"
11-01-2023 11:57:11.673182,"(3.5, 3.95, 3.8820610687022903)","(2.6, 3.4, 3.3725)","(3.4, 3.6, 3.5548123980424142)","(21.0, 34.0, 32.5)","(15.0, 20.0, 19.5)","(8.0, 11.0, 10.866666666666667)"
11-01-2023 11:57:12.674096,"(3.5, 3.95, 3.8534883720930235)","(2.6, 3.45, 3.412745098039216)","(3.4, 3.55, 3.5227272727272725)","(21.0, 34.0, 32.666666666666664)","(15.0, 21.0, 20.09375)","(8.0, 11.5, 10.883333333333333)"
11-01-2023 11:57:13.794468,"(3.5, 3.9, 3.857142857142857)","(2.6, 3.45, 3.422463768115942)","(3.4, 3.55, 3.509782608695652)","(21.0, 34.0, 32.666666666666664)","(15.0, 21.0, 19.58888888888889)","(8.0, 11.5, 10.931372549019608)"
11-01-2023 11:57:14.889161,"(3.5, 4.1, 4.025)","(2.6, 3.45, 3.399019607843137)","(3.4, 3.55, 3.5019607843137255)","(21.0, 34.0, 32.666666666666664)","(15.0, 20.0, 19.270833333333332)","(8.0, 11.5, 10.811688311688311)"
11-01-2023 11:57:15.896765,"(3.5, 4.1, 4.0473684210526315)","(2.6, 3.4, 3.384722222222222)","(3.4, 3.5, 3.453747323340471)","(21.0, 34.0, 32.666666666666664)","(15.0, 20.0, 19.166666666666668)","(8.0, 11.5, 10.811688311688311)"
11-01-2023 11:57:16.978661,"(3.5, 4.1, 4.0473684210526315)","(2.6, 3.4, 3.395945945945946)","(3.4, 3.5, 3.4527896995708156)","(21.0, 34.0, 32.666666666666664)","(15.0, 20.0, 19.58823529411765)","(8.0, 11.5, 10.742424242424242)"
11-01-2023 11:57:17.902262,"(3.5, 4.1, 4.034)","(2.6, 3.45, 3.424576271186441)","(3.4, 3.55, 3.5073770491803278)","(21.0, 34.0, 32.5)","(15.0, 20.0, 19.545454545454547)","(8.0, 11.5, 10.675824175824175)"
11-01-2023 11:57:18.891983,"(3.5, 4.1, 4.034)","(2.6, 3.45, 3.406451612903226)","(3.4, 3.55, 3.501470588235294)","(21.0, 34.0, 33.55555555555556)","(15.0, 21.0, 19.5974025974026)","(8.0, 11.5, 10.668539325842696)"
11-01-2023 11:57:19.980608,"(3.5, 4.1, 4.034)","(2.6, 3.45, 3.409090909090909)","(3.4, 3.55, 3.5013513513513512)","(21.0, 34.0, 33.64705882352941)","(15.0, 21.0, 19.666666666666668)","(8.0, 11.5, 10.668539325842696)"
11-01-2023 11:57:21.088589,"(3.5, 4.1, 4.034)","(2.6, 3.4, 3.3879310344827585)","(3.3, 3.55, 3.511842105263158)","(21.0, 34.0, 34.72)","(15.0, 21.0, 21.338028169014084)","(8.0, 11.5, 10.2875)"
11-01-2023 11:57:22.213265,"(3.5, 4.2, 4.15)","(2.6, 3.4, 3.3641509433962264)","(3.3, 3.55, 3.511842105263158)","(21.0, 36.0, 34.285714285714285)","(15.0, 22.0, 21.821428571428573)","(8.0, 10.5, 10.174418604651162)"
11-01-2023 11:57:23.397650,"(3.5, 4.2, 4.139130434782609)","(2.6, 3.35, 3.3405405405405406)","(3.3, 3.55, 3.5047619047619047)","(21.0, 36.0, 34.285714285714285)","(15.0, 22.0, 21.083333333333332)","(8.0, 10.5, 10.147058823529411)"
11-01-2023 11:57:24.415849,"(3.5, 4.2, 4.106349206349206)","(2.7, 3.35, 3.3365853658536584)","(3.2, 3.55, 3.5147887323943663)","(21.0, 36.0, 34.285714285714285)","(15.0, 22.0, 21.0)","(8.0, 10.5, 10.172727272727272)"
11-01-2023 11:57:25.446536,"(3.5, 4.2, 4.10655737704918)","(2.7, 3.35, 3.3365853658536584)","(3.2, 3.5, 3.4855072463768115)","(21.0, 36.0, 34.285714285714285)","(15.0, 21.0, 20.473684210526315)","(8.0, 10.5, 10.25)"
11-01-2023 11:57:26.597430,"(3.5, 4.2, 4.10655737704918)","(2.7, 3.4, 3.345121951219512)","(3.2, 3.5, 3.4855072463768115)","(21.0, 36.0, 33.473684210526315)","(15.0, 21.0, 20.09090909090909)","(8.0, 10.5, 10.25)"
11-01-2023 11:57:27.626111,"(3.5, 4.2, 4.1060606060606055)","(2.7, 3.4, 3.3454545454545452)","(3.2, 3.5, 3.4983870967741937)","(21.0, 36.0, 33.473684210526315)","(15.0, 21.0, 20.03030303030303)","(8.0, 10.5, 10.25)"
11-01-2023 11:57:28.690530,"(3.5, 4.2, 4.109375)","(2.7, 3.35, 3.3074999999999997)","(3.2, 3.55, 3.498913043478261)","(21.0, 36.0, 33.473684210526315)","(15.0, 21.0, 20.037037037037038)","(8.0, 10.5, 10.25)"
11-01-2023 11:57:29.727628,"(3.5, 4.2, 4.097345132743363)","(2.7, 3.35, 3.314)","(3.2, 3.55, 3.49869109947644)","(21.0, 36.0, 33.473684210526315)","(15.0, 21.0, 20.643835616438356)","(8.0, 10.5, 10.25)"
11-01-2023 11:57:30.691991,"(3.5, 4.2, 4.106451612903226)","(2.7, 3.35, 3.327777777777778)","(3.2, 3.5, 3.461842105263158)","(21.0, 36.0, 33.473684210526315)","(15.0, 21.0, 20.643835616438356)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:31.589849,"(3.5, 4.2, 4.049350649350649)","(2.7, 3.4, 3.355)","(3.2, 3.5, 3.473170731707317)","(21.0, 36.0, 33.473684210526315)","(15.0, 22.0, 20.94736842105263)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:32.487660,"(3.5, 4.2, 4.034285714285715)","(2.7, 3.4, 3.354651162790698)","(3.2, 3.5, 3.4609756097560975)","(21.0, 36.0, 33.473684210526315)","(15.0, 22.0, 20.94736842105263)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:33.460468,"(3.5, 4.2, 4.034285714285715)","(2.7, 3.4, 3.354651162790698)","(3.2, 3.5, 3.4609756097560975)","(21.0, 36.0, 33.473684210526315)","(15.0, 22.0, 20.94736842105263)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:34.465298,"(3.5, 4.1, 4.036363636363636)","(2.7, 3.4, 3.354651162790698)","(3.2, 3.5, 3.4609756097560975)","(21.0, 36.0, 33.473684210526315)","(15.0, 22.0, 20.964285714285715)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:35.522490,"(3.5, 4.1, 4.0452830188679245)","(2.7, 3.4, 3.354651162790698)","(3.2, 3.5, 3.4839285714285717)","(21.0, 36.0, 33.473684210526315)","(15.0, 21.0, 20.424242424242426)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:36.703892,"(3.5, 4.1, 4.079545454545454)","(2.7, 3.4, 3.367142857142857)","(3.2, 3.5, 3.456521739130435)","(21.0, 36.0, 33.473684210526315)","(15.0, 21.0, 20.24137931034483)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:37.821634,"(3.5, 4.1, 4.079545454545454)","(2.7, 3.4, 3.367142857142857)","(3.2, 3.5, 3.456521739130435)","(21.0, 36.0, 33.473684210526315)","(15.0, 21.0, 21.49425287356322)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:38.766485,"(3.5, 4.1, 4.08021978021978)","(2.7, 3.4, 3.3697368421052634)","(3.2, 3.5, 3.4522292993630574)","(21.0, 36.0, 33.473684210526315)","(15.0, 22.0, 21.49425287356322)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:39.659406,"(3.5, 4.1, 4.083908045977012)","(2.7, 3.4, 3.3714285714285714)","(3.2, 3.5, 3.449358974358974)","(21.0, 36.0, 33.473684210526315)","(15.0, 22.0, 21.704918032786885)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:40.543158,"(3.5, 4.2, 4.1089552238805975)","(2.7, 3.45, 3.4000000000000004)","(3.2, 3.5, 3.4536363636363636)","(21.0, 36.0, 34.15384615384615)","(15.0, 22.0, 21.70967741935484)","(8.0, 10.5, 10.273809523809524)"
11-01-2023 11:57:41.436151,"(3.5, 4.1, 4.093827160493827)","(2.7, 3.5, 3.496165191740413)","(3.2, 3.45, 3.4335227272727273)","(21.0, 36.0, 34.15384615384615)","(15.0, 22.0, 21.62121212121212)","(8.0, 10.5, 10.23469387755102)"
11-01-2023 11:57:42.317183,"(3.5, 4.1, 4.082894736842105)","(2.7, 3.5, 3.4916666666666667)","(3.2, 3.45, 3.430921052631579)","(21.0, 32.0, 30.352941176470587)","(15.0, 22.0, 21.62121212121212)","(8.0, 10.5, 10.193877551020408)"
11-01-2023 11:57:43.221863,"(3.5, 4.1, 4.05)","(2.7, 3.5, 3.4694444444444446)","(3.2, 3.6, 3.5765486725663718)","(21.0, 32.0, 30.11764705882353)","(15.0, 22.0, 21.88)","(8.0, 10.5, 10.179245283018869)"
11-01-2023 11:57:44.136457,"(3.5, 4.0, 3.9745454545454546)","(2.7, 3.5, 3.4923728813559323)","(3.2, 3.6, 3.5813186813186815)","(21.0, 32.0, 29.25)","(15.0, 23.0, 22.563636363636363)","(8.0, 10.5, 10.155555555555555)"
11-01-2023 11:57:45.000390,"(3.5, 4.0, 3.967441860465116)","(2.7, 3.5, 3.492436974789916)","(3.2, 3.55, 3.5497979797979795)","(21.0, 32.0, 31.6)","(15.0, 23.0, 22.492063492063494)","(8.0, 10.5, 10.155555555555555)"
11-01-2023 11:57:45.922870,"(3.5, 4.1, 4.020161290322581)","(2.7, 3.5, 3.492436974789916)","(3.2, 3.55, 3.549697580645161)","(21.0, 32.0, 30.5)","(15.0, 22.0, 21.67142857142857)","(8.0, 10.5, 10.049019607843137)"
11-01-2023 11:57:46.851463,"(3.5, 4.1, 4.020161290322581)","(2.7, 3.5, 3.492436974789916)","(3.2, 3.55, 3.5358974358974358)","(21.0, 32.0, 30.5)","(15.0, 22.0, 21.640625)","(8.0, 10.5, 10.049019607843137)"
11-01-2023 11:57:47.785354,"(3.5, 4.1, 4.038461538461538)","(2.7, 3.5, 3.4857142857142858)","(3.2, 3.5, 3.4644578313253014)","(21.0, 32.0, 30.5)","(15.0, 22.0, 21.57377049180328)","(8.0, 10.5, 10.045454545454545)"
11-01-2023 11:57:48.763666,"(3.5, 4.1, 4.021311475409836)","(2.7, 3.55, 3.5156716417910445)","(3.2, 3.45, 3.438495575221239)","(21.0, 32.0, 30.363636363636363)","(15.0, 22.0, 21.57377049180328)","(8.0, 10.5, 10.045454545454545)"
11-01-2023 11:57:49.705094,"(3.5, 4.1, 4.022222222222222)","(2.8, 3.55, 3.5276315789473682)","(3.2, 3.45, 3.4311881188118813)","(21.0, 32.0, 30.363636363636363)","(15.0, 22.0, 21.57377049180328)","(8.0, 10.5, 10.049019607843137)"
11-01-2023 11:57:50.702982,"(3.5, 4.1, 4.011267605633803)","(2.8, 3.55, 3.5238636363636364)","(3.2, 3.5, 3.470049504950495)","(21.0, 32.0, 30.363636363636363)","(15.0, 22.0, 21.57377049180328)","(8.0, 10.5, 10.049019607843137)"
11-01-2023 11:57:51.657256,"(3.5, 4.1, 4.011267605633803)","(2.8, 3.55, 3.5238636363636364)","(3.2, 3.5, 3.4674666666666667)","(21.0, 32.0, 30.363636363636363)","(15.0, 22.0, 21.57377049180328)","(8.0, 10.5, 10.053191489361701)"
11-01-2023 11:57:52.663745,"(3.5, 4.1, 4.011267605633803)","(2.8, 3.55, 3.5238636363636364)","(3.2, 3.5, 3.4674666666666667)","(21.0, 32.0, 30.363636363636363)","(15.0, 22.0, 21.0)","(8.0, 10.5, 10.033783783783784)"
11-01-2023 11:57:53.593990,"(3.5, 4.1, 4.076923076923077)","(2.8, 3.55, 3.5066037735849056)","(3.2, 3.5, 3.4674666666666667)","(21.0, 29.0, 28.75)","(15.0, 21.0, 20.77777777777778)","(8.0, 10.5, 10.033783783783784)"
11-01-2023 11:57:54.511308,"(3.5, 4.2, 4.0384)","(2.8, 3.55, 3.5076271186440677)","(3.2, 3.5, 3.4696969696969697)","(21.0, 29.0, 28.571428571428573)","(15.0, 21.0, 20.818181818181817)","(8.0, 10.5, 10.033783783783784)"
11-01-2023 11:57:55.457981,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.2, 3.5, 3.455084745762712)","(21.0, 29.0, 28.8)","(15.0, 21.0, 20.933333333333334)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:57:56.342933,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.2, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.382978723404257)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:57:57.325765,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.2, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.382978723404257)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:57:58.385671,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.0, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.382978723404257)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:57:59.554972,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.0, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.382978723404257)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:58:00.637940,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.0, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.382978723404257)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:58:01.725311,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.0, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.382978723404257)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:58:02.742691,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.0, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.382978723404257)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:58:03.727778,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.0, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.382978723404257)","(8.0, 10.5, 10.029411764705882)"
11-01-2023 11:58:04.698667,"(3.5, 4.1, 4.054237288135593)","(2.8, 3.55, 3.5076271186440677)","(3.0, 3.5, 3.4631944444444445)","(21.0, 29.0, 28.8)","(15.0, 22.0, 21.96969696969697)","(8.0, 10.5, 9998.5)"
11-01-2023 11:58:05.612722,"(3.5, 99998, 9998.5)","(2.8, 99998, 9998.5)","(3.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(8.0, 99998, 9998.5)"
11-01-2023 11:58:06.524900,"(3.5, 99998, 9998.5)","(2.8, 99998, 9998.5)","(3.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(8.0, 99998, 9998.5)"
11-01-2023 11:58:07.511903,"(3.5, 99998, 9998.5)","(2.8, 99998, 9998.5)","(3.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(8.0, 99998, 9998.5)"
11-01-2023 11:58:08.642566,"(3.5, 99998, 9998.5)","(2.8, 99998, 9998.5)","(3.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(15.0, 99998, 9998.5)","(8.0, 99998, 9998.5)"
