,Right To Assemble,Lindas Taj,I Love Maria,Varsity Kickline,Gilded Quest,Jaccaci,Tout Ensemble
15-12-2022 10:50:26.168533,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:27.268842,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:28.317169,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:29.369354,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:30.421058,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:31.450541,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:32.446768,"(101.0, 600.0, 372.79999999999995)","(9.0, 21.0, 13.666666666666668)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:33.438169,"(101.0, 600.0, 372.79999999999995)","(9.0, 20.0, 17.5)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:34.396830,"(101.0, 600.0, 372.79999999999995)","(9.0, 20.0, 17.5)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:35.415061,"(101.0, 600.0, 372.79999999999995)","(9.0, 20.0, 17.5)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:36.489202,"(101.0, 600.0, 372.79999999999995)","(9.0, 20.0, 17.5)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6828260869565217)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:37.568442,"(101.0, 600.0, 372.79999999999995)","(9.0, 20.0, 17.5)","(31.0, 300.0, 206.33333333333334)","(12.0, 420.0, 283.6666666666667)","(8.0, 27.0, 24.444444444444443)","(1.45, 1.69, 1.6828260869565217)","(4.4, 9.2, 8.6)"
