,Acquiescent,Dollar Bucks,Kano,Of The Field,Scamster,The Bladesman,Tewkesbury,Jugan,Saintly Rose,Superior Sam,Unscented
08-01-2023 13:37:48.543297,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:49.877821,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:51.261949,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:52.481081,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.177777777777778)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:53.658675,"(2.0, 2.2, 2.152)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.177777777777778)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:54.817648,"(2.0, 2.2, 2.152)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.177777777777778)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:56.021535,"(2.0, 2.2, 2.152)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.177777777777778)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:57.243622,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:58.487661,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:37:59.816318,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:01.089510,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:02.323695,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:03.599575,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:04.861250,"(2.0, 2.2, 2.1314285714285717)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:06.159017,"(2.0, 2.18, 2.052)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:07.467477,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:08.747119,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:09.934500,"(2.0, 2.18, 2.059090909090909)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.04)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:11.139688,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.142857142857143)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:12.418369,"(2.0, 2.18, 2.059090909090909)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.142857142857143)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:13.662549,"(2.0, 2.18, 2.059090909090909)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.142857142857143)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:14.862202,"(2.0, 2.18, 2.059090909090909)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:16.074004,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:17.639432,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:18.837081,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:20.177000,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:21.476262,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:22.822321,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.0)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:24.213055,"(2.0, 2.18, 2.062105263157895)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 10.781818181818183)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:25.641926,"(2.0, 2.18, 2.0736)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:26.917564,"(2.0, 2.18, 2.0736)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:28.220779,"(2.0, 2.18, 2.0736)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:29.538885,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:30.810167,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:31.990583,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:33.246021,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:34.613765,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:35.906858,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:37.133240,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 11.342857142857143)","(4.6, 6.4, 6.171428571428572)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 43.666666666666664)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:38.569996,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 12.5, 12.76)","(4.6, 6.4, 6.12)","(10.0, 15.5, 14.394736842105264)","(21.0, 75.0, 38.5)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:39.814311,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 12.76)","(4.6, 6.4, 6.12)","(10.0, 15.5, 14.394736842105264)","(21.0, 70.0, 38.5)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:41.037455,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 12.76)","(4.6, 6.4, 6.12)","(10.0, 15.5, 14.394736842105264)","(21.0, 70.0, 38.5)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:42.499474,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 12.76)","(4.6, 6.4, 6.12)","(10.0, 15.5, 14.394736842105264)","(21.0, 70.0, 38.5)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:43.894720,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 12.76)","(4.6, 6.4, 6.2)","(10.0, 15.5, 14.394736842105264)","(21.0, 70.0, 38.5)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:45.329844,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.2)","(10.0, 15.5, 14.394736842105264)","(21.0, 70.0, 38.5)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:46.677770,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.2)","(10.0, 15.5, 14.394736842105264)","(21.0, 70.0, 38.5)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.6)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:47.999770,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.2)","(10.0, 15.5, 14.394736842105264)","(21.0, 70.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.4, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:49.379333,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.2)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:50.721058,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.2)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:52.132720,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.2)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:53.554437,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.2)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:54.993084,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:56.393437,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:57.791810,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:38:59.129655,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.228571428571429)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:39:00.459751,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.228571428571429)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:39:01.794875,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:39:03.119193,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:39:04.428658,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:39:05.791049,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:39:07.188776,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
08-01-2023 13:39:08.562586,"(2.0, 2.18, 2.078181818181818)","(101.0, 220.0, 193.33333333333334)","(101.0, 220.0, 193.33333333333334)","(101.0, 230.0, 205.0)","(6.5, 13.5, 13.0375)","(4.6, 6.4, 6.1)","(10.0, 15.5, 14.394736842105264)","(21.0, 65.0, 40.333333333333336)","(41.0, 160.0, 127.42857142857142)","(5.0, 8.6, 7.034782608695652)","(101.0, 220.0, 160.0)"
