,Silver Sticks,Bora Blue,Contract,Kotiro Koura,Roger Ring,Hidden Gold,Noaki Nipper
11-01-2023 15:52:49.932922,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:50.984749,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:52.111934,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:53.291219,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:54.529055,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 95.0, 44.09090909090909)"
11-01-2023 15:52:55.748477,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 95.0, 49.375)"
11-01-2023 15:52:56.941925,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 90.0, 49.375)"
11-01-2023 15:52:58.098895,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 90.0, 49.375)"
11-01-2023 15:52:59.375642,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 6.199999999999999)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 90.0, 49.375)"
11-01-2023 15:53:00.814272,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 7.283333333333333)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 90.0, 49.375)"
11-01-2023 15:53:02.156257,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.60952380952381)","(4.2, 7.8, 7.283333333333333)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 80.0)","(14.0, 44.0, 25.333333333333336)","(21.0, 90.0, 49.375)"
11-01-2023 15:53:03.460109,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.907692307692308)","(4.2, 7.8, 7.283333333333333)","(15.0, 46.0, 142.0625)","(31.0, 230.0, 334.0)","(14.0, 44.0, 37.0)","(21.0, 90.0, 77.5)"
11-01-2023 15:53:04.643852,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 4.907692307692308)","(4.2, 7.8, 7.283333333333333)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 334.0)","(14.0, 44.0, 37.0)","(21.0, 130.0, 77.5)"
11-01-2023 15:53:05.891076,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 4.907692307692308)","(4.2, 7.8, 6.155555555555555)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 334.0)","(14.0, 44.0, 37.0)","(21.0, 130.0, 193.75)"
11-01-2023 15:53:07.135073,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.155555555555555)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:08.219951,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.155555555555555)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:09.409431,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:10.669752,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:11.926467,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:13.097091,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:14.313098,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:15.563917,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:16.646459,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:17.775954,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:18.954430,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:20.148093,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:21.645953,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:22.866941,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:24.049013,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:25.327614,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.0)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:26.554407,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.976470588235294)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 37.0)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:27.807632,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.976470588235294)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 44.0, 32.5)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:29.052003,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.976470588235294)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 38.0, 32.5)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:30.303817,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.976470588235294)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 38.0, 32.5)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:31.538659,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.428571428571429)","(4.2, 7.8, 6.976470588235294)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 38.0, 32.5)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:32.767113,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 5.0)","(4.2, 7.8, 6.976470588235294)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 38.0, 32.5)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:33.956133,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 4.907692307692308)","(4.2, 7.8, 6.976470588235294)","(15.0, 160.0, 142.0625)","(31.0, 410.0, 314.5)","(14.0, 38.0, 32.5)","(21.0, 250.0, 205.2)"
11-01-2023 15:53:35.105828,"(1.7, 1.79, 1.7075)","(3.7, 11.0, 4.907692307692308)","(4.2, 7.8, 4.966666666666667)","(15.0, 160.0, 33.708333333333336)","(31.0, 410.0, 129.5)","(14.0, 38.0, 36.166666666666664)","(21.0, 250.0, 61.0)"
11-01-2023 15:53:36.216350,"(1.7, 1.79, 1.7075)","(3.7, 6.6, 4.541666666666667)","(4.2, 7.8, 4.966666666666667)","(15.0, 46.0, 30.266666666666666)","(31.0, 230.0, 88.11764705882354)","(14.0, 38.0, 32.625)","(21.0, 95.0, 61.0)"
