,Impetuous Lad,Lornas Law,Wallys Boy,Up The Amps,Lonely Tuna,Brians Buster,Burnt Jam,No Surprise
11-01-2023 13:15:03.704073,"(5.0, 8.8, 6.2)","(13.0, 34.0, 29.333333333333336)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8800000000000003)"
11-01-2023 13:15:04.742695,"(5.0, 8.8, 6.2)","(13.0, 34.0, 29.333333333333336)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:05.848944,"(5.0, 8.8, 6.2)","(13.0, 34.0, 30.75)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:15:06.925269,"(5.0, 8.8, 5.76)","(13.0, 34.0, 30.75)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:07.956864,"(5.0, 8.8, 5.76)","(13.0, 34.0, 30.75)","(6.5, 11.0, 9.85)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:09.005671,"(5.0, 8.8, 5.76)","(13.0, 34.0, 30.0)","(6.5, 11.0, 9.85)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:10.030857,"(5.0, 8.8, 6.133333333333333)","(13.0, 34.0, 30.0)","(6.5, 11.0, 9.85)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:11.044124,"(5.0, 8.8, 6.133333333333333)","(13.0, 40.0, 34.0)","(6.5, 11.0, 10.022222222222222)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:12.097184,"(5.0, 8.8, 6.133333333333333)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 9.95)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:13.154728,"(5.0, 8.8, 6.133333333333333)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:14.204352,"(5.0, 8.8, 6.928000000000001)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 10.022222222222222)","(4.0, 7.6, 5.076470588235294)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:15.190968,"(5.0, 8.8, 5.76)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 9.95)","(4.0, 7.6, 5.076470588235294)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:16.201519,"(5.0, 8.8, 5.76)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.076470588235294)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:17.274472,"(5.0, 8.8, 5.76)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.076470588235294)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 8.5)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:18.417215,"(5.0, 8.8, 5.76)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 10.022222222222222)","(4.0, 7.6, 5.076470588235294)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:19.495072,"(5.0, 8.8, 5.76)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.076470588235294)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:20.594687,"(5.0, 8.8, 5.76)","(13.0, 46.0, 28.857142857142858)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.076470588235294)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:21.620658,"(5.0, 8.8, 6.133333333333333)","(13.0, 40.0, 34.0)","(6.5, 11.0, 10.022222222222222)","(4.0, 7.6, 5.6499999999999995)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:22.698070,"(5.0, 8.8, 6.133333333333333)","(13.0, 40.0, 34.0)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.08125)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:23.717389,"(5.0, 8.8, 6.133333333333333)","(13.0, 40.0, 36.625)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.08125)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:24.804897,"(5.0, 8.8, 6.133333333333333)","(13.0, 40.0, 36.625)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.08125)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:25.915149,"(5.0, 8.8, 5.76)","(13.0, 40.0, 36.625)","(6.5, 11.0, 9.32)","(4.0, 7.6, 5.08125)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.5625)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:27.013956,"(5.0, 8.8, 5.76)","(13.0, 40.0, 33.5)","(6.5, 11.0, 10.022222222222222)","(4.0, 7.6, 5.08125)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 8.5)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:28.102642,"(5.0, 8.8, 5.76)","(13.0, 40.0, 36.285714285714285)","(6.5, 11.0, 9.32)","(4.0, 7.6, 6.039999999999999)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
11-01-2023 13:15:29.189333,"(5.0, 8.8, 5.76)","(13.0, 40.0, 36.285714285714285)","(6.5, 11.0, 10.022222222222222)","(4.0, 7.6, 4.75625)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.038461538461538)","(2.7, 4.4, 4.241176470588236)"
