,Whistling,Hes Got Swag,Kintsugi,Speedy Riot,Pipeline Icon,Eadie,Bok Choy,Slippery Shark
06-01-2023 14:07:07.697816,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:09.053819,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.4, 5.14)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:10.400244,"(3.7, 5.2, 4.610526315789474)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.4, 5.3)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:11.726957,"(3.7, 5.7, 4.961111111111111)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.8, 5.9)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:13.040837,"(3.7, 5.7, 4.961111111111111)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.8, 5.694117647058824)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:14.429469,"(3.7, 5.7, 4.961111111111111)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.6, 5.694117647058824)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:15.761474,"(3.7, 5.7, 4.961111111111111)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.6, 5.263636363636364)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:17.383374,"(3.7, 5.7, 4.961111111111111)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.6, 5.263636363636364)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:18.692213,"(3.7, 5.7, 4.961111111111111)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.6, 5.263636363636364)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
06-01-2023 14:07:20.013147,"(3.7, 5.7, 4.961111111111111)","(4.0, 6.6, 5.082142857142857)","(6.5, 13.5, 11.205555555555556)","(4.4, 6.6, 5.263636363636364)","(5.5, 9.6, 6.5285714285714285)","(31.0, 250.0, 70.0)","(11.0, 50.0, 45.833333333333336)","(8.0, 13.5, 9.872727272727273)"
