,Rippa Buddy,Far Too Tempting,Tsegay,And Then,Bloomin Crafty
04-01-2023 12:43:42.692728,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:43.555760,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:44.389280,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:45.243523,"(10.0, 13.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:46.111148,"(10.0, 18.0, 13.545454545454545)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:47.009795,"(10.0, 17.5, 15.333333333333332)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:47.864490,"(10.0, 17.5, 13.88888888888889)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:48.714255,"(10.0, 17.0, 14.0)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.79)"
04-01-2023 12:43:49.582475,"(10.0, 16.5, 13.75)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.79)"
04-01-2023 12:43:50.387034,"(10.0, 16.5, 12.466666666666667)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.79)"
04-01-2023 12:43:51.269018,"(10.0, 16.0, 14.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.79)"
04-01-2023 12:43:52.244318,"(10.0, 16.0, 12.666666666666666)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.79)"
04-01-2023 12:43:53.199556,"(10.0, 15.5, 13.25)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.79)"
04-01-2023 12:43:54.053834,"(10.0, 14.5, 13.333333333333334)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.79)"
04-01-2023 12:43:54.827128,"(10.0, 14.5, 12.0)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
