,Barnfield,Uncle Jeff,Coastal Waters,Light Cruiser,Kowboykabin,Joker Matt,Our Valley,Bodemonster,Danny Zuko,No Slo Mo
08-01-2023 08:58:29.902698,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.3975999999999997)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.625)","(21.0, 32.0, 28.54054054054054)","(10.0, 14.0, 13.96875)","(18.0, 34.0, 32.10526315789474)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.8, 4.736363636363636)"
08-01-2023 08:58:30.941590,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.3975999999999997)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.4375)","(21.0, 32.0, 28.54054054054054)","(10.0, 14.0, 13.96875)","(18.0, 34.0, 31.88235294117647)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.8, 4.736363636363636)"
08-01-2023 08:58:32.033492,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.3975999999999997)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.4375)","(21.0, 32.0, 28.54054054054054)","(10.0, 14.0, 13.96875)","(18.0, 34.0, 31.88235294117647)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.8, 4.728205128205128)"
08-01-2023 08:58:33.117942,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.390731707317073)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.0, 12.4375)","(21.0, 32.0, 28.54054054054054)","(10.0, 14.0, 13.555555555555555)","(18.0, 34.0, 32.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.8, 4.715151515151515)"
08-01-2023 08:58:34.167765,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.390731707317073)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.526315789473685)","(21.0, 32.0, 28.71794871794872)","(10.0, 13.5, 13.448979591836734)","(18.0, 34.0, 32.10526315789474)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.8, 4.671428571428572)"
08-01-2023 08:58:35.203043,"(8.5, 11.5, 11.066666666666666)","(2.05, 2.42, 2.388421052631579)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.526315789473685)","(21.0, 32.0, 28.71794871794872)","(10.0, 13.5, 13.445652173913043)","(18.0, 34.0, 32.10526315789474)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.7, 4.7368421052631575)"
08-01-2023 08:58:36.251333,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.42, 2.398461538461538)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.0, 12.785714285714286)","(21.0, 32.0, 28.71794871794872)","(10.0, 13.5, 13.445652173913043)","(18.0, 34.0, 32.10526315789474)","(26.0, 75.0, 72.3)","(51.0, 190.0, 187.08333333333331)","(3.8, 4.8, 4.62)"
08-01-2023 08:58:37.315725,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.36, 2.3425906735751294)","(18.0, 30.0, 29.666666666666668)","(10.0, 13.5, 12.833333333333334)","(21.0, 32.0, 28.8)","(10.0, 13.5, 13.445652173913043)","(18.0, 34.0, 32.57142857142857)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.11111111111111)","(3.8, 4.8, 4.66)"
08-01-2023 08:58:38.349434,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.36, 2.342664298401421)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.375)","(21.0, 32.0, 28.756756756756758)","(10.0, 13.5, 13.445652173913043)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 62.5)","(51.0, 190.0, 186.11111111111111)","(3.8, 4.8, 4.66)"
08-01-2023 08:58:39.406045,"(8.5, 11.5, 11.204545454545455)","(2.05, 2.36, 2.3428462998102466)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.375)","(21.0, 32.0, 28.756756756756758)","(10.0, 14.0, 13.733333333333333)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.11111111111111)","(3.8, 4.6, 4.677272727272728)"
08-01-2023 08:58:40.469927,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.36, 2.3428735632183906)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.375)","(21.0, 32.0, 28.756756756756758)","(10.0, 14.0, 13.733333333333333)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.11111111111111)","(3.8, 4.7, 4.677272727272728)"
08-01-2023 08:58:41.516587,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.36, 2.342640776699029)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.375)","(21.0, 32.0, 28.756756756756758)","(10.0, 14.0, 13.733333333333333)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 72.3)","(51.0, 190.0, 186.11111111111111)","(3.8, 4.7, 4.699999999999999)"
08-01-2023 08:58:42.575500,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.36, 2.3422266401590455)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.375)","(21.0, 32.0, 28.756756756756758)","(10.0, 14.0, 13.733333333333333)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.8, 4.683870967741935)"
08-01-2023 08:58:43.635534,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.36, 2.342231075697211)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.375)","(21.0, 32.0, 28.756756756756758)","(10.0, 14.0, 13.733333333333333)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.7, 4.683870967741935)"
08-01-2023 08:58:44.720210,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.36, 2.342231075697211)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.375)","(21.0, 32.0, 28.756756756756758)","(10.0, 14.0, 13.9375)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.7, 4.683870967741935)"
08-01-2023 08:58:45.777142,"(8.5, 11.5, 11.157894736842104)","(2.05, 2.36, 2.342314049586777)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.375)","(21.0, 32.0, 28.756756756756758)","(10.0, 14.0, 13.9375)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.625)","(3.8, 4.7, 4.689795918367347)"
08-01-2023 08:58:46.818876,"(8.5, 11.5, 11.217391304347826)","(2.05, 2.36, 2.3423529411764705)","(18.0, 30.0, 29.714285714285715)","(10.0, 13.5, 13.40909090909091)","(21.0, 32.0, 29.037037037037038)","(10.0, 14.0, 13.9375)","(18.0, 36.0, 33.81818181818182)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.0)","(3.8, 4.7, 4.689795918367347)"
08-01-2023 08:58:47.867041,"(8.5, 11.5, 11.217391304347826)","(2.05, 2.36, 2.322542372881356)","(18.0, 30.0, 29.714285714285715)","(10.0, 14.0, 13.222222222222221)","(21.0, 32.0, 29.037037037037038)","(10.0, 14.0, 13.9375)","(18.0, 36.0, 34.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.0)","(3.8, 4.7, 4.689795918367347)"
08-01-2023 08:58:48.922161,"(8.5, 11.5, 11.24)","(2.05, 2.36, 2.3212280701754384)","(18.0, 30.0, 29.714285714285715)","(10.0, 14.0, 13.222222222222221)","(21.0, 32.0, 29.037037037037038)","(10.0, 14.0, 13.9375)","(18.0, 36.0, 34.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.0)","(3.8, 4.7, 4.674418604651163)"
08-01-2023 08:58:49.986252,"(8.5, 11.5, 11.24)","(2.05, 2.36, 2.32464)","(18.0, 30.0, 29.714285714285715)","(10.0, 14.0, 13.222222222222221)","(21.0, 32.0, 29.037037037037038)","(10.0, 14.0, 13.9375)","(18.0, 36.0, 34.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.0)","(3.8, 4.7, 4.720754716981132)"
08-01-2023 08:58:51.039822,"(8.5, 11.5, 11.24)","(2.05, 2.36, 2.3254687499999998)","(18.0, 30.0, 29.714285714285715)","(10.0, 14.0, 13.4)","(21.0, 32.0, 29.037037037037038)","(10.0, 14.0, 13.9375)","(18.0, 36.0, 34.0)","(26.0, 75.0, 72.3)","(51.0, 190.0, 185.0)","(3.8, 4.8, 4.720754716981132)"
08-01-2023 08:58:52.068262,"(8.5, 11.5, 11.24)","(2.05, 2.36, 2.3254687499999998)","(18.0, 30.0, 29.714285714285715)","(10.0, 14.0, 13.538461538461538)","(21.0, 32.0, 29.037037037037038)","(10.0, 14.0, 13.954545454545455)","(18.0, 36.0, 34.0)","(26.0, 75.0, 72.3)","(51.0, 220.0, 201.25)","(3.8, 4.8, 4.732258064516129)"
08-01-2023 08:58:53.111933,"(8.5, 11.5, 11.24)","(2.05, 2.36, 2.3254687499999998)","(18.0, 30.0, 29.714285714285715)","(10.0, 14.0, 13.538461538461538)","(21.0, 32.0, 29.037037037037038)","(10.0, 14.0, 13.954545454545455)","(18.0, 36.0, 34.0)","(26.0, 75.0, 72.3)","(51.0, 220.0, 201.25)","(3.8, 4.8, 4.732258064516129)"
