,Flying G,Indian Sky,Crooked Fellow,Rodeo Champ,Captain Dozer,J Fs Senna,Fort Hood,Rowdy River
08-12-2022 14:36:57.328011,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:58.583676,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.771428571428572)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:36:59.895064,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.8, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:01.273964,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:02.649821,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:04.045662,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:05.391873,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:06.668710,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.8000000000000003)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:07.980571,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 4.209090909090909)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:09.169944,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 4.209090909090909)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
