,Obsession Agogo,Ratified,Halwes,Jaggers Lady,Stellar Rising,Louie,Enraged,Worry Less
07-12-2022 14:15:54.734982,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:56.072538,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 20.166666666666668)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:57.431167,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.966666666666667)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.44736842105263)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:58.611959,"(6.0, 12.0, 10.0)","(8.0, 17.5, 14.842857142857143)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.44736842105263)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:59.879461,"(6.0, 12.0, 10.0)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.875)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:01.126575,"(6.0, 12.0, 10.0)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 30.0)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:02.382504,"(6.0, 12.0, 10.0)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 30.0)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:03.623368,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 30.0)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:04.895223,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.875)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:06.319236,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.875)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:07.705328,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 35.33333333333333)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:09.019091,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 35.33333333333333)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:10.545441,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 30.0)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:11.983385,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.875)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:13.291440,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.875)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
