,Aussie Axle,Chips No Salad,Spiteful Lad,Betty Boop,Gin And Vodka,Red Revolver
07-12-2022 18:21:21.246946,"(1.4, 1.71, 1.7043362831858406)","(5.5, 6.4, 6.2631578947368425)","(31.0, 50.0, 48.983050847457626)","(21.0, 34.0, 33.04761904761905)","(6.0, 6.8, 9998.5)","(17.0, 22.0, 9998.5)"
07-12-2022 18:21:22.309164,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(16.0, 99998, 9998.5)"
07-12-2022 18:21:23.467343,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(16.0, 99998, 9998.5)"
07-12-2022 18:21:24.440253,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(16.0, 99998, 9998.5)"
07-12-2022 18:21:25.509643,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(16.0, 99998, 9998.5)"
07-12-2022 18:21:26.540643,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:27.573098,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:28.682072,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:29.625031,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:30.646302,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:31.607295,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:32.619740,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:33.625232,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:34.688759,"(1.45, 99998, 9998.5)","(5.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:35.820283,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:37.023410,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:38.084008,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:39.216281,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:40.286537,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:41.281743,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:42.386169,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:43.513060,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:44.521998,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:45.545700,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:46.481029,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:47.597797,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:48.609260,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:49.676796,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:50.738222,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:51.834968,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:52.887626,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:53.937619,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:54.859734,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:55.857809,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:56.857781,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:57.858072,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:58.981690,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:21:59.920708,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:22:01.144818,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
07-12-2022 18:22:02.386547,"(1.45, 99998, 9998.5)","(5.5, 99998, 9998.5)","(31.0, 99998, 9998.5)","(21.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(17.0, 99998, 9998.5)"
