,Desert Safari,Hes For The Girls,Mishani Maverick,Quasimoto,Royal Entrance,Sonny Daze,Worx,Limero
07-01-2023 12:23:29.205803,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.063157894736842)","(2.4, 2.82, 2.7846153846153845)","(12.0, 12.5, 12.261904761904763)","(6.5, 7.6, 7.252173913043478)","(8.0, 8.8, 8.95)"
07-01-2023 12:23:30.326350,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.063157894736842)","(2.4, 2.8, 2.795375722543352)","(12.0, 12.5, 12.222222222222221)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.2, 8.926315789473685)"
07-01-2023 12:23:31.432825,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.063157894736842)","(2.4, 2.8, 2.795375722543352)","(12.0, 12.5, 12.222222222222221)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.2, 9.125)"
07-01-2023 12:23:32.561233,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.082258064516129)","(2.4, 2.8, 2.7778571428571426)","(12.0, 12.5, 11.857142857142858)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.2, 9.283333333333333)"
07-01-2023 12:23:33.624048,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.082258064516129)","(2.4, 2.78, 2.7778571428571426)","(12.0, 12.0, 11.857142857142858)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.283333333333333)"
07-01-2023 12:23:34.723627,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.082258064516129)","(2.4, 2.78, 2.7778571428571426)","(12.0, 12.0, 11.857142857142858)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.283333333333333)"
07-01-2023 12:23:35.951885,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.082258064516129)","(2.4, 2.78, 2.778076923076923)","(12.0, 12.0, 11.857142857142858)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.283333333333333)"
07-01-2023 12:23:37.148201,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.082258064516129)","(2.4, 2.78, 2.778076923076923)","(12.0, 12.0, 11.837837837837839)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.283333333333333)"
07-01-2023 12:23:38.389153,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.0864406779661016)","(2.4, 2.78, 2.7941520467836254)","(12.0, 12.0, 12.271929824561404)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.283333333333333)"
07-01-2023 12:23:39.575638,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.15)","(2.4, 2.8, 2.7941520467836254)","(12.0, 12.5, 11.923076923076923)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.283333333333333)"
07-01-2023 12:23:40.663391,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.15)","(2.4, 2.8, 2.7941520467836254)","(12.0, 12.0, 11.923076923076923)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.353846153846154)"
07-01-2023 12:23:41.798143,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.15)","(2.4, 2.8, 2.7941520467836254)","(12.0, 12.0, 11.9)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.353846153846154)"
07-01-2023 12:23:42.853118,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.15)","(2.4, 2.8, 2.7941520467836254)","(12.0, 12.0, 11.892156862745098)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.353846153846154)"
07-01-2023 12:23:43.974475,"(12.0, 12.5, 11.703389830508474)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.132467532467532)","(2.4, 2.8, 2.792444444444444)","(12.0, 12.0, 12.362068965517242)","(6.5, 7.4, 7.2444444444444445)","(8.0, 9.4, 9.353846153846154)"
07-01-2023 12:23:45.157262,"(12.0, 12.0, 11.75)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.132467532467532)","(2.4, 2.8, 2.792444444444444)","(12.0, 12.5, 12.362068965517242)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.353846153846154)"
