,El Cordobes,Trodaire,Euro Dandy,Girello,Indifference,Magnetic Prince,Piaggio,Montjeuify
04-01-2023 13:47:38.184737,"(5.5, 8.0, 7.845833333333333)","(17.0, 23.0, 21.25)","(4.0, 4.7, 4.656666666666666)","(6.5, 8.2, 8.168421052631578)","(2.6, 3.2, 3.1775)","(8.0, 9.4, 9.054700854700855)","(14.0, 18.0, 17.785714285714285)","(61.0, 170.0, 140.0)"
04-01-2023 13:47:39.358379,"(5.5, 8.0, 7.856410256410256)","(16.0, 23.0, 21.25)","(4.0, 4.7, 4.656666666666666)","(6.5, 8.2, 8.168421052631578)","(2.6, 3.2, 3.1775)","(7.5, 9.4, 8.905128205128205)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:40.568578,"(5.5, 8.0, 7.856410256410256)","(16.0, 23.0, 21.25)","(4.0, 4.7, 4.656666666666666)","(6.5, 8.2, 8.168421052631578)","(2.6, 3.2, 3.1775)","(7.5, 9.0, 8.905128205128205)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:41.823724,"(5.5, 8.0, 7.856410256410256)","(16.0, 23.0, 21.25)","(4.0, 4.7, 4.656666666666666)","(6.5, 8.2, 8.116666666666667)","(2.6, 3.2, 3.16)","(7.5, 9.0, 8.965)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:42.987137,"(5.5, 8.0, 7.856410256410256)","(16.0, 23.0, 21.25)","(4.0, 4.7, 4.656666666666666)","(6.5, 8.2, 8.116666666666667)","(2.6, 3.2, 3.16)","(7.5, 9.0, 8.965)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:44.071166,"(5.5, 8.0, 7.856410256410256)","(16.0, 23.0, 21.25)","(4.0, 4.7, 4.656666666666666)","(6.5, 8.2, 8.116666666666667)","(2.6, 3.2, 3.16)","(7.5, 9.0, 8.965)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:45.097148,"(5.5, 8.0, 7.856410256410256)","(16.0, 23.0, 21.25)","(4.0, 4.7, 4.656666666666666)","(6.5, 8.2, 8.116666666666667)","(2.6, 3.2, 3.16)","(7.5, 9.0, 9.055172413793104)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:46.176686,"(5.5, 8.0, 7.856410256410256)","(16.0, 23.0, 21.875)","(4.0, 4.8, 4.72258064516129)","(6.5, 8.2, 8.116666666666667)","(2.6, 3.2, 3.16)","(7.5, 9.2, 9.055172413793104)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:47.370772,"(5.5, 8.0, 7.856410256410256)","(16.0, 23.0, 22.307692307692307)","(4.0, 4.8, 4.721739130434782)","(6.5, 8.2, 8.35)","(2.6, 3.2, 3.137564766839378)","(7.5, 9.2, 9.05)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:48.610711,"(5.5, 8.0, 7.853658536585366)","(16.0, 23.0, 21.0)","(4.0, 4.8, 4.743478260869566)","(6.5, 8.4, 8.302702702702703)","(2.6, 3.15, 3.125)","(7.5, 9.2, 9.06875)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
