,Forgive Me,Vermont,Keayang Tara,Artful Jack,Kudos Mason,Whata Terror,The Casual Goose,Scene Of Terror,Voodoo Fella
12-01-2023 16:07:39.089465,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:40.282779,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:41.554676,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.495)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:42.808584,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:44.003936,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:45.078548,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:46.191630,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:47.287123,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 12.45)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:48.317901,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:49.388488,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
