,Abercrombie Limbo,What A Team,Tristars Pet,Our Ultimate Ruby,Torque No Fear,Mister Cracker,Getaloadacam,Wellsaidmylady,Out Of Dodge,Crankhandle
11-01-2023 19:56:38.584938,"(3.6, 5.6, 4.133333333333333)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.1)","(26.0, 90.0, 31.375)","(26.0, 80.0, 47.375)","(4.8, 8.6, 6.2)","(5.0, 8.0, 7.712820512820513)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:39.900412,"(3.6, 5.6, 4.133333333333333)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.1)","(26.0, 90.0, 31.375)","(26.0, 80.0, 47.375)","(4.8, 8.6, 6.2)","(5.0, 8.0, 7.712820512820513)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:41.226284,"(3.6, 5.6, 4.133333333333333)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 90.0, 39.75)","(26.0, 80.0, 43.0)","(4.8, 8.6, 6.333333333333333)","(5.0, 8.0, 7.712820512820513)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:42.615797,"(3.6, 5.6, 4.133333333333333)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 90.0, 31.555555555555557)","(26.0, 70.0, 59.33333333333333)","(4.8, 8.6, 6.333333333333333)","(5.0, 8.0, 7.712820512820513)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:44.091399,"(3.6, 5.6, 4.133333333333333)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 100.0, 47.0)","(26.0, 70.0, 55.44444444444444)","(4.8, 8.6, 6.2)","(5.0, 8.0, 7.489855072463768)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:45.619665,"(3.6, 5.6, 4.133333333333333)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 65.0, 55.44444444444444)","(4.8, 8.6, 6.2)","(5.0, 8.0, 7.7405405405405405)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:47.168490,"(3.6, 5.6, 4.133333333333333)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 65.0, 47.083333333333336)","(4.8, 8.6, 6.333333333333333)","(5.0, 8.0, 7.45)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:48.681435,"(3.6, 5.6, 4.475)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 65.0, 52.099999999999994)","(4.8, 8.6, 7.433333333333334)","(5.0, 8.0, 7.514285714285714)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:50.203576,"(3.6, 5.6, 4.72)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 65.0, 55.44444444444444)","(4.8, 8.6, 6.333333333333333)","(5.0, 7.6, 7.725)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:51.738611,"(3.6, 5.6, 4.72)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 65.0, 52.099999999999994)","(4.8, 8.6, 6.75)","(5.0, 8.0, 7.725)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:53.186596,"(3.6, 5.6, 4.72)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 65.0, 51.0)","(4.8, 8.6, 7.88)","(5.0, 8.0, 7.725)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:54.646752,"(3.6, 5.6, 4.72)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 65.0, 53.54545454545455)","(4.8, 8.6, 7.88)","(5.0, 8.0, 7.45)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:56.055245,"(3.6, 5.6, 4.72)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 65.0, 51.92307692307692)","(4.8, 8.6, 7.88)","(5.0, 8.0, 7.633333333333333)","(4.0, 6.6, 4.933333333333333)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:57.560804,"(3.6, 5.6, 4.72)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.140000000000001)","(26.0, 95.0, 47.0)","(26.0, 70.0, 51.92307692307692)","(4.8, 8.6, 7.88)","(5.0, 8.0, 7.633333333333333)","(4.0, 6.6, 3.926315789473684)","(19.0, 42.0, 27.333333333333332)"
11-01-2023 19:56:59.040238,"(3.6, 5.6, 5.014285714285714)","(81.0, 220.0, 192.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.66)","(26.0, 95.0, 45.33333333333333)","(26.0, 70.0, 44.5)","(4.8, 8.6, 6.266666666666667)","(5.0, 8.0, 7.633333333333333)","(4.0, 4.1, 3.7666666666666666)","(19.0, 42.0, 23.333333333333332)"
11-01-2023 19:57:00.544088,"(3.6, 5.6, 5.014285714285714)","(81.0, 210.0, 184.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.66)","(26.0, 90.0, 45.33333333333333)","(26.0, 65.0, 44.5)","(4.8, 8.6, 6.266666666666667)","(5.0, 8.0, 7.7555555555555555)","(4.0, 4.1, 5.85)","(19.0, 40.0, 23.333333333333332)"
11-01-2023 19:57:02.093379,"(3.6, 5.6, 4.72)","(81.0, 210.0, 184.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.66)","(26.0, 90.0, 45.33333333333333)","(26.0, 65.0, 44.5)","(4.8, 8.6, 6.266666666666667)","(5.0, 8.0, 7.7555555555555555)","(4.0, 6.6, 5.7)","(19.0, 40.0, 23.333333333333332)"
11-01-2023 19:57:03.531525,"(3.6, 5.6, 4.72)","(81.0, 210.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.66)","(26.0, 90.0, 43.66666666666667)","(26.0, 65.0, 44.5)","(4.8, 8.6, 7.466666666666667)","(5.0, 8.0, 7.45)","(4.0, 6.4, 5.28)","(19.0, 40.0, 26.0)"
11-01-2023 19:57:04.972140,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.66)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 44.5)","(4.8, 8.6, 7.466666666666667)","(5.0, 8.0, 7.633333333333334)","(4.0, 6.4, 5.550000000000001)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:06.393043,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.66)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 44.5)","(4.8, 8.6, 7.466666666666667)","(5.0, 8.0, 7.633333333333334)","(4.0, 6.2, 5.550000000000001)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:07.829024,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.0)","(4.8, 8.6, 7.333333333333334)","(5.0, 8.0, 7.633333333333334)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:09.328531,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.4, 7.333333333333334)","(5.0, 8.0, 7.633333333333334)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:10.813961,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.4, 7.199999999999999)","(5.0, 8.0, 7.633333333333334)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:12.309128,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 7.199999999999999)","(5.0, 8.0, 7.633333333333334)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:13.818564,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 7.199999999999999)","(5.0, 8.0, 7.633333333333333)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:15.295750,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 7.449999999999999)","(5.0, 8.0, 7.628571428571428)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:16.838730,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 7.039999999999999)","(5.0, 7.8, 7.633333333333333)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:18.391266,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 7.039999999999999)","(5.0, 8.0, 7.616)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:20.193760,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.626666666666666)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:21.773737,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.72)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:23.358008,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.626666666666666)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:24.840452,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.626666666666666)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:26.280761,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.626666666666666)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:27.747886,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.626666666666666)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:29.190358,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.626666666666666)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:30.632469,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.626666666666666)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:32.183843,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 43.66666666666667)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 7.626666666666666)","(4.0, 6.2, 4.925)","(19.0, 38.0, 26.0)"
11-01-2023 19:57:33.687535,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 85.0, 32.5)","(26.0, 65.0, 45.5)","(4.8, 8.2, 6.24)","(5.0, 8.0, 5.6375)","(4.0, 6.2, 4.925)","(19.0, 38.0, 25.333333333333332)"
11-01-2023 19:57:35.236220,"(3.6, 5.6, 3.7473684210526317)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 80.0, 32.5)","(26.0, 65.0, 40.5)","(4.8, 8.2, 6.45)","(5.0, 8.0, 6.9714285714285715)","(4.0, 5.9, 4.292857142857143)","(19.0, 36.0, 25.333333333333332)"
11-01-2023 19:57:36.758497,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 80.0, 32.5)","(26.0, 55.0, 40.5)","(4.8, 8.2, 6.45)","(5.0, 7.6, 7.05)","(4.0, 5.9, 4.292857142857143)","(19.0, 36.0, 25.333333333333332)"
11-01-2023 19:57:38.185832,"(3.6, 5.6, 4.72)","(81.0, 200.0, 165.71428571428572)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 80.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 8.2, 6.45)","(5.0, 7.6, 7.506666666666666)","(4.0, 5.9, 4.725)","(19.0, 36.0, 24.666666666666668)"
11-01-2023 19:57:39.646133,"(3.6, 5.6, 4.72)","(81.0, 200.0, 165.71428571428572)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 8.2, 6.45)","(5.0, 7.6, 7.1)","(4.0, 5.8, 4.725)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:41.002750,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 8.2, 6.84)","(5.0, 7.8, 7.457142857142857)","(4.0, 5.8, 4.725)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:42.374654,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 7.8, 6.84)","(5.0, 7.8, 7.05)","(4.0, 5.8, 4.725)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:43.761460,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 7.8, 6.84)","(5.0, 7.6, 6.885714285714285)","(4.0, 5.8, 4.725)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:45.227639,"(3.6, 5.6, 4.72)","(81.0, 200.0, 176.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 7.8, 7.5)","(5.0, 7.8, 6.054545454545455)","(4.0, 5.8, 5.547058823529412)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:46.731409,"(3.6, 5.6, 4.72)","(81.0, 200.0, 164.28571428571428)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.6, 7.0285714285714285)","(5.0, 7.8, 6.054545454545455)","(4.0, 5.8, 4.96)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:48.240296,"(3.6, 5.6, 4.72)","(81.0, 200.0, 164.28571428571428)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.2, 7.5600000000000005)","(5.0, 7.8, 6.054545454545455)","(4.0, 5.8, 4.96)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:49.625489,"(3.6, 5.6, 4.72)","(81.0, 200.0, 146.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.0, 7.5600000000000005)","(5.0, 7.8, 6.054545454545455)","(4.0, 5.8, 4.96)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:50.993458,"(3.6, 5.6, 4.72)","(81.0, 200.0, 146.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.0, 7.5600000000000005)","(5.0, 7.8, 6.054545454545455)","(4.0, 5.8, 4.96)","(19.0, 34.0, 24.666666666666668)"
11-01-2023 19:57:52.399817,"(3.6, 5.6, 4.72)","(81.0, 200.0, 146.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.0, 7.25)","(5.0, 7.8, 6.9)","(4.0, 5.8, 4.96)","(19.0, 48.0, 23.11111111111111)"
11-01-2023 19:57:53.779145,"(3.6, 5.6, 4.72)","(81.0, 200.0, 172.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.0, 7.733333333333333)","(5.0, 7.4, 5.8909090909090915)","(4.0, 5.8, 4.96)","(19.0, 48.0, 28.666666666666664)"
11-01-2023 19:57:55.237923,"(3.6, 5.6, 4.72)","(81.0, 200.0, 172.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.0, 7.766666666666667)","(5.0, 7.2, 6.035294117647059)","(4.0, 5.8, 4.96)","(19.0, 46.0, 28.666666666666664)"
11-01-2023 19:57:56.608278,"(3.6, 5.6, 4.72)","(81.0, 200.0, 172.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.0, 8.075)","(5.0, 7.2, 6.0)","(4.0, 5.8, 5.275)","(19.0, 46.0, 28.666666666666664)"
11-01-2023 19:57:58.167053,"(3.6, 5.6, 4.72)","(81.0, 200.0, 172.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 75.0, 40.33333333333333)","(26.0, 55.0, 40.5)","(4.8, 9.0, 8.075)","(5.0, 7.4, 7.573333333333333)","(4.0, 5.8, 5.275)","(19.0, 46.0, 28.666666666666664)"
11-01-2023 19:57:59.758044,"(3.6, 5.6, 4.133333333333333)","(81.0, 200.0, 98.75)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.014285714285714)","(26.0, 75.0, 54.2)","(26.0, 55.0, 43.4)","(4.8, 9.0, 6.6000000000000005)","(5.0, 7.6, 7.428571428571428)","(4.0, 5.8, 4.433333333333334)","(19.0, 46.0, 28.0)"
11-01-2023 19:58:01.266014,"(3.6, 5.6, 3.9875)","(81.0, 200.0, 98.75)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.014285714285714)","(26.0, 75.0, 49.0)","(26.0, 55.0, 40.5)","(4.8, 9.0, 6.300000000000001)","(5.0, 7.6, 7.16)","(4.0, 5.8, 4.2625)","(19.0, 44.0, 23.0)"
11-01-2023 19:58:02.872515,"(3.6, 5.6, 3.88)","(81.0, 200.0, 122.85714285714286)","(101.0, 220.0, 180.0)","(4.2, 5.7, 5.1)","(26.0, 75.0, 51.888888888888886)","(26.0, 55.0, 32.6)","(4.8, 9.0, 7.2)","(5.0, 7.8, 7.49811320754717)","(4.0, 5.8, 4.775)","(19.0, 42.0, 25.5)"
11-01-2023 19:58:04.489176,"(3.6, 5.6, 3.88)","(81.0, 200.0, 122.85714285714286)","(101.0, 220.0, 180.0)","(4.2, 5.6, 5.1)","(26.0, 75.0, 51.888888888888886)","(26.0, 55.0, 32.6)","(4.8, 9.0, 6.345454545454546)","(5.0, 7.8, 7.379591836734694)","(4.0, 5.8, 4.433333333333334)","(19.0, 40.0, 26.666666666666668)"
11-01-2023 19:58:05.830202,"(3.6, 5.6, 3.88)","(81.0, 200.0, 122.85714285714286)","(101.0, 220.0, 180.0)","(4.2, 5.6, 5.1)","(26.0, 75.0, 51.888888888888886)","(26.0, 55.0, 32.6)","(4.8, 8.6, 6.345454545454546)","(5.0, 7.4, 6.490909090909091)","(4.0, 5.8, 4.433333333333334)","(19.0, 40.0, 23.333333333333332)"
11-01-2023 19:58:07.223325,"(3.6, 5.6, 3.88)","(81.0, 200.0, 122.85714285714286)","(101.0, 220.0, 180.0)","(4.2, 5.6, 5.1)","(26.0, 75.0, 56.57142857142857)","(26.0, 55.0, 34.666666666666664)","(4.8, 8.6, 6.345454545454546)","(5.0, 7.4, 5.8)","(4.0, 5.8, 4.433333333333334)","(19.0, 40.0, 26.0)"
11-01-2023 19:58:08.571432,"(3.6, 5.6, 3.88)","(81.0, 200.0, 122.85714285714286)","(101.0, 220.0, 180.0)","(4.2, 5.6, 5.1)","(26.0, 70.0, 46.5)","(26.0, 50.0, 30.833333333333332)","(4.8, 8.6, 6.345454545454546)","(5.0, 7.6, 7.5473684210526315)","(4.0, 5.8, 4.433333333333334)","(19.0, 38.0, 26.0)"
11-01-2023 19:58:10.059962,"(3.6, 5.6, 3.88)","(81.0, 200.0, 122.85714285714286)","(101.0, 220.0, 180.0)","(4.2, 5.6, 5.1)","(26.0, 70.0, 46.5)","(26.0, 50.0, 30.833333333333332)","(4.8, 8.6, 6.345454545454546)","(5.0, 7.6, 7.5473684210526315)","(4.0, 5.8, 4.433333333333334)","(19.0, 38.0, 26.0)"
11-01-2023 19:58:11.566591,"(3.6, 5.6, 3.88)","(81.0, 200.0, 122.85714285714286)","(101.0, 220.0, 180.0)","(4.2, 5.6, 5.1)","(26.0, 70.0, 46.5)","(26.0, 50.0, 30.833333333333332)","(4.8, 8.6, 6.345454545454546)","(5.0, 7.6, 7.5473684210526315)","(4.0, 5.8, 4.433333333333334)","(19.0, 38.0, 26.0)"
11-01-2023 19:58:12.962634,"(3.6, 5.6, 4.2)","(81.0, 200.0, 122.85714285714286)","(101.0, 220.0, 180.0)","(4.2, 5.6, 5.15)","(26.0, 70.0, 46.5)","(26.0, 50.0, 37.5)","(4.8, 8.6, 6.533333333333333)","(5.0, 7.6, 7.551515151515151)","(4.0, 5.8, 4.3)","(19.0, 38.0, 26.0)"
11-01-2023 19:58:14.389047,"(3.6, 5.6, 4.2)","(81.0, 200.0, 135.0)","(101.0, 220.0, 180.0)","(4.2, 5.6, 5.15)","(26.0, 70.0, 46.5)","(26.0, 48.0, 37.5)","(4.8, 8.4, 7.0)","(5.0, 7.6, 7.716279069767442)","(4.0, 5.8, 4.72)","(19.0, 36.0, 25.333333333333332)"
11-01-2023 19:58:16.072005,"(3.6, 5.6, 4.34)","(81.0, 200.0, 135.0)","(101.0, 220.0, 180.0)","(4.2, 5.6, 4.9)","(26.0, 70.0, 54.75)","(26.0, 48.0, 37.5)","(4.8, 8.4, 7.0)","(5.0, 7.6, 7.5928571428571425)","(4.0, 5.8, 4.969230769230769)","(19.0, 36.0, 25.333333333333332)"
11-01-2023 19:58:17.633621,"(3.6, 5.6, 4.34)","(81.0, 200.0, 148.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 65.0, 54.75)","(26.0, 48.0, 37.5)","(4.8, 8.4, 7.0)","(5.0, 7.6, 7.628571428571428)","(4.0, 5.8, 4.8)","(19.0, 36.0, 25.333333333333332)"
11-01-2023 19:58:19.111111,"(3.6, 5.6, 4.55)","(81.0, 200.0, 148.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 65.0, 51.0)","(26.0, 48.0, 37.5)","(4.8, 8.4, 7.32)","(5.0, 7.8, 6.811764705882354)","(4.0, 5.8, 4.466666666666667)","(19.0, 36.0, 25.333333333333332)"
11-01-2023 19:58:20.577623,"(3.6, 5.6, 4.55)","(81.0, 200.0, 148.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 60.0, 51.0)","(26.0, 48.0, 37.5)","(4.8, 8.4, 6.666666666666667)","(5.0, 7.8, 7.5)","(4.0, 5.8, 4.56)","(19.0, 36.0, 25.333333333333332)"
11-01-2023 19:58:22.081462,"(3.6, 5.6, 4.55)","(81.0, 200.0, 148.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 60.0, 51.0)","(26.0, 48.0, 33.0)","(4.8, 8.4, 6.666666666666667)","(5.0, 7.8, 7.457142857142857)","(4.0, 5.7, 4.56)","(19.0, 36.0, 25.333333333333332)"
11-01-2023 19:58:23.654371,"(3.6, 5.6, 4.55)","(81.0, 200.0, 148.0)","(101.0, 220.0, 180.0)","(4.2, 5.7, 4.9)","(26.0, 60.0, 51.0)","(26.0, 48.0, 33.0)","(4.8, 8.4, 6.666666666666667)","(5.0, 7.8, 7.457142857142857)","(4.0, 5.7, 4.56)","(19.0, 36.0, 25.333333333333332)"
