,Van Damme,Bold Prophet,A I Initiative,Pont Du Gard,Onlyattheshoe
41,"[datetime.datetime(2022, 11, 28, 10, 47, 17, 267880), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 17, 267880), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 17, 267880), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 17, 267880), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 17, 267880), 4.8, 7.4]"
42,"[datetime.datetime(2022, 11, 28, 10, 47, 18, 363380), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 18, 363380), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 18, 363380), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 18, 363380), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 18, 363380), 4.8, 7.4]"
43,"[datetime.datetime(2022, 11, 28, 10, 47, 19, 440503), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 19, 440503), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 19, 440503), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 19, 440503), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 19, 440503), 4.8, 7.4]"
44,"[datetime.datetime(2022, 11, 28, 10, 47, 20, 510791), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 20, 510791), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 20, 510791), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 20, 510791), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 20, 510791), 4.8, 7.4]"
45,"[datetime.datetime(2022, 11, 28, 10, 47, 21, 612008), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 21, 612008), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 21, 612008), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 21, 612008), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 21, 612008), 4.8, 7.4]"
46,"[datetime.datetime(2022, 11, 28, 10, 47, 22, 694900), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 22, 694900), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 22, 694900), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 22, 694900), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 22, 694900), 4.8, 7.4]"
47,"[datetime.datetime(2022, 11, 28, 10, 47, 23, 781959), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 23, 781959), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 23, 781959), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 23, 781959), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 23, 781959), 4.8, 7.4]"
48,"[datetime.datetime(2022, 11, 28, 10, 47, 24, 855436), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 24, 855436), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 24, 855436), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 24, 855436), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 24, 855436), 4.8, 7.4]"
49,"[datetime.datetime(2022, 11, 28, 10, 47, 25, 940227), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 25, 940227), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 25, 940227), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 25, 940227), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 25, 940227), 4.8, 7.4]"
50,"[datetime.datetime(2022, 11, 28, 10, 47, 27, 28378), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 27, 28378), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 27, 28378), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 27, 28378), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 27, 28378), 4.8, 7.4]"
