,Tuta Grizzly,Lornas Creek,Stomp,Business Flight,Clock Watcher,Journalist,Luckies Lass,Brians Buster
08-01-2023 12:05:56.804580,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:57.759367,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:58.729097,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:59.682281,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:00.637932,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:01.599265,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:02.569632,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:03.538311,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:04.504718,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:05.450715,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:06.429787,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:07.397434,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:08.375035,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:09.374676,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:06:10.351209,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
