,Haras Pearl,Stolen Moment,Jack Spot,Mad Max Blue,Fire Flick,Uncle Charlie,Dairy Girl
04-01-2023 13:54:16.377388,"(2.45, 2.92, 2.7777777777777777)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:17.686532,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:18.837777,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:19.973423,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:21.136433,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:22.299316,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:23.401145,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:24.428954,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:25.442036,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:26.509894,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
