,Sutter Man,Childers Road,Bettor Beontoit Nz,Celestial Daybreak,Damysus,Bayonet Soldier,Ammicchi,Whoee Johnson,Our Major Jack Nz,Barney Fella
12-01-2023 16:37:51.360805,"(8.0, 11.5, 11.318181818181818)","(5.5, 6.6, 6.50625)","(8.0, 99999, 99990)","(41.0, 70.0, 57.8125)","(15.0, 20.0, 19.25)","(91.0, 180.0, 166.0)","(7.5, 8.4, 8.3)","(13.0, 28.0, 21.571428571428573)","(2.4, 99999, 99990)","(11.0, 17.5, 17.35)"
12-01-2023 16:37:52.748622,"(8.0, 14.0, 13.363636363636363)","(5.5, 6.6, 6.817391304347826)","(8.0, 99999, 99990)","(41.0, 70.0, 57.8125)","(15.0, 20.0, 19.25)","(91.0, 180.0, 166.0)","(7.5, 8.4, 8.3)","(12.0, 28.0, 22.214285714285715)","(2.4, 99999, 99990)","(11.0, 17.5, 17.35)"
12-01-2023 16:37:54.043886,"(8.0, 13.5, 13.2)","(5.5, 7.0, 6.817391304347826)","(8.0, 99999, 99990)","(41.0, 70.0, 57.8125)","(15.0, 20.0, 18.928571428571427)","(91.0, 180.0, 166.0)","(7.5, 8.4, 8.3)","(12.0, 28.0, 22.857142857142858)","(2.4, 99999, 99990)","(11.0, 17.5, 17.25)"
12-01-2023 16:37:55.273128,"(8.0, 13.0, 11.625)","(5.5, 7.0, 6.818181818181818)","(8.0, 99999, 99990)","(41.0, 70.0, 58.214285714285715)","(15.0, 20.0, 19.285714285714285)","(91.0, 180.0, 166.0)","(7.5, 8.4, 8.3)","(12.0, 28.0, 25.0)","(2.4, 99999, 99990)","(11.0, 17.5, 17.25)"
12-01-2023 16:37:56.570248,"(8.0, 13.0, 11.625)","(5.5, 7.0, 6.818181818181818)","(8.5, 99999, 99990)","(41.0, 70.0, 58.214285714285715)","(15.0, 20.0, 19.3)","(91.0, 180.0, 166.0)","(7.5, 8.4, 8.3)","(12.0, 28.0, 25.0)","(2.35, 99999, 99990)","(11.0, 17.5, 17.25)"
12-01-2023 16:37:57.831286,"(8.0, 13.0, 11.307692307692308)","(5.5, 7.0, 6.584615384615385)","(8.5, 99999, 99990)","(41.0, 70.0, 58.214285714285715)","(15.0, 19.5, 19.125)","(91.0, 180.0, 160.0)","(7.5, 8.4, 8.392857142857142)","(12.0, 28.0, 28.625)","(2.35, 99999, 99990)","(11.0, 17.5, 15.089285714285714)"
12-01-2023 16:37:59.404584,"(8.0, 11.0, 10.171875)","(5.5, 7.2, 6.892307692307692)","(8.5, 99999, 99990)","(41.0, 70.0, 58.214285714285715)","(15.0, 19.5, 19.125)","(91.0, 180.0, 197.14285714285714)","(7.5, 8.8, 8.392857142857142)","(12.0, 30.0, 26.700000000000003)","(2.35, 99999, 99990)","(11.0, 16.0, 15.089285714285714)"
12-01-2023 16:38:00.857159,"(8.0, 11.0, 10.171875)","(5.5, 7.2, 7.422222222222222)","(8.5, 99999, 99990)","(41.0, 70.0, 58.214285714285715)","(15.0, 19.5, 18.875)","(91.0, 210.0, 180.0)","(7.5, 8.8, 7.718181818181818)","(12.0, 30.0, 26.5)","(2.35, 99999, 99990)","(11.0, 16.0, 15.055555555555555)"
12-01-2023 16:38:02.205146,"(8.0, 11.0, 10.171875)","(5.5, 7.6, 7.266666666666667)","(8.5, 99999, 99990)","(41.0, 70.0, 57.5)","(15.0, 20.0, 19.142857142857142)","(91.0, 210.0, 132.5)","(7.5, 8.2, 7.71076923076923)","(12.0, 30.0, 24.166666666666668)","(2.35, 99999, 99990)","(11.0, 16.0, 14.833333333333334)"
12-01-2023 16:38:03.662289,"(8.0, 11.0, 9.40857142857143)","(5.5, 7.6, 7.333333333333333)","(8.5, 99999, 99990)","(41.0, 60.0, 57.0)","(15.0, 20.0, 18.666666666666668)","(91.0, 220.0, 165.0)","(7.5, 8.2, 7.834482758620689)","(12.0, 30.0, 25.0)","(2.35, 99999, 99990)","(11.0, 14.0, 13.5)"
12-01-2023 16:38:05.207005,"(8.0, 10.0, 9.408333333333333)","(5.5, 7.6, 7.257142857142857)","(8.5, 99999, 99990)","(41.0, 60.0, 56.36363636363636)","(15.0, 19.0, 18.5)","(91.0, 220.0, 132.0)","(7.5, 8.2, 7.8068965517241375)","(12.0, 30.0, 25.5)","(2.35, 99999, 99990)","(11.0, 14.0, 13.75)"
12-01-2023 16:38:06.838509,"(8.0, 10.0, 9.03448275862069)","(5.5, 7.6, 7.542857142857143)","(8.5, 99999, 99990)","(41.0, 60.0, 56.36363636363636)","(15.0, 19.0, 18.571428571428573)","(91.0, 220.0, 132.0)","(7.5, 8.2, 7.683076923076922)","(12.0, 29.0, 26.666666666666668)","(2.35, 99999, 99990)","(11.0, 14.0, 14.11111111111111)"
12-01-2023 16:38:08.203432,"(8.0, 10.0, 9.03448275862069)","(5.5, 7.8, 7.542857142857143)","(8.5, 99999, 99990)","(41.0, 60.0, 57.0)","(15.0, 19.0, 18.25)","(91.0, 220.0, 152.5)","(7.5, 8.2, 7.685714285714285)","(12.0, 29.0, 24.0)","(2.35, 99999, 99990)","(11.0, 16.0, 14.444444444444445)"
12-01-2023 16:38:09.565237,"(8.0, 10.0, 9.040000000000001)","(5.5, 8.0, 7.6)","(8.5, 99999, 99990)","(41.0, 60.0, 56.36363636363636)","(15.0, 19.0, 18.357142857142858)","(91.0, 220.0, 152.5)","(7.5, 8.2, 7.687096774193548)","(12.0, 30.0, 24.0)","(2.35, 99999, 99990)","(11.0, 16.0, 14.25)"
12-01-2023 16:38:11.134143,"(8.0, 10.0, 9.037037037037038)","(5.5, 8.0, 8.333333333333334)","(8.5, 99999, 99990)","(41.0, 60.0, 57.0)","(15.0, 18.5, 18.75)","(91.0, 220.0, 152.5)","(7.5, 8.2, 7.236363636363636)","(12.0, 30.0, 23.571428571428573)","(2.35, 99999, 99990)","(11.0, 16.0, 14.333333333333334)"
12-01-2023 16:38:12.418329,"(8.0, 10.0, 9.037037037037038)","(5.5, 8.4, 8.333333333333334)","(8.5, 99999, 99990)","(41.0, 60.0, 61.66666666666667)","(15.0, 19.0, 17.9)","(91.0, 220.0, 152.5)","(7.5, 8.2, 7.8)","(12.0, 30.0, 25.2)","(2.35, 99999, 99990)","(11.0, 16.0, 14.333333333333334)"
12-01-2023 16:38:13.685353,"(8.0, 10.0, 9.037037037037038)","(5.5, 8.4, 7.9)","(8.5, 99999, 99990)","(41.0, 65.0, 61.66666666666667)","(15.0, 19.5, 18.571428571428573)","(91.0, 220.0, 212.5)","(7.5, 8.0, 7.533333333333333)","(12.0, 30.0, 25.8)","(2.35, 99999, 99990)","(11.0, 16.0, 14.666666666666666)"
12-01-2023 16:38:14.975285,"(8.0, 10.0, 9.060240963855422)","(5.5, 8.4, 7.866666666666666)","(8.5, 99999, 99990)","(41.0, 65.0, 61.66666666666667)","(15.0, 19.0, 18.80952380952381)","(91.0, 220.0, 215.0)","(7.5, 7.6, 8.08)","(13.0, 30.0, 26.4)","(2.35, 99999, 99990)","(11.0, 16.0, 14.666666666666666)"
12-01-2023 16:38:16.252491,"(8.0, 10.0, 9.015151515151516)","(5.5, 8.4, 8.066666666666666)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 19.0, 18.357142857142858)","(91.0, 220.0, 206.66666666666666)","(7.5, 8.8, 8.094117647058823)","(13.0, 30.0, 26.4)","(2.35, 99999, 99990)","(11.0, 16.0, 14.666666666666666)"
