,Sunset Tara,Body Slam,Fried Giblet,Intruder,Zinger Giblet,Shes Magical
08-01-2023 15:59:02.120449,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:03.077065,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:04.074434,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:05.028309,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:06.020821,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:06.915197,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:07.780036,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:08.798118,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:09.791110,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:10.759672,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:11.756742,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:12.719899,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:13.603210,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:14.582828,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:15.560137,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:16.446831,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:17.526209,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:18.649040,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:19.551404,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:20.433951,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:21.435419,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:22.273789,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:23.378506,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
