,Sailalong Sinbad,Mighty George Nz,Lord Of Misrule Nz,Quartzite,Delta Three Nz,Kyronta,What A Jolt,Mossdale Mac Nz,Cheetah Lodge
10-01-2023 16:05:27.994424,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:29.286562,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 131.66666666666669)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:30.592238,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 140.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:31.820822,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:33.070444,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:34.395808,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.875)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:35.717044,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.2, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:36.957576,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:38.149287,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:39.321985,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:40.551185,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:41.742517,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:42.895363,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:44.034182,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:45.269329,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:46.529152,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:47.827003,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 6.666666666666667)"
10-01-2023 16:05:49.051236,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 105.0)","(6.5, 99999, 99990)","(6.0, 8.8, 7.64)"
10-01-2023 16:05:50.254978,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.64)"
10-01-2023 16:05:51.559045,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.64)"
10-01-2023 16:05:52.883543,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.64)"
10-01-2023 16:05:54.214975,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.452173913043478)"
10-01-2023 16:05:55.509175,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.7499999999999996)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.452173913043478)"
10-01-2023 16:05:56.840179,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.1, 3.6999999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:05:58.241969,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.6999999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:05:59.590923,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.6999999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:06:00.915143,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.6999999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:06:02.241362,"(10.0, 18.0, 13.625)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.6999999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:06:03.524162,"(10.0, 18.0, 14.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.6999999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:06:04.844409,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.6999999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(101.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:06:06.155559,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.6999999999999997)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:06:07.570584,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.709090909090909)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.5)"
10-01-2023 16:06:08.859107,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:10.121373,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:11.495557,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:12.808184,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:14.351091,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:15.826073,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:17.330662,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:18.750120,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:20.133516,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:21.509058,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7714285714285714)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.533333333333333)"
10-01-2023 16:06:22.834866,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 6.644444444444445)"
10-01-2023 16:06:24.223153,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 6.644444444444445)"
10-01-2023 16:06:25.579166,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:26.884356,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:28.197549,"(10.0, 18.0, 15.857142857142858)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:29.522903,"(10.0, 18.0, 20.2)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:30.769432,"(10.0, 22.0, 20.2)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:32.089751,"(10.0, 21.0, 19.269230769230766)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:33.337249,"(10.0, 21.0, 17.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:34.623694,"(10.0, 21.0, 17.25)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:35.954765,"(10.0, 21.0, 16.45)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:37.335289,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:38.715770,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:40.089509,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:41.582201,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:43.473148,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:44.914150,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 111.42857142857143)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:46.247250,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 108.33333333333334)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:47.505842,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 103.33333333333334)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:48.799865,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7600000000000002)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 103.33333333333334)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:50.162132,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:51.608847,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:52.941033,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:54.289780,"(10.0, 21.0, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:55.711658,"(10.0, 21.0, 16.8)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.6, 7.470588235294118)"
10-01-2023 16:06:57.095618,"(10.0, 21.0, 17.76923076923077)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.6, 6.6000000000000005)"
10-01-2023 16:06:58.561909,"(10.0, 21.0, 17.76923076923077)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.4, 6.24)"
10-01-2023 16:07:00.008523,"(10.0, 21.0, 17.76923076923077)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.4, 7.2631578947368425)"
10-01-2023 16:07:01.424027,"(10.0, 21.0, 17.76923076923077)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.4, 7.0)"
10-01-2023 16:07:02.762869,"(10.0, 21.0, 19.285714285714285)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8863636363636367)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 95.71428571428572)","(6.5, 99999, 99990)","(6.0, 8.0, 6.9)"
10-01-2023 16:07:04.132870,"(10.0, 20.0, 20.214285714285715)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 3.95, 3.8863636363636367)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 103.33333333333334)","(6.5, 99999, 99990)","(6.0, 8.0, 6.9)"
10-01-2023 16:07:05.544677,"(10.0, 21.0, 18.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 3.95, 3.8863636363636367)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 130.0, 87.5)","(6.5, 99999, 99990)","(6.0, 8.0, 6.8)"
10-01-2023 16:07:06.899819,"(10.0, 21.0, 18.5)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 3.95, 3.8863636363636367)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 120.0, 87.5)","(6.5, 99999, 99990)","(6.0, 8.0, 6.8)"
10-01-2023 16:07:08.215482,"(10.0, 21.0, 16.833333333333332)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 3.95, 3.89)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 120.0, 87.5)","(6.5, 99999, 99990)","(6.0, 8.0, 6.8)"
10-01-2023 16:07:09.614889,"(10.0, 19.5, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7750000000000004)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 120.0, 87.5)","(6.5, 99999, 99990)","(6.0, 8.0, 6.517647058823529)"
10-01-2023 16:07:11.094145,"(10.0, 19.5, 17.75)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8312500000000003)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 120.0, 87.5)","(6.5, 99999, 99990)","(6.0, 8.0, 6.517647058823529)"
10-01-2023 16:07:12.533817,"(10.0, 19.5, 18.8)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8312500000000003)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 120.0, 116.875)","(6.5, 99999, 99990)","(6.0, 8.0, 6.517647058823529)"
10-01-2023 16:07:13.898167,"(10.0, 19.5, 20.2)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.8312500000000003)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 120.0, 116.875)","(6.5, 99999, 99990)","(6.0, 8.0, 6.517647058823529)"
10-01-2023 16:07:15.331204,"(10.0, 22.0, 19.0)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7750000000000004)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 120.0, 116.875)","(6.5, 99999, 99990)","(6.0, 8.0, 6.517647058823529)"
10-01-2023 16:07:16.767480,"(10.0, 22.0, 19.0)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(3.1, 4.0, 3.7750000000000004)","(5.5, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(81.0, 120.0, 116.875)","(6.5, 99999, 99990)","(6.0, 8.0, 6.517647058823529)"
