,Nicco The Greek,Im Krupt,Flying To Paris,Coronation Veronic,Black Eaglet,Gee Gee Miss Quita,Alvarinho,Finxy,Zulu Guru
06-01-2023 17:10:25.460954,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 28.526315789473685)"
06-01-2023 17:10:26.858921,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 28.526315789473685)"
06-01-2023 17:10:28.218762,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 28.526315789473685)"
06-01-2023 17:10:29.521333,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 28.526315789473685)"
06-01-2023 17:10:30.844750,"(3.1, 3.45, 3.2785714285714285)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.755)","(13.0, 25.0, 21.5)","(19.0, 40.0, 30.0)","(5.5, 11.0, 10.2)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 28.526315789473685)"
06-01-2023 17:10:32.214478,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.83)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 6.2, 9.857142857142858)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:33.596886,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.83)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 10.5, 9.64)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:35.071675,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.83)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 10.5, 9.08)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:36.604631,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.83)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 9.08)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:38.001694,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.88, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 9.08)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:39.428087,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 9.08)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:40.825965,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 8.0)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:42.252687,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 7.800000000000001)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:43.609226,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 7.800000000000001)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:44.999587,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 7.800000000000001)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:46.300521,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 7.800000000000001)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:47.598250,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 7.800000000000001)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:48.916656,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 7.800000000000001)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:50.221888,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 7.800000000000001)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:51.506048,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 33.333333333333336)","(5.5, 9.8, 7.800000000000001)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:52.734446,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 35.0)","(5.5, 9.8, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:53.942713,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:55.166807,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:56.366481,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:57.563721,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 21.5)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:58.731079,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:10:59.949825,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
