,King Of All,Honest Thief,Im Indigo,Lektra Sammy,Suntanned,Reel It In,Shanias Dream,Diva Dot
12-01-2023 11:01:06.730086,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:07.739862,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:08.754989,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:09.756269,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:10.759802,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:11.759175,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:12.785090,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:13.798046,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:14.824598,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:15.919865,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:17.033792,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:18.131707,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:19.280623,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:20.371314,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:21.512287,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.36)"
12-01-2023 11:01:22.637015,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.227777777777778)"
12-01-2023 11:01:23.733901,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.227777777777778)"
12-01-2023 11:01:24.806019,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.227777777777778)"
12-01-2023 11:01:25.889218,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 11.227777777777778)"
12-01-2023 11:01:26.918518,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.566666666666666)"
12-01-2023 11:01:27.987137,"(2.7, 4.3, 3.3816326530612244)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 10.566666666666666)"
