,Whata Reactor,Little Auckland,Lurking,Eastbro Tex,Gulmarg,Whata Challenge,The Crom,Caught Out,Nevaevabend
07-12-2022 20:48:26.356740,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:27.550902,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:28.726468,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:29.901459,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:31.048864,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:32.260940,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:33.411300,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:34.607261,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:36.161225,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:37.367012,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.54545454545455)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:38.678568,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:39.984352,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:41.274651,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:42.504295,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:43.692897,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
