,Seductive Angel,Bokarm Luna,Ember Lad,Clover Lizzie,Star Sirius,Bokarm Nero,Burringbar Gypsy
12-01-2023 10:30:45.057517,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:46.069724,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:47.048824,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:48.154281,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:49.259564,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:50.237574,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:51.335224,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:52.447639,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:53.600598,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:54.623154,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:55.698739,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:56.806647,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7333333333333334)"
12-01-2023 10:30:57.948949,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.5, 3.7346153846153847)"
12-01-2023 10:30:59.085774,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7346153846153847)"
12-01-2023 10:31:00.173300,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
