,Tessa Orchid,Princess Gypsy,Little Zambora,Lala Ultra Fast,River Matt,Super Bob,Holtorf Bale,Vitnell Bale
14-12-2022 13:38:40.519018,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:41.807902,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:43.063744,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:44.309743,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:45.547282,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 8.50769230769231)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:46.882932,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 8.8, 7.112)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:48.110980,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.4, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:49.329982,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:50.578855,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:51.733378,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
