,Bisping,Double Edge Sword,Im A Cowboy,Scatamaran,Rithm Nic
15-12-2022 12:05:37.677278,"(5.0, 8.0, 7.844444444444444)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.36, 2.2333333333333334)"
15-12-2022 12:05:38.636787,"(5.0, 7.8, 7.010526315789473)","(7.0, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.8, 5.0, 4.857142857142857)","(2.05, 2.34, 2.2800000000000002)"
15-12-2022 12:05:39.470377,"(5.0, 7.8, 7.010526315789473)","(6.5, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.34, 2.2800000000000002)"
15-12-2022 12:05:40.345954,"(5.0, 7.8, 7.010526315789473)","(6.5, 8.6, 8.3)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.34, 2.2800000000000002)"
15-12-2022 12:05:41.275147,"(5.0, 7.8, 7.4)","(6.5, 8.4, 7.576470588235295)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2466666666666666)"
15-12-2022 12:05:42.179679,"(5.0, 8.0, 7.4)","(6.5, 8.4, 7.576470588235295)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2466666666666666)"
15-12-2022 12:05:43.105504,"(5.0, 7.8, 7.010526315789473)","(6.5, 8.2, 7.618181818181818)","(9.0, 14.0, 13.6)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2578947368421054)"
15-12-2022 12:05:44.008405,"(5.0, 7.8, 7.010526315789473)","(6.5, 8.2, 7.618181818181818)","(9.0, 14.0, 13.6)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:44.937587,"(5.0, 7.8, 7.010526315789473)","(6.5, 8.2, 7.618181818181818)","(9.0, 14.0, 13.6)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:45.725075,"(5.0, 8.0, 7.5636363636363635)","(6.5, 8.2, 7.618181818181818)","(9.0, 14.0, 13.6)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
