,Mariahs Shadow,Joey Girl,Kahina,Pay Me Interest Nz,Whistle On By,Atreacherous
12-01-2023 12:13:27.314247,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.92)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4318181818181817)"
12-01-2023 12:13:28.396564,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:29.569758,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:30.731668,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:31.743609,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:32.818200,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:33.935639,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:35.262113,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:36.268046,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:37.268632,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:38.262687,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:39.308180,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:40.427716,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:41.516550,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:42.566867,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:43.602882,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:44.636757,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:45.687181,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:46.722201,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:47.771022,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:48.709126,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:49.649435,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:50.656875,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:51.640064,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:52.713820,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:53.697608,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:54.672372,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:55.546932,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.111111111111111)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:56.506413,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.047058823529412)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:57.497953,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.2, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:58.588911,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4292857142857143)"
12-01-2023 12:13:59.565055,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:00.487660,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:01.319382,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:02.244393,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:03.177780,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:04.176502,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:05.167213,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:06.177712,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:07.149517,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:08.074747,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:08.962975,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:09.865669,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:10.850643,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:11.866962,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:12.873005,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:13.874529,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:14.807284,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:15.634201,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:16.574212,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:17.524019,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:18.454762,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:19.323997,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:20.212488,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:21.188937,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:22.069853,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:22.990949,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:23.932178,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:24.807260,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:25.713468,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:26.647619,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:27.620815,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:28.612239,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:29.576886,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:30.529092,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:31.451850,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:32.337722,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:33.324707,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:34.230236,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:35.160859,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:36.052347,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:36.897922,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:37.833881,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:38.807839,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:39.701464,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:40.615457,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:41.504548,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:42.386528,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:43.336403,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:44.260505,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:45.228780,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:46.151966,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:47.032438,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:47.982705,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:48.904169,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:49.852759,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:50.793771,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:51.687983,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:52.616597,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:53.473836,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:54.392718,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:55.311353,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:56.212482,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:57.046552,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:57.912237,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:58.851146,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:14:59.772555,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:00.703084,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:01.584136,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:02.491454,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:03.400769,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:04.297820,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:05.305816,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:06.214125,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:07.037430,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:07.961828,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:08.870961,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:09.808488,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:10.691677,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:11.569550,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:12.471269,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:13.408310,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:14.346746,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
12-01-2023 12:15:15.304696,"(81.0, 180.0, 116.66666666666667)","(21.0, 60.0, 31.5)","(3.6, 6.0, 5.4)","(10.0, 99999, 99990)","(10.0, 19.0, 15.0)","(1.3, 1.55, 1.4849999999999999)"
