,Road Home,Blue Jeans Talk,Akimbo,White Like Snow,Black Delight,Five Putt Cal
11-01-2023 21:02:55.671816,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:56.763861,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:57.843415,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:02:58.911105,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:00.002268,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:01.146672,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:02.266887,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:03.365470,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:04.415285,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:05.513099,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:06.655562,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:07.780607,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:08.915458,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:09.927521,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:11.032588,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:12.153762,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:13.243879,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:14.317289,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:15.299024,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:16.341666,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:17.760461,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:18.943275,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:20.052829,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:03:21.092686,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 173.3846153846154)","(2.1, 3.0, 2.8360000000000003)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
