,Chipping Campden,Darra Linen,Little Ms Dreamer,Queen Of Tayrona,Schiller Effect,Empress Of Sydney,Misty Gold,Savvy Bee,Shikishi,Ask,Epsom Magic
07-01-2023 12:28:23.674365,"(31.0, 48.0, 46.75)","(15.0, 19.0, 18.7603550295858)","(71.0, 100.0, 95.55555555555556)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.265614035087719)","(12.0, 14.5, 14.325396825396826)","(11.0, 13.5, 12.844632768361581)","(4.6, 5.2, 5.258139534883721)","(10.0, 12.5, 11.91908713692946)","(20.0, 27.0, 26.857142857142858)","(101.0, 220.0, 209.5)"
07-01-2023 12:28:25.020062,"(31.0, 48.0, 46.421052631578945)","(15.0, 19.0, 18.72818791946309)","(71.0, 100.0, 96.92307692307692)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.2642307692307693)","(12.0, 14.5, 14.325396825396826)","(11.0, 13.5, 12.844632768361581)","(4.6, 5.3, 5.258139534883721)","(10.0, 12.5, 11.91908713692946)","(20.0, 27.0, 26.857142857142858)","(101.0, 220.0, 209.5)"
07-01-2023 12:28:26.419198,"(31.0, 48.0, 47.47826086956522)","(15.0, 19.0, 18.72027972027972)","(71.0, 100.0, 94.28571428571429)","(91.0, 160.0, 150.45454545454547)","(2.05, 2.28, 2.2642307692307693)","(12.0, 14.5, 15.234939759036145)","(11.0, 13.5, 12.821637426900585)","(4.6, 5.3, 5.258139534883721)","(10.0, 12.5, 11.91908713692946)","(20.0, 27.0, 26.529411764705884)","(101.0, 220.0, 206.0)"
07-01-2023 12:28:27.825100,"(31.0, 48.0, 47.47826086956522)","(15.0, 19.0, 17.9)","(71.0, 100.0, 102.5)","(91.0, 160.0, 418.75)","(2.05, 2.28, 2.3291666666666666)","(12.0, 16.5, 17.916666666666668)","(11.0, 13.5, 14.8)","(4.6, 5.3, 5.2615384615384615)","(10.0, 12.5, 17.086956521739133)","(20.0, 29.0, 35.8)","(101.0, 220.0, 393.6363636363636)"
07-01-2023 12:28:29.220738,"(31.0, 60.0, 54.666666666666664)","(15.0, 26.0, 17.9)","(71.0, 130.0, 102.5)","(91.0, 440.0, 343.75)","(2.05, 2.34, 2.3291666666666666)","(12.0, 20.0, 16.0)","(11.0, 20.0, 14.8)","(4.6, 5.3, 4.892307692307692)","(10.0, 18.0, 17.086956521739133)","(20.0, 40.0, 35.8)","(101.0, 420.0, 348.18181818181813)"
07-01-2023 12:28:30.660672,"(31.0, 60.0, 54.666666666666664)","(15.0, 26.0, 17.0)","(71.0, 130.0, 102.5)","(91.0, 360.0, 409.375)","(2.05, 2.34, 2.324081632653061)","(12.0, 20.0, 16.0)","(11.0, 20.0, 17.433333333333334)","(4.6, 5.2, 4.885714285714285)","(10.0, 18.0, 17.086956521739133)","(20.0, 40.0, 34.69230769230769)","(101.0, 370.0, 337.69230769230774)"
07-01-2023 12:28:32.080479,"(31.0, 60.0, 52.0)","(15.0, 25.0, 20.833333333333336)","(71.0, 130.0, 117.5)","(91.0, 430.0, 409.375)","(2.05, 2.34, 2.3086206896551724)","(12.0, 20.0, 16.0)","(11.0, 19.0, 17.433333333333334)","(4.6, 5.2, 4.885714285714285)","(10.0, 18.0, 17.086956521739133)","(20.0, 36.0, 34.69230769230769)","(101.0, 400.0, 337.69230769230774)"
07-01-2023 12:28:33.432139,"(31.0, 60.0, 52.0)","(15.0, 25.0, 20.833333333333336)","(71.0, 160.0, 83.33333333333333)","(91.0, 430.0, 373.52941176470586)","(2.05, 2.32, 2.3086206896551724)","(12.0, 20.0, 16.0)","(11.0, 19.0, 17.433333333333334)","(4.6, 5.2, 4.909090909090909)","(10.0, 18.0, 17.086956521739133)","(20.0, 36.0, 34.69230769230769)","(101.0, 400.0, 366.3636363636364)"
07-01-2023 12:28:34.900127,"(31.0, 44.0, 31.25)","(15.0, 25.0, 22.0)","(71.0, 100.0, 83.33333333333333)","(91.0, 410.0, 373.52941176470586)","(2.05, 2.32, 2.3036363636363637)","(12.0, 20.0, 15.3125)","(11.0, 19.0, 17.433333333333334)","(4.6, 5.2, 5.1085714285714285)","(10.0, 18.0, 14.75)","(20.0, 36.0, 33.64285714285714)","(101.0, 390.0, 265.0)"
07-01-2023 12:28:36.657505,"(31.0, 44.0, 42.0)","(15.0, 26.0, 24.166666666666664)","(71.0, 100.0, 83.33333333333333)","(91.0, 410.0, 381.25)","(2.05, 2.32, 2.3394520547945206)","(12.0, 20.0, 15.3125)","(11.0, 19.0, 9.667307692307691)","(4.6, 5.2, 5.1085714285714285)","(10.0, 18.0, 16.6875)","(20.0, 36.0, 33.64285714285714)","(101.0, 390.0, 265.0)"
