,Prompt Prodigy,Deevine,Grand Pope,Grinzinger Prince,Tramontana,Bluestone Lane,Cosmic Rhapsody,Jamarra,Rosalia,Pinnace,Snappy Magnus,Hes Essential,The Siscos Kid
04-01-2023 15:59:45.190747,"(61.0, 250.0, 193.33333333333331)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.7, 5.696153846153846)","(31.0, 55.0, 47.0)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:46.680476,"(61.0, 250.0, 193.33333333333331)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.4, 8.34)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.7, 5.696153846153846)","(31.0, 55.0, 47.0)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:48.247547,"(61.0, 250.0, 193.33333333333331)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.4, 7.855284552845529)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.7, 5.770588235294118)","(31.0, 55.0, 47.0)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:49.736959,"(61.0, 250.0, 193.33333333333331)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.0, 7.855284552845529)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.9, 5.770588235294118)","(31.0, 55.0, 47.0)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:51.289754,"(61.0, 250.0, 193.33333333333331)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.0, 7.855284552845529)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.9, 5.770588235294118)","(31.0, 55.0, 47.0)","(10.0, 13.0, 12.458333333333334)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:52.848348,"(61.0, 250.0, 193.33333333333331)","(26.0, 90.0, 64.85714285714286)","(6.5, 8.0, 7.855284552845529)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.653333333333332)","(4.4, 5.9, 5.79)","(31.0, 55.0, 42.733333333333334)","(10.0, 13.0, 11.85135135135135)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:54.363656,"(61.0, 250.0, 193.33333333333331)","(26.0, 85.0, 60.625)","(6.5, 8.0, 7.855284552845529)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 37.6)","(26.0, 40.0, 36.0)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.789473684210526)","(4.4, 6.0, 5.79)","(31.0, 55.0, 44.77777777777778)","(10.0, 12.0, 11.85135135135135)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:55.859635,"(61.0, 250.0, 193.33333333333331)","(26.0, 85.0, 64.44444444444444)","(6.5, 8.0, 8.046153846153846)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 38.285714285714285)","(26.0, 40.0, 36.526315789473685)","(6.0, 7.0, 6.952941176470588)","(8.0, 9.0, 8.789473684210526)","(4.4, 6.0, 5.800000000000001)","(31.0, 55.0, 44.5)","(10.0, 12.0, 11.85135135135135)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:57.398317,"(61.0, 250.0, 225.71428571428572)","(26.0, 85.0, 64.44444444444444)","(6.5, 8.2, 8.046153846153846)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 38.285714285714285)","(26.0, 40.0, 37.9375)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.789473684210526)","(4.4, 5.9, 5.800000000000001)","(31.0, 55.0, 39.8)","(10.0, 12.0, 11.841346153846153)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 15:59:58.880304,"(61.0, 250.0, 225.71428571428572)","(26.0, 85.0, 64.44444444444444)","(6.5, 8.2, 8.046153846153846)","(5.5, 6.4, 6.285714285714286)","(9.0, 11.0, 10.954545454545455)","(18.0, 40.0, 38.285714285714285)","(26.0, 40.0, 37.9375)","(6.0, 7.0, 6.942857142857143)","(8.0, 9.0, 8.789473684210526)","(4.4, 5.9, 5.874576271186441)","(31.0, 55.0, 41.18181818181818)","(10.0, 12.0, 11.841346153846153)","(81.0, 180.0, 141.36363636363637)"
