,Z U In My Dreams,Bettabe Swift,Jungle Goddess,Freezer Burn,Wish For Magic,Flat Out Appealing
41,"[datetime.datetime(2022, 11, 28, 11, 4, 4, 371335), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 4, 371335), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 4, 371335), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 4, 371335), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 4, 371335), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 4, 371335), 31.0, 99999]"
42,"[datetime.datetime(2022, 11, 28, 11, 4, 5, 482970), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 5, 482970), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 5, 482970), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 5, 482970), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 5, 482970), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 5, 482970), 31.0, 290.0]"
43,"[datetime.datetime(2022, 11, 28, 11, 4, 6, 601629), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 6, 601629), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 6, 601629), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 6, 601629), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 6, 601629), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 6, 601629), 31.0, 290.0]"
44,"[datetime.datetime(2022, 11, 28, 11, 4, 7, 702595), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 7, 702595), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 7, 702595), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 7, 702595), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 7, 702595), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 7, 702595), 31.0, 290.0]"
45,"[datetime.datetime(2022, 11, 28, 11, 4, 8, 800870), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 8, 800870), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 8, 800870), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 8, 800870), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 8, 800870), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 8, 800870), 31.0, 290.0]"
46,"[datetime.datetime(2022, 11, 28, 11, 4, 9, 888617), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 9, 888617), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 9, 888617), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 9, 888617), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 9, 888617), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 9, 888617), 31.0, 290.0]"
47,"[datetime.datetime(2022, 11, 28, 11, 4, 10, 999593), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 10, 999593), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 10, 999593), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 10, 999593), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 10, 999593), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 10, 999593), 31.0, 290.0]"
48,"[datetime.datetime(2022, 11, 28, 11, 4, 12, 85037), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 12, 85037), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 12, 85037), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 12, 85037), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 12, 85037), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 12, 85037), 31.0, 290.0]"
49,"[datetime.datetime(2022, 11, 28, 11, 4, 13, 189219), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 13, 189219), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 13, 189219), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 13, 189219), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 13, 189219), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 13, 189219), 31.0, 290.0]"
50,"[datetime.datetime(2022, 11, 28, 11, 4, 14, 296878), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 14, 296878), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 14, 296878), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 14, 296878), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 14, 296878), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 14, 296878), 31.0, 290.0]"
51,"[datetime.datetime(2022, 11, 28, 11, 4, 15, 391293), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 15, 391293), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 15, 391293), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 15, 391293), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 15, 391293), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 15, 391293), 31.0, 290.0]"
52,"[datetime.datetime(2022, 11, 28, 11, 4, 16, 477784), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 16, 477784), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 4, 16, 477784), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 4, 16, 477784), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 4, 16, 477784), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 4, 16, 477784), 31.0, 290.0]"
