,Suparazi,I Could Do Better,Oxley Jack,Pocket Change,Twiggy Pop,Kapanku,Rutherford,Star Buyer,Forbidden City
07-12-2022 17:58:33.029461,"(4.6, 5.1, 5.06482254697286)","(71.0, 140.0, 131.42857142857142)","(20.0, 27.0, 26.483443708609272)","(3.9, 4.5, 4.472633744855967)","(26.0, 34.0, 33.21658986175115)","(7.5, 8.8, 8.55111111111111)","(12.0, 15.0, 14.745762711864407)","(51.0, 70.0, 69.52380952380952)","(2.7, 3.25, 3.212039877300614)"
07-12-2022 17:58:34.134754,"(4.6, 5.1, 5.054719764011799)","(71.0, 140.0, 133.68421052631578)","(20.0, 27.0, 26.483443708609272)","(3.9, 4.5, 4.483383233532934)","(26.0, 34.0, 33.25581395348837)","(7.5, 8.6, 8.540314136125655)","(12.0, 15.0, 14.766666666666667)","(51.0, 70.0, 72.28395061728395)","(2.7, 3.25, 3.211868300153139)"
07-12-2022 17:58:35.309916,"(4.6, 5.1, 5.051838879159369)","(71.0, 140.0, 133.94736842105263)","(20.0, 27.0, 26.516778523489933)","(3.9, 4.6, 4.535044642857143)","(26.0, 34.0, 33.285714285714285)","(7.5, 8.6, 8.582248520710058)","(12.0, 15.0, 14.783898305084746)","(51.0, 75.0, 71.0)","(2.8, 3.25, 3.2002762430939224)"
07-12-2022 17:58:36.342183,"(4.6, 5.1, 5.063182897862233)","(71.0, 140.0, 134.05405405405406)","(20.0, 27.0, 26.53846153846154)","(3.9, 4.6, 4.519390581717452)","(26.0, 34.0, 33.285714285714285)","(7.5, 8.6, 8.582248520710058)","(12.0, 15.0, 14.783898305084746)","(51.0, 75.0, 72.5609756097561)","(2.8, 3.25, 3.198076923076923)"
07-12-2022 17:58:37.449761,"(4.6, 5.1, 5.01896813353566)","(71.0, 140.0, 131.85185185185185)","(20.0, 27.0, 26.544827586206896)","(3.9, 4.6, 4.515895953757226)","(26.0, 34.0, 33.27884615384615)","(7.5, 8.8, 8.661016949152543)","(12.0, 15.0, 14.783898305084746)","(51.0, 75.0, 72.5609756097561)","(2.8, 3.25, 3.275700431034483)"
07-12-2022 17:58:38.561834,"(4.6, 5.0, 4.980826446280992)","(71.0, 140.0, 130.83333333333334)","(20.0, 27.0, 26.56)","(3.9, 4.5, 4.488059701492538)","(26.0, 34.0, 33.27884615384615)","(7.5, 8.6, 8.55625)","(12.0, 15.0, 14.781512605042018)","(51.0, 75.0, 72.5609756097561)","(2.7, 3.3, 3.2736516853932582)"
07-12-2022 17:58:39.752906,"(4.6, 5.0, 4.978277153558053)","(71.0, 140.0, 132.14285714285714)","(20.0, 27.0, 26.56)","(3.9, 4.5, 4.488059701492538)","(26.0, 34.0, 33.32338308457712)","(7.5, 8.6, 8.561290322580644)","(12.0, 15.0, 15.107407407407408)","(51.0, 75.0, 72.5609756097561)","(2.7, 3.3, 3.2734126984126983)"
07-12-2022 17:58:41.056582,"(4.6, 5.0, 4.973946360153257)","(71.0, 140.0, 132.14285714285714)","(20.0, 27.0, 26.56)","(3.9, 4.5, 4.494606741573033)","(26.0, 34.0, 33.32338308457712)","(7.5, 8.6, 8.561290322580644)","(12.0, 15.5, 15.107407407407408)","(51.0, 75.0, 72.5609756097561)","(2.7, 3.3, 3.2721583652618134)"
07-12-2022 17:58:42.390818,"(4.6, 5.0, 4.968149882903981)","(71.0, 140.0, 131.37254901960785)","(20.0, 27.0, 26.544827586206896)","(3.9, 4.5, 4.489954337899543)","(26.0, 34.0, 33.32338308457712)","(7.5, 8.6, 8.532378223495702)","(12.0, 15.5, 15.068345323741006)","(51.0, 75.0, 72.5609756097561)","(2.8, 3.3, 3.2531400966183575)"
07-12-2022 17:58:43.640422,"(4.6, 5.0, 4.966666666666667)","(71.0, 140.0, 131.37254901960785)","(20.0, 27.0, 26.544827586206896)","(3.9, 4.5, 4.489954337899543)","(26.0, 34.0, 33.32338308457712)","(7.5, 8.6, 8.532758620689656)","(12.0, 15.5, 15.103053435114504)","(51.0, 75.0, 72.66233766233766)","(2.8, 3.3, 3.2530266343825667)"
