,Machens Ridge,Bears Estate,Catfish,Spirit Of Windsor,Twilight Years,Star Rider
15-12-2022 11:41:14.789061,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2557894736842106)","(4.4, 5.3, 5.245454545454545)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:15.706249,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2557894736842106)","(4.4, 5.3, 5.245454545454545)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:16.670268,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2557894736842106)","(4.4, 5.3, 5.245454545454545)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:17.618486,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2557894736842106)","(4.4, 5.3, 5.245454545454545)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:18.510105,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2557894736842106)","(4.4, 5.3, 5.245454545454545)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:19.448768,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2817391304347825)","(4.4, 5.3, 5.245454545454545)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:20.395073,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 14.0, 13.1)"
15-12-2022 11:41:21.312282,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:22.257238,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.166666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:23.211551,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:24.125028,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:25.078927,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:26.047326,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:26.910105,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:27.806010,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245454545454545)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:28.749215,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.286229508196721)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:29.766670,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:30.696052,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:31.598212,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:32.549074,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:33.578032,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:34.535640,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.873170731707317)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:35.450910,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.863157894736842)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:36.340835,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.863157894736842)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:37.286286,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.863157894736842)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:38.266115,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.863157894736842)","(1.9, 2.3, 2.2889473684210526)","(4.4, 5.3, 5.245945945945945)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:39.258778,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.863157894736842)","(1.9, 2.3, 2.293913043478261)","(4.4, 5.3, 5.238775510204082)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:40.238743,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.5, 10.041666666666666)","(6.5, 8.0, 7.863157894736842)","(1.9, 2.32, 2.3024999999999998)","(4.4, 5.3, 5.238775510204082)","(10.0, 13.5, 13.1)"
15-12-2022 11:41:41.197260,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.0, 9.96)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.3024999999999998)","(4.4, 5.3, 5.238775510204082)","(10.0, 13.5, 13.25)"
15-12-2022 11:41:42.220860,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.0, 9.96)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.3068852459016393)","(4.4, 5.3, 5.25)","(10.0, 13.5, 13.7)"
15-12-2022 11:41:43.166359,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.0, 9.96)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.233333333333333)","(10.0, 14.0, 13.7)"
15-12-2022 11:41:44.066717,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.0, 9.96)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.233333333333333)","(10.0, 14.0, 13.7)"
15-12-2022 11:41:45.064490,"(11.0, 15.0, 14.636363636363637)","(10.0, 10.0, 9.96)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.214285714285714)","(10.0, 14.0, 13.7)"
15-12-2022 11:41:46.019431,"(11.0, 15.0, 14.636363636363637)","(9.0, 10.0, 9.9)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.214285714285714)","(10.0, 14.0, 13.7)"
15-12-2022 11:41:46.943364,"(11.0, 15.0, 14.636363636363637)","(9.0, 10.0, 9.76)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.214285714285714)","(10.0, 14.0, 13.7)"
15-12-2022 11:41:47.867601,"(11.0, 15.0, 14.636363636363637)","(9.0, 10.0, 9.923809523809524)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.203225806451613)","(10.0, 14.0, 13.7)"
15-12-2022 11:41:48.914579,"(11.0, 15.0, 14.619047619047619)","(9.0, 10.0, 9.893333333333333)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.203225806451613)","(10.0, 14.0, 13.7)"
15-12-2022 11:41:49.910440,"(11.0, 15.0, 14.619047619047619)","(9.0, 10.0, 9.893333333333333)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.203225806451613)","(10.0, 14.0, 13.7)"
15-12-2022 11:41:50.767609,"(11.0, 15.0, 14.25)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.203225806451613)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:51.757979,"(11.0, 15.0, 14.25)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.203225806451613)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:52.704620,"(11.0, 15.0, 14.25)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.203225806451613)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:53.631087,"(11.0, 15.0, 14.25)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.203225806451613)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:54.621588,"(11.0, 15.0, 14.25)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.3, 5.164285714285715)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:55.575926,"(11.0, 15.0, 14.6)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.2, 5.116666666666666)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:56.554563,"(11.0, 15.0, 14.53125)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.2, 5.116666666666666)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:57.534309,"(11.0, 15.0, 14.53125)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.2, 5.116666666666666)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:58.430404,"(11.0, 15.0, 14.53125)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.2, 5.116666666666666)","(10.0, 14.0, 13.625)"
15-12-2022 11:41:59.370099,"(11.0, 15.0, 14.53125)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.868292682926829)","(1.9, 2.32, 2.2699999999999996)","(4.4, 5.2, 5.116666666666666)","(10.0, 14.0, 13.625)"
15-12-2022 11:42:00.395247,"(11.0, 15.0, 14.583333333333334)","(9.0, 10.0, 9.854545454545454)","(6.5, 8.0, 7.88)","(1.9, 2.32, 2.265454545454545)","(4.4, 5.2, 5.116666666666666)","(10.0, 14.0, 13.625)"
15-12-2022 11:42:01.301495,"(11.0, 15.0, 14.583333333333334)","(9.0, 10.0, 9.9)","(6.5, 8.0, 7.88)","(1.9, 2.32, 2.265454545454545)","(4.4, 5.2, 5.116666666666666)","(10.0, 14.0, 13.625)"
15-12-2022 11:42:02.232774,"(11.0, 15.0, 14.583333333333334)","(9.0, 10.0, 9.818181818181818)","(6.5, 8.0, 7.88)","(1.9, 2.32, 2.3033333333333332)","(4.4, 5.2, 5.164285714285715)","(10.0, 14.0, 13.625)"
15-12-2022 11:42:03.248147,"(11.0, 15.0, 14.583333333333334)","(9.0, 10.0, 9.777777777777779)","(6.5, 8.0, 7.88)","(1.9, 2.32, 2.3033333333333332)","(4.4, 5.2, 5.164285714285715)","(10.0, 14.0, 13.625)"
15-12-2022 11:42:04.264062,"(11.0, 15.0, 14.583333333333334)","(9.0, 10.0, 9.84)","(6.5, 8.0, 7.872727272727273)","(1.9, 2.32, 2.3033333333333332)","(4.4, 5.2, 5.164285714285715)","(10.0, 14.0, 13.625)"
15-12-2022 11:42:05.247062,"(11.0, 15.0, 14.583333333333334)","(8.5, 10.0, 9.84)","(6.5, 8.0, 7.88)","(1.95, 2.32, 2.312156862745098)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:06.209793,"(11.0, 15.0, 14.605263157894736)","(8.5, 10.0, 9.904)","(6.5, 8.0, 7.88)","(1.95, 2.32, 2.308275862068965)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:07.163175,"(11.0, 15.0, 14.605263157894736)","(8.5, 10.0, 9.289795918367348)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3224137931034483)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:08.188770,"(11.0, 15.0, 14.605263157894736)","(8.5, 10.0, 9.289795918367348)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:09.159099,"(11.0, 15.0, 14.605263157894736)","(8.5, 10.0, 9.289795918367348)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:10.046046,"(11.0, 15.0, 14.605263157894736)","(8.5, 9.8, 9.56923076923077)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:11.004394,"(11.0, 15.0, 14.605263157894736)","(8.5, 9.8, 9.56923076923077)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:12.009385,"(11.0, 15.0, 14.605263157894736)","(8.5, 9.8, 9.56923076923077)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:12.998056,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:13.916956,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:14.880397,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:15.899617,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:16.897432,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:17.822551,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:18.750554,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.3187499999999996)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:19.732143,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:20.727441,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:21.654188,"(11.0, 15.0, 14.666666666666666)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.625)"
15-12-2022 11:42:22.639066,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.363636363636363)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.7)"
15-12-2022 11:42:23.607170,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.571428571428571)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.7)"
15-12-2022 11:42:24.563888,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.571428571428571)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.7)"
15-12-2022 11:42:25.463066,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.571428571428571)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.7)"
15-12-2022 11:42:26.449933,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.571428571428571)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.7)"
15-12-2022 11:42:27.710743,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.571428571428571)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.7)"
15-12-2022 11:42:28.835335,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.571428571428571)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.7)"
15-12-2022 11:42:29.870581,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.571428571428571)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:30.918375,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:32.007155,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:33.175083,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:34.270218,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:35.481747,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:36.716158,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:37.868011,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:38.830536,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:39.833078,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:40.803284,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:41.748586,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.321111111111111)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:42.744863,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:43.703555,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:44.685540,"(11.0, 15.0, 14.705882352941176)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:45.674559,"(11.0, 15.5, 15.2)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:46.617926,"(11.0, 15.5, 15.2)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:47.624196,"(11.0, 15.5, 15.285714285714285)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:48.512545,"(11.0, 15.5, 15.285714285714285)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:49.454980,"(11.0, 15.5, 15.285714285714285)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:50.470228,"(11.0, 15.5, 15.285714285714285)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:51.519765,"(11.0, 15.5, 15.285714285714285)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:52.523181,"(11.0, 15.5, 15.285714285714285)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:53.517585,"(11.0, 15.5, 15.285714285714285)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:54.433928,"(11.0, 15.5, 15.285714285714285)","(8.5, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:55.350719,"(12.0, 15.5, 15.285714285714285)","(8.0, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:56.284335,"(12.0, 15.5, 15.285714285714285)","(8.0, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
15-12-2022 11:42:57.189196,"(12.0, 15.5, 15.285714285714285)","(8.0, 9.8, 9.5)","(6.5, 8.0, 7.88)","(1.95, 2.34, 2.302222222222222)","(4.4, 5.2, 5.116666666666666)","(11.0, 14.0, 13.785714285714285)"
