,Cherokee Castle,True Flirt,Nordic Dancer,Crafty Windsor Cat,Siente La Brisa
12-01-2023 11:05:18.697733,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:19.915877,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:21.086477,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:22.136227,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:23.174564,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:24.261129,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:25.312958,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:26.403674,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:27.512520,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:28.549792,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:29.581020,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:30.644037,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:31.725399,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:32.746853,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:33.823116,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:34.912117,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:35.937112,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
