,Angry Angie,Dam Slipperier,Nothing Matters,Blue Haze,Titanium Gunn,Nana Rooney
32,"[datetime.datetime(2022, 11, 28, 18, 33, 47, 723783), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 47, 723783), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 47, 723783), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 47, 723783), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 47, 723783), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 47, 723783), 5.5, 8.6]"
33,"[datetime.datetime(2022, 11, 28, 18, 33, 48, 831227), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 48, 831227), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 48, 831227), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 48, 831227), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 48, 831227), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 48, 831227), 5.5, 8.6]"
34,"[datetime.datetime(2022, 11, 28, 18, 33, 49, 937533), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 49, 937533), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 49, 937533), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 49, 937533), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 49, 937533), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 49, 937533), 5.5, 8.6]"
35,"[datetime.datetime(2022, 11, 28, 18, 33, 51, 44384), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 51, 44384), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 51, 44384), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 51, 44384), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 51, 44384), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 51, 44384), 5.5, 8.6]"
36,"[datetime.datetime(2022, 11, 28, 18, 33, 52, 158229), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 52, 158229), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 52, 158229), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 52, 158229), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 52, 158229), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 52, 158229), 5.5, 8.6]"
37,"[datetime.datetime(2022, 11, 28, 18, 33, 53, 271048), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 53, 271048), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 53, 271048), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 53, 271048), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 53, 271048), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 53, 271048), 5.5, 9.2]"
38,"[datetime.datetime(2022, 11, 28, 18, 33, 54, 396653), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 54, 396653), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 54, 396653), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 54, 396653), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 54, 396653), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 54, 396653), 5.5, 8.4]"
39,"[datetime.datetime(2022, 11, 28, 18, 33, 55, 506089), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 55, 506089), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 55, 506089), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 55, 506089), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 55, 506089), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 55, 506089), 5.5, 8.4]"
40,"[datetime.datetime(2022, 11, 28, 18, 33, 56, 620634), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 56, 620634), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 56, 620634), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 56, 620634), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 56, 620634), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 56, 620634), 5.5, 8.4]"
41,"[datetime.datetime(2022, 11, 28, 18, 33, 57, 718775), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 57, 718775), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 57, 718775), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 57, 718775), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 57, 718775), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 57, 718775), 5.5, 8.4]"
