,Lil Toughman,Fit But Fat,Eisele,Rey O Reyes,Rayo Negro,Johnny Swish,Salty J J,Henry Standingbear,Skip The Bull
16-12-2022 11:46:51.097902,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:52.189931,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:53.225463,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:54.341561,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:55.400346,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:56.492942,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:57.658851,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:58.780740,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:46:59.965192,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:01.116259,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:02.230583,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:03.334218,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:04.527142,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:05.791671,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:06.926709,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
