,Blue Ruby,Akuna Street,Rustic Bling,Magic Eclipse,Chasing Jess,Yeah The Boy,Buddys Mate,Diablo Bale
06-01-2023 13:55:27.078697,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 78.125)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:28.323613,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:29.576877,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:30.726304,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:31.840556,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:32.995906,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 10.485714285714286)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:34.145101,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:35.400689,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:36.652635,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:37.788111,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
