,Goldstar Shaggy,Sinha Man,Barber Cubed,Mighty Mccook,Alhambra,Impressive Sonic,Diamond Georgio,Cupids Day
05-01-2023 16:27:05.507317,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:06.626317,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:07.762227,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:08.876489,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:09.952065,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:11.090725,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:12.173044,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:13.323201,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:14.488280,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
05-01-2023 16:27:15.622774,"(3.5, 5.6, 5.185526315789474)","(3.9, 13.0, 7.240909090909091)","(7.5, 14.0, 13.0)","(8.0, 24.0, 22.616666666666667)","(4.6, 15.5, 12.472727272727273)","(21.0, 220.0, 121.0)","(4.4, 7.8, 7.162068965517241)","(41.0, 210.0, 120.0)"
