,Haveyoucheckedin,Rakasharp Nz,Timely Sovereign,Swedish Meatballs,The Poobah,Outside Fighter,El Jacob,Some Chevron Nz,Classicmajor,Daggy Lamb Nz
10-01-2023 16:20:24.276214,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:25.906635,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:27.420647,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:29.381678,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:31.099672,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:32.917058,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:34.560128,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:36.249686,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.8)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:38.081308,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 63.285714285714285)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:40.059755,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 63.285714285714285)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
