,Terrific Keith,Lochinvar Jazz,Hannele Bale,Daksha Bale,Gotham Diva,Long Shadow,Vance Bale,Dr Ronald
11-01-2023 19:44:57.916777,"(1.95, 2.96, 2.7466666666666666)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 8.563636363636363)","(8.0, 13.5, 11.91)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:59.151697,"(1.95, 2.96, 2.7466666666666666)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.91)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:00.477095,"(1.95, 2.96, 2.6848275862068967)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.91)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:01.754405,"(1.95, 3.15, 2.688103448275862)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:03.050961,"(1.95, 3.1, 2.726666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:04.356158,"(1.95, 3.05, 2.7046666666666668)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:05.546648,"(1.95, 3.0, 2.7)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:06.792458,"(1.95, 3.0, 2.7)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:07.989902,"(1.95, 3.0, 2.7)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:09.338637,"(1.95, 3.0, 2.7)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
