,Ocean Girl,Letter To You,Hurricane Daisy,Behind Greywalls,Gethsemane,Wolf,Queen Zipper
08-12-2022 14:36:25.189756,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:26.345797,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:27.490962,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:28.673816,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:29.779646,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:30.952163,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:32.118543,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:33.235922,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:34.422135,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:35.574599,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:36.771540,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:38.011901,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:39.315683,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:40.512583,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:41.574211,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:42.521526,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:43.663509,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:44.821828,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:46.006823,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:47.174459,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:48.359009,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:49.526823,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:50.728936,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:51.948710,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:53.074703,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:54.203775,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:55.460768,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
