,Maybe Tomorrow,Yamazaki Riot,Blocked Knows,Smell Like Beans,Slingshot Xena,Slingshot Sneaky
32,"[datetime.datetime(2022, 11, 28, 19, 36, 58, 295226), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 58, 295226), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 58, 295226), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 58, 295226), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 58, 295226), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 58, 295226), 5.0, 8.0]"
33,"[datetime.datetime(2022, 11, 28, 19, 36, 59, 400352), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 59, 400352), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 59, 400352), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 59, 400352), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 59, 400352), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 59, 400352), 5.0, 7.8]"
34,"[datetime.datetime(2022, 11, 28, 19, 37, 0, 504290), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 37, 0, 504290), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 0, 504290), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 0, 504290), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 0, 504290), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 0, 504290), 5.0, 7.8]"
35,"[datetime.datetime(2022, 11, 28, 19, 37, 1, 609542), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 37, 1, 609542), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 1, 609542), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 1, 609542), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 1, 609542), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 1, 609542), 5.0, 7.8]"
36,"[datetime.datetime(2022, 11, 28, 19, 37, 2, 720255), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 37, 2, 720255), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 2, 720255), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 2, 720255), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 2, 720255), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 2, 720255), 5.0, 7.8]"
37,"[datetime.datetime(2022, 11, 28, 19, 37, 3, 830445), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 3, 830445), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 3, 830445), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 3, 830445), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 3, 830445), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 3, 830445), 5.0, 7.8]"
38,"[datetime.datetime(2022, 11, 28, 19, 37, 4, 939479), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 4, 939479), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 4, 939479), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 4, 939479), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 4, 939479), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 4, 939479), 5.0, 7.8]"
39,"[datetime.datetime(2022, 11, 28, 19, 37, 6, 59406), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 6, 59406), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 6, 59406), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 6, 59406), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 6, 59406), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 6, 59406), 5.0, 7.8]"
40,"[datetime.datetime(2022, 11, 28, 19, 37, 7, 179519), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 7, 179519), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 7, 179519), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 7, 179519), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 7, 179519), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 7, 179519), 5.0, 7.8]"
41,"[datetime.datetime(2022, 11, 28, 19, 37, 8, 303307), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 8, 303307), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 8, 303307), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 8, 303307), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 8, 303307), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 8, 303307), 5.0, 7.8]"
42,"[datetime.datetime(2022, 11, 28, 19, 37, 9, 451401), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 9, 451401), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 9, 451401), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 9, 451401), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 9, 451401), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 9, 451401), 5.0, 7.8]"
43,"[datetime.datetime(2022, 11, 28, 19, 37, 10, 571463), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 10, 571463), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 10, 571463), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 10, 571463), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 10, 571463), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 10, 571463), 5.0, 7.8]"
44,"[datetime.datetime(2022, 11, 28, 19, 37, 11, 673546), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 11, 673546), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 11, 673546), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 11, 673546), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 11, 673546), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 11, 673546), 5.0, 7.8]"
45,"[datetime.datetime(2022, 11, 28, 19, 37, 12, 777154), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 12, 777154), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 12, 777154), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 12, 777154), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 12, 777154), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 12, 777154), 5.0, 7.8]"
46,"[datetime.datetime(2022, 11, 28, 19, 37, 13, 873462), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 13, 873462), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 13, 873462), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 13, 873462), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 13, 873462), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 13, 873462), 5.0, 7.8]"
47,"[datetime.datetime(2022, 11, 28, 19, 37, 14, 980453), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 14, 980453), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 14, 980453), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 14, 980453), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 14, 980453), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 14, 980453), 5.0, 7.8]"
48,"[datetime.datetime(2022, 11, 28, 19, 37, 16, 75228), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 19, 37, 16, 75228), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 37, 16, 75228), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 37, 16, 75228), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 37, 16, 75228), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 37, 16, 75228), 5.0, 7.8]"
