,Indy Ghost,Xandra Bale,Star Impact,Impresario,Elite Jet,Release The Rage,Hill Top Jonnie,Ice Star
11-01-2023 20:23:24.024599,"(11.0, 25.0, 14.818181818181818)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:25.219358,"(11.0, 25.0, 14.818181818181818)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:26.583925,"(11.0, 25.0, 14.818181818181818)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:27.917930,"(11.0, 25.0, 14.818181818181818)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:29.273232,"(11.0, 25.0, 14.818181818181818)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:30.896332,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:32.234318,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:33.800361,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:35.275910,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:36.640080,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:38.042425,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:39.426891,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:40.926320,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:42.333454,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:43.725542,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:45.344104,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:46.762145,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:48.132301,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:49.480277,"(11.0, 25.0, 13.1)","(31.0, 130.0, 57.27272727272727)","(15.0, 42.0, 22.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 13.0)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:50.867693,"(11.0, 25.0, 13.470588235294118)","(31.0, 130.0, 79.5)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.0, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:52.211386,"(11.0, 25.0, 13.470588235294118)","(31.0, 130.0, 79.5)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:53.569210,"(11.0, 25.0, 13.470588235294118)","(31.0, 130.0, 79.5)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:23:54.853146,"(11.0, 25.0, 13.470588235294118)","(31.0, 130.0, 79.5)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 165.55555555555554)"
11-01-2023 20:23:56.155894,"(11.0, 25.0, 13.470588235294118)","(31.0, 130.0, 79.5)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 165.55555555555554)"
11-01-2023 20:23:57.425186,"(11.0, 25.0, 13.470588235294118)","(31.0, 130.0, 79.5)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 165.55555555555554)"
11-01-2023 20:23:58.701825,"(11.0, 25.0, 13.470588235294118)","(31.0, 130.0, 79.5)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 165.55555555555554)"
11-01-2023 20:23:59.984471,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 220.71428571428572)"
11-01-2023 20:24:01.301072,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 220.71428571428572)"
11-01-2023 20:24:02.602351,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 220.71428571428572)"
11-01-2023 20:24:03.880301,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 181.0)"
11-01-2023 20:24:05.194630,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 181.0)"
11-01-2023 20:24:06.438445,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 181.0)"
11-01-2023 20:24:07.670711,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 181.0)"
11-01-2023 20:24:08.946751,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 181.0)"
11-01-2023 20:24:10.186923,"(11.0, 25.0, 16.25)","(31.0, 130.0, 65.0)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 13.561538461538461)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:11.440825,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.5)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:12.657827,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.5)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:13.792532,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.5)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:14.920820,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.5)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:15.996791,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.5)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:17.024338,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.5)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:18.129939,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.5)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:19.238635,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.5)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:20.395765,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 11.233333333333334)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:21.523652,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:22.637578,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:23.781388,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:24.894045,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 117.14285714285714)"
11-01-2023 20:24:26.076993,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:27.275687,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:28.529570,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:29.921894,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:31.161468,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:32.591261,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:33.848846,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:35.125769,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:36.349876,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:37.600991,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:38.790296,"(11.0, 25.0, 16.25)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 26.8125)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 14.14)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:39.936720,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 25.4375)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 9.32857142857143)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:41.096837,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 9.32857142857143)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:42.227766,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 9.67142857142857)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:43.271015,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:44.351916,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:45.415390,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:46.567791,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:47.618064,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 2.013)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:48.775795,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:49.788334,"(11.0, 25.0, 13.75)","(31.0, 130.0, 72.77777777777777)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:50.840653,"(11.0, 25.0, 13.75)","(31.0, 130.0, 79.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:51.911075,"(11.0, 25.0, 13.75)","(31.0, 130.0, 79.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:52.962458,"(11.0, 25.0, 13.75)","(31.0, 130.0, 79.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:53.997621,"(11.0, 25.0, 13.75)","(31.0, 130.0, 79.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:55.108861,"(11.0, 25.0, 13.75)","(31.0, 130.0, 79.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:56.220438,"(11.0, 25.0, 13.75)","(31.0, 130.0, 79.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:57.369056,"(11.0, 25.0, 13.75)","(31.0, 130.0, 79.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:58.537567,"(11.0, 25.0, 13.75)","(31.0, 130.0, 79.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 163.33333333333331)"
11-01-2023 20:24:59.733639,"(11.0, 25.0, 13.75)","(31.0, 130.0, 66.25)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 170.0)"
11-01-2023 20:25:00.921620,"(11.0, 25.0, 13.75)","(31.0, 130.0, 65.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 300.0, 170.0)"
11-01-2023 20:25:02.116784,"(11.0, 25.0, 13.75)","(31.0, 130.0, 65.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 300.0, 170.0)"
11-01-2023 20:25:03.333555,"(11.0, 25.0, 13.75)","(31.0, 130.0, 65.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 300.0, 170.0)"
11-01-2023 20:25:04.493357,"(11.0, 25.0, 13.75)","(31.0, 130.0, 65.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 300.0, 170.0)"
11-01-2023 20:25:05.708880,"(11.0, 25.0, 13.75)","(31.0, 130.0, 65.0)","(15.0, 42.0, 27.27777777777778)","(18.0, 44.0, 28.72222222222222)","(2.7, 4.6, 2.9979999999999998)","(7.5, 18.5, 12.881818181818181)","(1.85, 2.76, 1.9677272727272728)","(41.0, 300.0, 170.0)"
