,Foxpath,Lika Swift,Acrion,Atlantic Ridge,Ricco Doro,Gone Ahead,Kiloran Bay,Bella Cinque,Fine Rebel,Invest And Profit,Move On Over,Martha Lavinia
07-01-2023 12:52:55.860729,"(6.0, 8.6, 7.96)","(21.0, 40.0, 35.0)","(4.2, 4.7, 4.611111111111112)","(6.0, 7.6, 7.323076923076923)","(14.0, 16.0, 14.109756097560975)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 47.6)","(11.0, 15.5, 14.823529411764707)","(8.0, 11.5, 10.65)","(14.0, 23.0, 22.166666666666668)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:57.337520,"(6.0, 9.0, 8.9)","(21.0, 40.0, 35.0)","(4.2, 4.7, 4.611111111111112)","(6.0, 7.6, 7.323076923076923)","(14.0, 16.0, 14.109756097560975)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 47.6)","(11.0, 15.5, 14.823529411764707)","(8.0, 11.5, 10.65)","(14.0, 23.0, 21.636363636363637)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:58.859142,"(6.0, 9.0, 8.9)","(21.0, 40.0, 35.0)","(4.2, 4.7, 4.611111111111112)","(6.0, 7.6, 7.323076923076923)","(14.0, 16.0, 14.392857142857142)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 47.6)","(11.0, 15.5, 14.823529411764707)","(8.0, 11.5, 10.65)","(14.0, 23.0, 22.166666666666668)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:53:00.364639,"(6.0, 9.0, 8.9)","(21.0, 40.0, 35.0)","(4.2, 4.7, 4.611111111111112)","(6.0, 7.6, 7.2727272727272725)","(14.0, 16.0, 14.392857142857142)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 47.6)","(11.0, 15.5, 14.823529411764707)","(8.0, 11.5, 10.65)","(14.0, 23.0, 22.166666666666668)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:53:01.957147,"(6.0, 9.0, 8.961290322580645)","(21.0, 40.0, 37.5)","(4.2, 4.7, 4.611111111111112)","(6.0, 7.6, 7.2727272727272725)","(14.0, 16.0, 14.392857142857142)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 46.0)","(11.0, 15.5, 14.823529411764707)","(8.0, 11.5, 10.366666666666667)","(14.0, 23.0, 22.166666666666668)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:53:03.487010,"(6.0, 10.0, 9.285714285714286)","(21.0, 40.0, 35.75)","(4.2, 4.7, 4.611111111111112)","(6.0, 7.6, 7.2727272727272725)","(14.0, 16.0, 14.6)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 46.0)","(11.0, 15.5, 14.5)","(8.0, 11.5, 10.366666666666667)","(14.0, 23.0, 21.2)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:53:05.069053,"(6.0, 9.8, 9.342857142857143)","(21.0, 38.0, 35.75)","(4.2, 4.7, 4.611111111111112)","(6.0, 7.6, 7.2727272727272725)","(14.0, 15.5, 14.9375)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 46.0)","(11.0, 15.0, 14.11111111111111)","(8.0, 11.5, 10.3)","(14.0, 22.0, 21.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.743333333333333)"
07-01-2023 12:53:06.732998,"(6.0, 9.0, 8.559999999999999)","(21.0, 38.0, 37.666666666666664)","(4.2, 4.7, 4.633333333333334)","(6.0, 7.6, 7.333333333333333)","(14.0, 15.5, 15.0)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 47.0)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.3125)","(14.0, 22.0, 20.8)","(51.0, 85.0, 75.0)","(4.8, 5.8, 5.751428571428572)"
07-01-2023 12:53:08.388650,"(6.0, 8.8, 8.700000000000001)","(21.0, 38.0, 37.6)","(4.2, 4.7, 4.58421052631579)","(6.0, 7.6, 7.333333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 67.6923076923077)","(21.0, 50.0, 47.0)","(11.0, 14.5, 14.15)","(8.0, 11.5, 10.066666666666666)","(14.0, 22.0, 20.8)","(51.0, 85.0, 77.0)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:10.030104,"(6.0, 8.8, 8.700000000000001)","(21.0, 38.0, 36.888888888888886)","(4.2, 4.7, 4.58421052631579)","(6.0, 7.6, 7.333333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 47.0)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.377777777777778)","(14.0, 22.0, 20.8)","(51.0, 85.0, 77.0)","(4.8, 5.8, 5.735294117647059)"
