,Glass Warrior,So Astounding,Travelling Gigolo,Super Swoop,Bell Ringer Boy,King Island,Steel Skies,Always A Winner,Not A Brass Razoo,The Executive,Sunset Gun,The Decider
06-01-2023 16:43:26.196958,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:27.644758,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:29.150023,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:30.611963,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:32.050393,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:33.567367,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:35.037365,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:36.466850,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:37.917937,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 19.75)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:39.463146,"(11.0, 18.5, 16.785714285714285)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 21.0, 19.571428571428573)","(8.0, 9.4, 8.65)","(16.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.5, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:40.954529,"(11.0, 18.5, 16.1)","(7.5, 11.5, 10.6)","(2.7, 3.25, 3.2125)","(19.0, 21.0, 20.2)","(8.0, 9.4, 9.14054054054054)","(16.0, 32.0, 21.5)","(13.0, 19.5, 18.5)","(21.0, 32.0, 31.5)","(7.5, 11.0, 10.2)","(7.5, 9.8, 9.677777777777779)","(61.0, 180.0, 135.0)","(26.0, 48.0, 43.6)"
06-01-2023 16:43:42.335811,"(11.0, 18.5, 16.3)","(7.5, 11.5, 10.72857142857143)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 20.4)","(8.0, 9.4, 9.125714285714286)","(16.0, 32.0, 21.5)","(13.0, 19.5, 18.5)","(21.0, 32.0, 31.5)","(7.5, 11.0, 10.377777777777776)","(7.5, 9.8, 9.681081081081082)","(61.0, 180.0, 113.33333333333334)","(26.0, 48.0, 43.6)"
06-01-2023 16:43:43.637411,"(11.0, 18.5, 16.666666666666668)","(7.5, 11.5, 10.72857142857143)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.0)","(8.0, 9.4, 8.942857142857143)","(16.0, 32.0, 21.5)","(13.0, 19.5, 18.5)","(21.0, 32.0, 31.5)","(7.5, 11.0, 10.377777777777776)","(7.5, 9.8, 9.681081081081082)","(61.0, 180.0, 155.55555555555554)","(26.0, 48.0, 43.6)"
06-01-2023 16:43:44.957213,"(11.0, 18.5, 16.666666666666668)","(7.5, 11.5, 10.72857142857143)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.0)","(8.0, 9.4, 8.942857142857143)","(16.0, 32.0, 21.5)","(13.0, 19.5, 18.5)","(21.0, 32.0, 31.5)","(7.5, 11.0, 10.377777777777776)","(7.5, 9.8, 9.681081081081082)","(61.0, 180.0, 125.0)","(26.0, 48.0, 43.6)"
06-01-2023 16:43:46.356411,"(11.0, 18.5, 16.666666666666668)","(7.5, 11.5, 10.72857142857143)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.0)","(8.0, 9.4, 8.942857142857143)","(16.0, 32.0, 21.5)","(13.0, 19.5, 18.5)","(21.0, 32.0, 31.5)","(7.5, 11.0, 10.377777777777776)","(7.5, 9.8, 9.681081081081082)","(61.0, 180.0, 125.0)","(26.0, 48.0, 43.6)"
06-01-2023 16:43:47.984702,"(11.0, 18.5, 16.666666666666668)","(7.5, 11.5, 10.72857142857143)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.0)","(8.0, 9.4, 8.942857142857143)","(16.0, 32.0, 21.5)","(13.0, 19.5, 18.5)","(21.0, 32.0, 31.5)","(7.5, 11.0, 10.377777777777776)","(7.5, 9.8, 9.491891891891893)","(61.0, 180.0, 125.0)","(26.0, 48.0, 43.6)"
