,Cortes,Darksaber,Kokonotsu,Lonfire,Ponte Vecchio,Rackermann,The Woke Waiter,Thornycroft,Dreamtime Girl,Field The Moment,Shuffle Dancer
14-12-2022 14:29:24.046188,"(11.0, 15.0, 14.642857142857142)","(31.0, 55.0, 45.57142857142857)","(41.0, 90.0, 80.625)","(11.0, 14.5, 14.219298245614034)","(31.0, 85.0, 77.8)","(1.95, 2.22, 2.2021487603305787)","(11.0, 15.5, 15.154545454545454)","(12.0, 18.0, 17.047619047619047)","(26.0, 36.0, 35.27272727272727)","(7.5, 9.4, 9.015384615384615)","(10.0, 11.5, 11.22)"
14-12-2022 14:29:25.441534,"(11.0, 15.0, 14.642857142857142)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 80.625)","(11.0, 14.5, 14.219298245614034)","(31.0, 85.0, 77.8)","(1.95, 2.22, 2.2021487603305787)","(11.0, 15.5, 15.154545454545454)","(12.0, 18.0, 17.047619047619047)","(26.0, 36.0, 35.27272727272727)","(7.5, 9.2, 8.884210526315789)","(10.0, 11.5, 11.11111111111111)"
14-12-2022 14:29:26.769099,"(11.0, 15.0, 14.782608695652174)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 83.18181818181819)","(11.0, 14.5, 14.219298245614034)","(31.0, 85.0, 77.8)","(1.95, 2.22, 2.2021487603305787)","(11.0, 15.5, 15.154545454545454)","(12.0, 18.0, 17.047619047619047)","(26.0, 36.0, 35.27272727272727)","(7.5, 9.2, 8.884210526315789)","(10.0, 11.5, 10.95)"
14-12-2022 14:29:28.091234,"(11.0, 15.0, 14.838709677419354)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 82.5)","(11.0, 14.5, 14.219298245614034)","(31.0, 85.0, 77.8)","(1.95, 2.22, 2.2021487603305787)","(11.0, 15.5, 15.154545454545454)","(12.0, 18.0, 17.047619047619047)","(26.0, 36.0, 34.90909090909091)","(7.5, 9.2, 9.148936170212766)","(10.0, 11.0, 10.952830188679245)"
14-12-2022 14:29:29.385481,"(11.0, 15.0, 14.838709677419354)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 82.5)","(11.0, 14.5, 14.219298245614034)","(31.0, 85.0, 77.8)","(1.95, 2.22, 2.2021487603305787)","(11.0, 15.5, 15.154545454545454)","(12.0, 18.0, 17.047619047619047)","(26.0, 36.0, 34.90909090909091)","(7.5, 9.2, 9.148936170212766)","(10.0, 11.0, 10.952830188679245)"
14-12-2022 14:29:30.618567,"(11.0, 15.0, 14.838709677419354)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 82.5)","(11.0, 14.5, 14.219298245614034)","(31.0, 80.0, 74.0)","(1.95, 2.22, 2.2021487603305787)","(11.0, 15.5, 15.154545454545454)","(12.0, 18.0, 17.047619047619047)","(26.0, 36.0, 34.90909090909091)","(7.5, 9.2, 9.157142857142857)","(10.0, 11.0, 10.952830188679245)"
14-12-2022 14:29:31.953165,"(11.0, 15.0, 14.838709677419354)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 82.5)","(11.0, 14.5, 14.219298245614034)","(31.0, 75.0, 73.0952380952381)","(1.95, 2.22, 2.2021487603305787)","(11.0, 15.5, 15.154545454545454)","(12.0, 18.0, 17.047619047619047)","(26.0, 36.0, 34.90909090909091)","(7.5, 9.2, 9.192592592592591)","(10.0, 11.0, 10.952830188679245)"
14-12-2022 14:29:33.338435,"(11.0, 15.0, 14.838709677419354)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 82.5)","(11.0, 14.5, 14.219298245614034)","(31.0, 75.0, 70.78947368421052)","(1.95, 2.2, 2.188491620111732)","(11.0, 15.5, 15.083333333333334)","(12.0, 18.0, 17.0)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.2, 9.16)","(10.0, 11.0, 10.955357142857142)"
14-12-2022 14:29:34.718146,"(11.0, 15.0, 14.6875)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 83.18181818181819)","(11.0, 14.5, 14.078947368421053)","(31.0, 75.0, 71.52173913043478)","(1.95, 2.2, 2.188491620111732)","(11.0, 15.5, 15.083333333333334)","(12.0, 18.0, 17.0)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.2, 9.225)","(10.0, 11.0, 10.952830188679245)"
14-12-2022 14:29:35.959185,"(11.0, 15.0, 14.583333333333334)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 83.18181818181819)","(11.0, 14.5, 14.078947368421053)","(31.0, 75.0, 71.52173913043478)","(1.95, 2.2, 2.188491620111732)","(11.0, 15.5, 15.083333333333334)","(12.0, 18.0, 17.0)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.4, 9.225)","(10.0, 11.0, 10.965753424657533)"
14-12-2022 14:29:37.205762,"(11.0, 15.0, 14.583333333333334)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 83.18181818181819)","(11.0, 14.5, 14.078947368421053)","(31.0, 75.0, 71.52173913043478)","(1.95, 2.2, 2.188491620111732)","(11.0, 15.5, 15.08695652173913)","(12.0, 18.0, 17.0)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.4, 9.225)","(10.0, 11.0, 11.02482269503546)"
14-12-2022 14:29:38.524410,"(11.0, 15.0, 14.583333333333334)","(31.0, 55.0, 47.05882352941177)","(41.0, 65.0, 60.714285714285715)","(11.0, 14.5, 14.078947368421053)","(31.0, 75.0, 71.52173913043478)","(1.95, 2.2, 2.189559748427673)","(11.0, 15.5, 15.08695652173913)","(12.0, 18.0, 17.0)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.4, 9.225)","(10.0, 11.5, 11.02482269503546)"
14-12-2022 14:29:39.860860,"(11.0, 15.0, 14.583333333333334)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 83.0)","(11.0, 14.5, 14.078947368421053)","(31.0, 75.0, 71.52173913043478)","(1.95, 2.2, 2.189559748427673)","(11.0, 15.5, 15.104166666666666)","(12.0, 18.0, 17.058823529411764)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.4, 9.225)","(10.0, 11.5, 10.986842105263158)"
14-12-2022 14:29:41.122944,"(11.0, 15.0, 14.642857142857142)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 78.75)","(11.0, 14.5, 14.1)","(31.0, 75.0, 71.52173913043478)","(1.95, 2.2, 2.210357142857143)","(11.0, 15.5, 15.104166666666666)","(12.0, 18.0, 17.058823529411764)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.4, 9.25)","(10.0, 11.0, 10.974358974358974)"
14-12-2022 14:29:42.402163,"(11.0, 15.0, 14.75)","(31.0, 55.0, 47.05882352941177)","(41.0, 90.0, 78.75)","(11.0, 14.5, 14.1)","(31.0, 75.0, 71.52173913043478)","(1.95, 2.22, 2.210357142857143)","(11.0, 15.5, 15.104166666666666)","(12.0, 18.0, 17.703703703703702)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.4, 9.25)","(10.0, 11.0, 10.974358974358974)"
14-12-2022 14:29:43.759541,"(11.0, 15.0, 14.75)","(31.0, 55.0, 47.05882352941177)","(51.0, 90.0, 78.75)","(11.0, 14.5, 14.1)","(31.0, 75.0, 68.33333333333333)","(1.95, 2.22, 2.210357142857143)","(11.0, 15.5, 15.092592592592593)","(13.0, 18.0, 17.703703703703702)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.4, 9.25)","(10.0, 11.0, 10.974358974358974)"
14-12-2022 14:29:45.096699,"(11.0, 15.0, 14.75)","(31.0, 55.0, 47.05882352941177)","(51.0, 90.0, 78.75)","(11.0, 14.5, 14.1)","(31.0, 75.0, 68.33333333333333)","(1.95, 2.22, 2.206818181818182)","(11.0, 15.5, 15.092592592592593)","(13.0, 18.0, 17.703703703703702)","(26.0, 36.0, 34.15384615384615)","(7.5, 9.4, 9.25)","(10.0, 11.0, 10.974358974358974)"
14-12-2022 14:29:46.399643,"(11.0, 15.0, 14.75)","(31.0, 50.0, 48.0)","(51.0, 90.0, 78.75)","(11.0, 14.5, 14.1)","(31.0, 75.0, 68.33333333333333)","(1.95, 2.22, 2.206818181818182)","(11.0, 15.5, 15.227272727272727)","(13.0, 18.0, 17.703703703703702)","(26.0, 36.0, 35.25)","(7.5, 9.4, 9.25)","(10.0, 11.0, 10.974358974358974)"
14-12-2022 14:29:47.717711,"(11.0, 15.0, 14.75)","(31.0, 50.0, 48.0)","(51.0, 90.0, 78.75)","(11.0, 14.5, 14.1)","(31.0, 75.0, 53.4)","(1.95, 2.22, 2.1965260545905707)","(11.0, 15.5, 15.277777777777779)","(13.0, 18.0, 17.703703703703702)","(26.0, 36.0, 35.5)","(7.5, 9.4, 9.25)","(10.0, 11.0, 11.253164556962025)"
14-12-2022 14:29:49.018266,"(11.0, 15.0, 14.75)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 78.75)","(11.0, 14.5, 14.0)","(31.0, 75.0, 53.4)","(1.95, 2.2, 2.1964851485148515)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.076923076923077)","(26.0, 36.0, 35.64705882352941)","(7.5, 9.4, 9.25)","(10.0, 11.5, 11.238095238095237)"
14-12-2022 14:29:50.321180,"(11.0, 15.0, 14.793103448275861)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 78.0)","(11.0, 14.0, 13.925925925925926)","(31.0, 75.0, 72.1)","(1.95, 2.2, 2.1964851485148515)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.142857142857142)","(26.0, 36.0, 35.64705882352941)","(7.5, 9.4, 9.25)","(10.0, 11.5, 11.333333333333334)"
14-12-2022 14:29:51.670327,"(11.0, 15.0, 14.793103448275861)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 78.0)","(11.0, 14.0, 13.925925925925926)","(31.0, 75.0, 70.83333333333334)","(1.95, 2.2, 2.1964851485148515)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.142857142857142)","(26.0, 36.0, 35.64705882352941)","(7.5, 9.4, 9.25)","(10.0, 11.5, 11.34375)"
14-12-2022 14:29:53.000360,"(11.0, 15.0, 14.793103448275861)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 78.88888888888889)","(11.0, 14.0, 13.925925925925926)","(31.0, 75.0, 72.5)","(1.95, 2.2, 2.1964851485148515)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.142857142857142)","(26.0, 36.0, 35.64705882352941)","(7.5, 9.4, 9.25)","(10.0, 11.5, 11.35483870967742)"
14-12-2022 14:29:54.252126,"(11.0, 15.0, 14.793103448275861)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 78.88888888888889)","(11.0, 14.0, 13.48076923076923)","(31.0, 75.0, 72.5)","(1.95, 2.2, 2.2149565217391305)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.142857142857142)","(26.0, 36.0, 33.27272727272727)","(7.5, 9.4, 9.23846153846154)","(10.0, 11.5, 11.35483870967742)"
14-12-2022 14:29:55.532951,"(11.0, 15.0, 14.793103448275861)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 78.88888888888889)","(11.0, 13.5, 13.488372093023255)","(31.0, 75.0, 68.0)","(1.95, 2.22, 2.2205797101449276)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 16.666666666666668)","(26.0, 34.0, 33.27272727272727)","(7.5, 9.4, 9.23846153846154)","(10.0, 11.5, 11.369747899159664)"
14-12-2022 14:29:56.866432,"(11.0, 15.0, 14.75)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 80.0)","(11.0, 13.5, 13.488372093023255)","(31.0, 80.0, 68.0)","(1.95, 2.24, 2.2205797101449276)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 16.666666666666668)","(26.0, 34.0, 33.27272727272727)","(7.5, 9.4, 9.23846153846154)","(10.0, 11.5, 11.369747899159664)"
14-12-2022 14:29:58.125529,"(11.0, 15.0, 14.75)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 80.0)","(11.0, 13.5, 13.488372093023255)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2205797101449276)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 16.666666666666668)","(26.0, 34.0, 33.27272727272727)","(7.5, 9.4, 9.23846153846154)","(10.0, 11.5, 11.440677966101696)"
14-12-2022 14:29:59.420746,"(11.0, 15.0, 14.75)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 80.0)","(11.0, 13.5, 13.395833333333334)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2205797101449276)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 16.666666666666668)","(26.0, 34.0, 33.27272727272727)","(7.5, 9.4, 9.207142857142857)","(10.0, 11.5, 11.440677966101696)"
14-12-2022 14:30:00.707374,"(11.0, 15.0, 14.75)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 80.0)","(11.0, 13.5, 12.777777777777779)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2205797101449276)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.659574468085108)","(26.0, 34.0, 33.27272727272727)","(7.5, 9.4, 9.207142857142857)","(10.0, 11.5, 11.440677966101696)"
14-12-2022 14:30:02.019001,"(11.0, 15.0, 14.75)","(31.0, 55.0, 48.57142857142857)","(51.0, 90.0, 80.0)","(11.0, 13.0, 12.657894736842104)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2208695652173915)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 16.90909090909091)","(26.0, 34.0, 33.5)","(7.5, 9.4, 9.232)","(10.0, 11.5, 11.46195652173913)"
14-12-2022 14:30:03.328286,"(11.0, 15.0, 14.782608695652174)","(31.0, 55.0, 48.63636363636363)","(51.0, 90.0, 80.0)","(11.0, 13.0, 12.657894736842104)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2208695652173915)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.25)","(26.0, 34.0, 33.5)","(7.5, 9.4, 9.232)","(10.0, 11.5, 11.430232558139535)"
14-12-2022 14:30:04.554824,"(11.0, 15.0, 14.891304347826086)","(31.0, 55.0, 48.63636363636363)","(51.0, 90.0, 80.9090909090909)","(11.0, 13.0, 12.885057471264368)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2205333333333335)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.25)","(26.0, 34.0, 33.5)","(7.5, 9.4, 9.278571428571428)","(10.0, 11.5, 10.96896551724138)"
14-12-2022 14:30:05.887710,"(11.0, 15.0, 14.934782608695652)","(31.0, 55.0, 48.63636363636363)","(51.0, 90.0, 80.9090909090909)","(11.0, 13.0, 12.885057471264368)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.26, 2.2205063291139244)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.25)","(26.0, 34.0, 33.6)","(7.5, 9.4, 9.264)","(10.0, 11.0, 10.96830985915493)"
14-12-2022 14:30:07.242088,"(11.0, 15.0, 14.863636363636363)","(31.0, 55.0, 48.63636363636363)","(51.0, 90.0, 80.9090909090909)","(11.0, 13.0, 12.885057471264368)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.26, 2.2205063291139244)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 17.25)","(26.0, 34.0, 33.6)","(7.5, 9.4, 9.264)","(10.0, 11.0, 11.333333333333334)"
14-12-2022 14:30:08.480633,"(11.0, 15.5, 15.086206896551724)","(31.0, 55.0, 48.63636363636363)","(51.0, 90.0, 80.9090909090909)","(11.0, 13.0, 12.885057471264368)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.26, 2.2205063291139244)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 16.90909090909091)","(26.0, 34.0, 33.6)","(7.5, 9.4, 9.264)","(10.0, 11.5, 11.233695652173912)"
14-12-2022 14:30:09.762738,"(11.0, 15.5, 15.208333333333334)","(31.0, 55.0, 48.63636363636363)","(51.0, 90.0, 80.0)","(11.0, 13.0, 12.885057471264368)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.26, 2.2205063291139244)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 16.90909090909091)","(26.0, 34.0, 33.6)","(7.5, 9.4, 9.264)","(10.0, 11.5, 11.233695652173912)"
14-12-2022 14:30:11.098828,"(11.0, 15.5, 15.208333333333334)","(31.0, 55.0, 48.63636363636363)","(51.0, 90.0, 80.0)","(11.0, 13.0, 12.484177215189874)","(31.0, 80.0, 75.0)","(1.95, 2.26, 2.2205333333333335)","(11.0, 15.5, 15.352941176470589)","(13.0, 18.0, 16.90909090909091)","(26.0, 34.0, 33.6)","(7.5, 9.4, 9.264)","(10.0, 11.5, 11.233695652173912)"
14-12-2022 14:30:12.445691,"(11.0, 15.5, 15.208333333333334)","(31.0, 55.0, 48.63636363636363)","(51.0, 90.0, 71.66666666666667)","(11.0, 12.5, 12.857954545454545)","(31.0, 80.0, 75.0)","(1.95, 2.26, 2.2205333333333335)","(11.0, 15.5, 15.318181818181818)","(13.0, 18.0, 16.90909090909091)","(26.0, 34.0, 33.6)","(7.5, 9.4, 9.264)","(10.0, 11.5, 10.96551724137931)"
14-12-2022 14:30:13.764312,"(11.0, 15.5, 15.208333333333334)","(31.0, 55.0, 48.63636363636363)","(51.0, 85.0, 67.14285714285714)","(11.0, 13.0, 12.857954545454545)","(31.0, 80.0, 75.0)","(1.95, 2.26, 2.2205333333333335)","(11.0, 15.5, 14.950980392156863)","(13.0, 18.0, 16.90909090909091)","(26.0, 34.0, 33.77777777777778)","(7.5, 9.4, 9.633333333333335)","(10.0, 11.0, 11.277777777777779)"
14-12-2022 14:30:15.063739,"(11.0, 15.0, 14.85)","(31.0, 55.0, 51.5)","(51.0, 80.0, 67.14285714285714)","(11.0, 13.0, 12.862068965517242)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.26, 2.220666666666667)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 16.90909090909091)","(26.0, 36.0, 33.6)","(7.5, 9.8, 9.675)","(10.0, 11.5, 11.26086956521739)"
14-12-2022 14:30:16.355192,"(11.0, 14.5, 14.442857142857143)","(31.0, 55.0, 51.5)","(51.0, 80.0, 69.28571428571429)","(11.0, 13.0, 12.862068965517242)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.220666666666667)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 16.90909090909091)","(26.0, 36.0, 33.6)","(7.5, 9.8, 9.675)","(10.0, 11.5, 11.26086956521739)"
14-12-2022 14:30:17.688262,"(11.0, 14.5, 14.45)","(31.0, 55.0, 51.5)","(51.0, 80.0, 59.54545454545455)","(11.0, 13.0, 12.847457627118644)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.220666666666667)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 17.5)","(26.0, 36.0, 33.411764705882355)","(7.5, 9.8, 9.7)","(10.0, 11.5, 11.252808988764045)"
14-12-2022 14:30:18.990179,"(11.0, 14.5, 14.45)","(31.0, 55.0, 51.5)","(51.0, 80.0, 59.54545454545455)","(11.0, 13.0, 12.847457627118644)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.220666666666667)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 17.5)","(26.0, 36.0, 33.6)","(7.5, 9.8, 9.7)","(10.0, 11.5, 11.252808988764045)"
14-12-2022 14:30:20.408318,"(11.0, 14.5, 14.45)","(31.0, 55.0, 51.5)","(51.0, 80.0, 62.69230769230769)","(11.0, 13.0, 12.71)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.220540540540541)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 17.5)","(26.0, 36.0, 34.526315789473685)","(7.5, 9.8, 9.7)","(10.0, 11.5, 10.969465648854962)"
14-12-2022 14:30:21.841485,"(11.0, 14.5, 14.45)","(31.0, 55.0, 51.5)","(51.0, 80.0, 62.5)","(11.0, 13.0, 12.728260869565217)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2332394366197184)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 17.5)","(26.0, 36.0, 34.292682926829265)","(7.5, 9.8, 9.7)","(10.0, 11.0, 10.971223021582734)"
14-12-2022 14:30:23.239564,"(11.0, 14.5, 14.45)","(31.0, 55.0, 49.714285714285715)","(51.0, 80.0, 99.28571428571428)","(11.0, 13.0, 12.6875)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2332394366197184)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 17.25)","(26.0, 38.0, 34.292682926829265)","(7.5, 9.8, 9.7)","(10.0, 11.0, 10.971223021582734)"
14-12-2022 14:30:24.641125,"(11.0, 14.5, 14.409090909090908)","(31.0, 60.0, 49.2)","(51.0, 110.0, 90.0)","(11.0, 13.0, 12.858108108108109)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2315662650602412)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 16.90909090909091)","(26.0, 38.0, 35.5)","(7.5, 9.8, 9.7)","(10.0, 11.0, 10.897260273972602)"
14-12-2022 14:30:25.955641,"(11.0, 14.5, 14.397435897435898)","(31.0, 60.0, 49.4)","(51.0, 95.0, 97.14285714285714)","(11.0, 13.0, 12.858108108108109)","(31.0, 80.0, 71.42857142857143)","(1.95, 2.24, 2.2310256410256413)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 16.90909090909091)","(26.0, 36.0, 35.5)","(7.5, 9.8, 9.666666666666666)","(10.0, 11.0, 10.908839779005525)"
14-12-2022 14:30:27.300254,"(11.0, 15.0, 14.795454545454545)","(31.0, 55.0, 49.4)","(51.0, 110.0, 102.5)","(11.0, 13.0, 12.858108108108109)","(31.0, 80.0, 75.0)","(1.95, 2.24, 2.2321951219512197)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 16.90909090909091)","(26.0, 36.0, 35.5)","(7.5, 9.8, 9.714285714285715)","(10.0, 11.0, 10.908839779005525)"
14-12-2022 14:30:28.561109,"(11.0, 15.0, 14.795454545454545)","(31.0, 55.0, 48.77777777777778)","(51.0, 120.0, 97.14285714285714)","(11.0, 13.0, 12.858108108108109)","(31.0, 80.0, 75.0)","(1.95, 2.24, 2.2321951219512197)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 16.90909090909091)","(26.0, 36.0, 35.166666666666664)","(7.5, 9.8, 9.714285714285715)","(10.0, 11.0, 10.908839779005525)"
14-12-2022 14:30:29.886690,"(11.0, 15.0, 14.795454545454545)","(31.0, 55.0, 48.77777777777778)","(51.0, 110.0, 97.14285714285714)","(11.0, 13.0, 12.858108108108109)","(31.0, 80.0, 75.0)","(1.95, 2.24, 2.2427397260273976)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 16.90909090909091)","(26.0, 36.0, 35.166666666666664)","(7.5, 9.8, 9.714285714285715)","(10.0, 11.0, 10.908839779005525)"
14-12-2022 14:30:31.172245,"(11.0, 15.0, 14.795454545454545)","(31.0, 55.0, 48.77777777777778)","(51.0, 110.0, 100.0)","(11.0, 13.0, 12.811764705882354)","(31.0, 80.0, 75.0)","(1.95, 2.26, 2.233888888888889)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 17.36842105263158)","(26.0, 36.0, 35.09090909090909)","(7.5, 9.8, 9.714285714285715)","(10.0, 11.0, 10.905172413793103)"
14-12-2022 14:30:32.402430,"(11.0, 15.0, 14.826923076923077)","(31.0, 55.0, 50.55555555555556)","(51.0, 110.0, 100.0)","(11.0, 13.0, 12.811764705882354)","(31.0, 80.0, 75.0)","(1.95, 2.24, 2.233888888888889)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 17.36842105263158)","(26.0, 36.0, 35.39393939393939)","(7.5, 9.8, 9.714285714285715)","(10.0, 11.0, 10.905172413793103)"
14-12-2022 14:30:33.714388,"(11.0, 15.0, 14.842105263157894)","(31.0, 55.0, 51.0)","(51.0, 120.0, 80.0)","(11.0, 13.0, 12.811764705882354)","(31.0, 80.0, 75.0)","(1.95, 2.24, 2.2332307692307696)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 17.36842105263158)","(26.0, 36.0, 35.111111111111114)","(7.5, 9.8, 9.714285714285715)","(10.0, 11.0, 11.009615384615385)"
14-12-2022 14:30:34.974472,"(11.0, 15.0, 14.842105263157894)","(31.0, 55.0, 51.0)","(51.0, 110.0, 83.33333333333333)","(11.0, 13.0, 12.811764705882354)","(31.0, 80.0, 75.0)","(2.0, 2.24, 2.2332307692307696)","(11.0, 15.0, 14.947916666666666)","(13.0, 18.0, 16.879310344827587)","(26.0, 36.0, 35.96)","(7.5, 9.8, 9.675)","(10.0, 11.5, 10.88125)"
14-12-2022 14:30:36.199281,"(11.0, 15.0, 14.842105263157894)","(31.0, 55.0, 51.0)","(51.0, 110.0, 80.0)","(11.0, 13.0, 12.811764705882354)","(31.0, 80.0, 75.0)","(2.0, 2.24, 2.2332307692307696)","(11.0, 15.0, 14.947916666666666)","(13.0, 17.5, 16.879310344827587)","(26.0, 36.0, 35.96)","(7.5, 9.8, 9.675)","(10.0, 11.0, 10.875)"
14-12-2022 14:30:37.453519,"(11.0, 15.0, 14.847457627118644)","(31.0, 55.0, 51.0)","(51.0, 100.0, 80.0)","(11.0, 13.0, 12.811764705882354)","(31.0, 80.0, 75.0)","(2.0, 2.24, 2.2332307692307696)","(11.0, 15.0, 14.947916666666666)","(13.0, 17.5, 16.879310344827587)","(26.0, 36.0, 35.96)","(7.5, 9.8, 9.675)","(10.0, 11.0, 10.863013698630137)"
14-12-2022 14:30:38.704340,"(11.0, 15.0, 14.847457627118644)","(31.0, 55.0, 51.0)","(51.0, 100.0, 91.42857142857143)","(11.0, 13.0, 12.794871794871796)","(31.0, 80.0, 75.0)","(2.0, 2.24, 2.2332307692307696)","(11.0, 15.0, 14.947916666666666)","(13.0, 17.5, 16.879310344827587)","(26.0, 36.0, 35.96)","(7.5, 9.8, 9.651851851851852)","(10.0, 11.0, 10.863013698630137)"
14-12-2022 14:30:39.983694,"(11.0, 15.0, 14.847457627118644)","(31.0, 55.0, 51.0)","(51.0, 100.0, 91.42857142857143)","(11.0, 13.0, 12.794871794871796)","(31.0, 80.0, 75.0)","(2.0, 2.24, 2.24150289017341)","(11.0, 15.0, 14.947916666666666)","(13.0, 17.5, 16.879310344827587)","(26.0, 36.0, 35.96)","(7.5, 9.8, 9.651851851851852)","(10.0, 11.0, 10.863013698630137)"
14-12-2022 14:30:41.256057,"(11.0, 15.0, 14.847457627118644)","(31.0, 55.0, 51.0)","(51.0, 100.0, 95.71428571428572)","(11.0, 13.0, 12.794871794871796)","(31.0, 80.0, 75.0)","(2.0, 2.26, 2.2410169491525425)","(11.0, 15.0, 14.947916666666666)","(13.0, 17.5, 16.879310344827587)","(26.0, 36.0, 35.96)","(7.5, 9.8, 9.651851851851852)","(10.0, 11.0, 10.863013698630137)"
14-12-2022 14:30:42.503527,"(11.0, 15.0, 14.847457627118644)","(31.0, 55.0, 51.0)","(51.0, 100.0, 95.71428571428572)","(11.0, 13.0, 12.804878048780488)","(31.0, 80.0, 75.0)","(2.0, 2.26, 2.2410169491525425)","(11.0, 15.0, 14.947916666666666)","(13.0, 17.5, 16.879310344827587)","(26.0, 36.0, 35.96)","(7.5, 9.8, 9.651851851851852)","(10.0, 11.0, 10.863013698630137)"
