,Just Admit It,Vinny Can Gogh,Jax,Rogue Temptation,Mt View Buck,Poppy To Burn,Orson Franky,Laras Love
30,"[datetime.datetime(2022, 11, 28, 15, 4, 54, 274057), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 54, 274057), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 54, 274057), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 54, 274057), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 54, 274057), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 54, 274057), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 54, 274057), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 4, 54, 274057), 11.0, 22.0]"
31,"[datetime.datetime(2022, 11, 28, 15, 4, 55, 418741), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 55, 418741), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 55, 418741), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 55, 418741), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 55, 418741), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 55, 418741), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 55, 418741), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 4, 55, 418741), 11.0, 22.0]"
32,"[datetime.datetime(2022, 11, 28, 15, 4, 56, 556400), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 56, 556400), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 56, 556400), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 56, 556400), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 56, 556400), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 56, 556400), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 56, 556400), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 4, 56, 556400), 11.0, 22.0]"
33,"[datetime.datetime(2022, 11, 28, 15, 4, 57, 685954), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 57, 685954), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 57, 685954), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 57, 685954), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 57, 685954), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 57, 685954), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 57, 685954), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 4, 57, 685954), 11.0, 22.0]"
34,"[datetime.datetime(2022, 11, 28, 15, 4, 58, 819033), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 58, 819033), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 58, 819033), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 58, 819033), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 58, 819033), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 58, 819033), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 58, 819033), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 4, 58, 819033), 11.0, 22.0]"
35,"[datetime.datetime(2022, 11, 28, 15, 4, 59, 940619), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 59, 940619), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 59, 940619), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 59, 940619), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 59, 940619), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 59, 940619), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 59, 940619), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 4, 59, 940619), 11.0, 22.0]"
36,"[datetime.datetime(2022, 11, 28, 15, 5, 1, 73984), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 5, 1, 73984), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 5, 1, 73984), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 5, 1, 73984), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 5, 1, 73984), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 5, 1, 73984), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 5, 1, 73984), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 5, 1, 73984), 11.0, 22.0]"
37,"[datetime.datetime(2022, 11, 28, 15, 5, 2, 200861), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 5, 2, 200861), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 5, 2, 200861), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 5, 2, 200861), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 5, 2, 200861), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 5, 2, 200861), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 5, 2, 200861), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 5, 2, 200861), 11.0, 22.0]"
38,"[datetime.datetime(2022, 11, 28, 15, 5, 3, 334697), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 5, 3, 334697), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 5, 3, 334697), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 5, 3, 334697), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 5, 3, 334697), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 5, 3, 334697), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 5, 3, 334697), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 5, 3, 334697), 11.0, 22.0]"
39,"[datetime.datetime(2022, 11, 28, 15, 5, 4, 464007), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 5, 4, 464007), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 5, 4, 464007), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 5, 4, 464007), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 15, 5, 4, 464007), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 5, 4, 464007), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 5, 4, 464007), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 5, 4, 464007), 11.0, 22.0]"
