,Go Forward Tink,Oh Suzie,Flying Bella,Udella Bale,Hasten Jet,Pablos Star,Im Indigo,Levator
05-01-2023 14:00:01.621480,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:02.742661,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:04.428566,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:05.695410,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:06.962085,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 48.25)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:08.257290,"(9.0, 36.0, 29.75)","(51.0, 230.0, 176.85714285714286)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:09.510282,"(9.0, 36.0, 29.75)","(51.0, 230.0, 176.85714285714286)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:10.852696,"(9.0, 36.0, 29.75)","(51.0, 230.0, 176.85714285714286)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:12.183907,"(9.0, 36.0, 29.75)","(51.0, 230.0, 176.85714285714286)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:13.429347,"(9.0, 36.0, 29.75)","(51.0, 230.0, 176.85714285714286)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:14.635603,"(9.0, 36.0, 31.916666666666664)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:15.723926,"(9.0, 36.0, 31.916666666666664)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:16.890473,"(9.0, 36.0, 31.916666666666664)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:17.963013,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:19.111355,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:20.291206,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:21.524818,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:22.957539,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:24.196255,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:25.543414,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
