,Dinosaurus Rex,Why Not Surf,Our Uncle Harold,Ben Detto,American Shuffle Nz,Weona Sir Vivor,Rainbow Titan,Buddy Rockx,Mittys Three Aces Nz,Modern Power
11-01-2023 17:48:03.581026,"(16.0, 30.0, 28.2)","(14.0, 20.0, 18.105263157894736)","(31.0, 44.0, 42.0)","(41.0, 75.0, 59.0)","(18.0, 99999, 99990)","(4.4, 5.1, 5.007216494845361)","(18.0, 32.0, 31.714285714285715)","(26.0, 55.0, 47.5)","(31.0, 99999, 99990)","(1.55, 1.82, 1.7966666666666666)"
11-01-2023 17:48:04.790818,"(16.0, 30.0, 24.4)","(14.0, 20.0, 16.966666666666665)","(31.0, 44.0, 43.111111111111114)","(41.0, 75.0, 59.0)","(18.0, 99999, 99990)","(4.4, 5.1, 5.018181818181818)","(18.0, 36.0, 33.85714285714286)","(26.0, 55.0, 48.57142857142857)","(31.0, 99999, 99990)","(1.55, 1.82, 1.8033333333333335)"
11-01-2023 17:48:06.011295,"(16.0, 30.0, 18.136363636363637)","(14.0, 20.0, 18.25)","(31.0, 44.0, 43.111111111111114)","(41.0, 75.0, 60.0)","(18.0, 99999, 99990)","(4.4, 5.1, 4.928571428571429)","(18.0, 36.0, 30.666666666666668)","(26.0, 55.0, 48.57142857142857)","(31.0, 99999, 99990)","(1.55, 1.83, 1.7763636363636364)"
11-01-2023 17:48:07.194341,"(16.0, 29.0, 20.333333333333332)","(14.0, 20.0, 18.25)","(31.0, 44.0, 43.111111111111114)","(41.0, 75.0, 60.0)","(18.0, 99999, 99990)","(4.4, 5.1, 4.953658536585366)","(18.0, 38.0, 36.166666666666664)","(26.0, 55.0, 48.57142857142857)","(31.0, 99999, 99990)","(1.55, 1.78, 1.7503125)"
11-01-2023 17:48:08.359462,"(16.0, 29.0, 18.0625)","(14.0, 20.0, 17.642857142857142)","(31.0, 44.0, 43.5)","(41.0, 75.0, 61.666666666666664)","(18.0, 99999, 99990)","(4.4, 5.1, 5.022222222222222)","(18.0, 38.0, 36.42857142857143)","(26.0, 55.0, 48.57142857142857)","(31.0, 99999, 99990)","(1.55, 1.77, 1.7477647058823529)"
11-01-2023 17:48:09.527410,"(16.0, 25.0, 21.0)","(14.0, 20.0, 18.96875)","(31.0, 44.0, 43.5)","(41.0, 75.0, 61.666666666666664)","(18.0, 99999, 99990)","(4.4, 5.1, 5.065573770491803)","(18.0, 38.0, 37.214285714285715)","(26.0, 55.0, 46.5)","(31.0, 99999, 99990)","(1.55, 1.77, 1.7473333333333334)"
11-01-2023 17:48:10.667390,"(16.0, 24.0, 19.0)","(14.0, 20.0, 18.96875)","(31.0, 44.0, 43.5)","(41.0, 75.0, 65.9090909090909)","(18.0, 99999, 99990)","(4.4, 5.1, 5.04375)","(18.0, 38.0, 35.0)","(26.0, 55.0, 47.0)","(31.0, 99999, 99990)","(1.55, 1.77, 1.7476744186046511)"
11-01-2023 17:48:11.884692,"(16.0, 22.0, 18.666666666666668)","(14.0, 20.0, 17.708333333333332)","(31.0, 46.0, 47.0)","(41.0, 75.0, 58.333333333333336)","(18.0, 99999, 99990)","(4.4, 5.1, 5.01)","(18.0, 38.0, 35.0)","(26.0, 50.0, 41.6)","(31.0, 99999, 99990)","(1.55, 1.77, 1.7476744186046511)"
11-01-2023 17:48:13.035462,"(15.0, 22.0, 20.0)","(14.0, 20.0, 17.708333333333332)","(31.0, 48.0, 47.0)","(31.0, 75.0, 66.66666666666667)","(19.0, 99999, 99990)","(4.4, 5.1, 5.01)","(19.0, 38.0, 35.333333333333336)","(26.0, 50.0, 35.6)","(31.0, 99999, 99990)","(1.5, 1.77, 1.7453846153846153)"
11-01-2023 17:48:14.244769,"(15.0, 21.0, 19.333333333333332)","(14.0, 20.0, 18.333333333333332)","(31.0, 46.0, 43.42857142857143)","(31.0, 75.0, 56.666666666666664)","(19.0, 99999, 99990)","(4.4, 5.1, 4.931578947368421)","(19.0, 38.0, 35.333333333333336)","(26.0, 50.0, 44.0)","(31.0, 99999, 99990)","(1.5, 1.77, 1.7501612903225807)"
11-01-2023 17:48:15.466478,"(15.0, 19.5, 18.25)","(14.0, 20.0, 20.833333333333332)","(31.0, 44.0, 44.4)","(31.0, 80.0, 65.0)","(19.0, 99999, 99990)","(4.4, 5.1, 5.005263157894737)","(19.0, 38.0, 34.0)","(26.0, 48.0, 40.0)","(31.0, 99999, 99990)","(1.5, 1.77, 1.7375675675675675)"
11-01-2023 17:48:16.684755,"(15.0, 20.0, 18.0)","(14.0, 22.0, 21.36842105263158)","(31.0, 46.0, 44.4)","(31.0, 80.0, 60.0)","(19.0, 99999, 99990)","(4.4, 5.1, 5.04)","(19.0, 40.0, 35.142857142857146)","(21.0, 48.0, 40.0)","(31.0, 99999, 99990)","(1.5, 1.77, 1.772)"
11-01-2023 17:48:17.884227,"(15.0, 19.5, 17.166666666666668)","(14.0, 22.0, 21.36842105263158)","(31.0, 46.0, 44.4)","(31.0, 80.0, 62.142857142857146)","(19.0, 99999, 99990)","(4.4, 5.1, 4.837878787878788)","(19.0, 42.0, 35.333333333333336)","(21.0, 48.0, 36.0)","(31.0, 99999, 99990)","(1.5, 1.78, 1.726206896551724)"
