,Aston Marley,Fired Up,Thunder Dash,Scott Hue,Aston Prince,Ripplebrook Snip
07-12-2022 14:01:34.408112,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:35.452375,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:36.499511,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:37.515194,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:38.531558,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.966666666666667)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:39.494571,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.966666666666667)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:40.417606,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.966666666666667)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:41.442137,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.966666666666667)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:42.484551,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.966666666666667)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:43.427745,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.966666666666667)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:44.424245,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.571428571428571)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:45.376902,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.571428571428571)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:46.404670,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.571428571428571)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:47.414586,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.571428571428571)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:48.523931,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.571428571428571)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:49.539987,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.92)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:50.569744,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.92)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:51.478271,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.92)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:52.469790,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.411111111111111)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:53.387656,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.2, 5.411111111111111)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:54.426304,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.2, 5.411111111111111)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:55.436645,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.2, 6.16)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:56.403225,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.16)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:57.590280,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.16)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:58.609774,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.16)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:59.870659,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.16)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:01.049057,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.16)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:02.070728,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.428571428571429)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:03.061610,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.428571428571429)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:04.071440,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.428571428571429)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:05.075418,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.428571428571429)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:06.059777,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.428571428571429)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:07.146779,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.428571428571429)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:08.118424,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.428571428571429)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:09.050378,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.428571428571429)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:09.968961,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.5777777777777775)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:10.972922,"(3.2, 5.0, 4.08125)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.5777777777777775)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:11.976017,"(3.2, 5.0, 4.08125)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.6)","(12.0, 23.0, 20.375)"
